message_id,date,sender_id,first_name,last_name,username,message,reply_to
1224,2025-05-07 10:43:57,-1001864215962,,,,"Some altcoins starting to pump 🔼

Expecting the rest to follow soon.",
1223,2025-05-06 09:03:28,-1001864215962,,,,"If $BTC stays above 93k and ETH/BTC breaks the 0.0194 resistance and does something like this, then altcoins could have a very strong final leg up.",
1222,2025-05-05 08:27:37,-1001864215962,,,,"$SOL update 

$170-200 should be next.",1185
1221,2025-05-03 11:33:56,-1001864215962,,,,"It looks like $BTC has found a local top around $96k–98k.

However, $ETH still looks bullish, both on its own and against Bitcoin.
The Solana ecosystem and a few other alts could also see further upside.

Have a great weekend!",
1220,2025-05-01 09:31:50,-1001864215962,,,,"$BTC update:

https://x.com/CryptoCapo_/status/1917874457663750269",1191
1219,2025-04-30 14:34:29,-1001864215962,,,,Good bounce so far 🔼,1217
1218,2025-04-30 13:57:08,-1001864215962,,,,"This said, the first alerts for ltf bearish signs are starting to get triggered.",1217
1217,2025-04-30 13:47:06,-1001864215962,,,,"As long as $BTC stays above $92k, then another bullish move is likely.",
1216,2025-04-30 09:12:57,-1001864215962,,,,The crypto market looks ready for another bullish move.,
1215,2025-04-29 09:35:32,-1001864215962,,,,,1200
1214,2025-04-29 09:35:32,-1001864215962,,,,"$RENDER update (before and after)

60% up from entry. 

$4.25 level reclaimed. Looking good to reach the main target.",1200
1213,2025-04-28 08:26:15,-1001864215962,,,,"GM!

Not much to update. Just riding this bullish move and took the weekend to fully disconnect from crypto.

Still waiting for the targets above to be reached, and for ltf bearish signs, before starting to take profits.

Let’s have a great week!",
1212,2025-04-24 09:01:33,-1001864215962,,,,"As long as Bitcoin stays above $88k (ideally above $90k), a final bullish move is likely before a strong reversal.

Some levels I’m watching to start taking profits:

• $BTC: $95k–98k
• $ETH: $2,000–2,300
• $SOL: $170–200
• #Altcoins: 30%–100% higher on average, depending on the coin",
1211,2025-04-23 07:39:31,-1001864215962,,,,"GM! 🔼

Analysis playing out. I still think $BTC can push a bit higher towards $95k–96k, and alts even higher.
Soon I’ll start taking some profits.

Thank you to those who sent messages of gratitude.
I hope the analysis was helpful to many.",
1210,2025-04-21 19:09:48,-1001864215962,,,,"$BTC update

Shorting here makes no sense at all.

I’ll be looking at the $94k–95k zone for potential shorts, but for now, the smart move is staying net long.",1191
1209,2025-04-21 13:37:11,-1001864215962,,,,"More and more altcoins pumping today. 

Higher, imo.",1207
1208,2025-04-20 10:08:50,-1001864215962,,,,"Happy Easter to those who celebrate!

Take care of your body, mind and soul. That’s what truly matters.",
1207,2025-04-18 07:23:15,-1001864215962,,,,Some altcoins are already pumping today. Expecting the majority to follow soon.,1205
1206,2025-04-18 07:19:35,-1001864215962,,,,"$ENA update 

Many people have asked me for this, so here it is.

I consider ENA a mid-term investment. That's why I'm just holding it until August-September (subject to change / adaptation)

We can see how it has formed a massive range. Bearish trend is very oversold here, so a bounce to $0.50-0.55 keeps making sense. After that, we could see the last capitulation event I've been talking about previously. If that happens, I will buy more. If not, just hold.",1118
1205,2025-04-17 07:04:07,-1001864215962,,,,"GM!

The crypto market looks good for a strong bullish move.",
1204,2025-04-16 17:04:02,-1001864215962,,,,"$TON

Very clean setup, matching with the rest of the market.",
1203,2025-04-16 16:26:55,-1001864215962,,,,"$BTC trying to reclaim $85k again. That would be a very clear sign of strength and after that, we should see bullish continuation towards the $90k levels.",
1202,2025-04-15 19:00:34,-1001864215962,,,,"$BTC

Looking good for a bounce.",
1201,2025-04-15 18:02:42,-1001864215962,,,,"This dip is to be bought, imo.",
1200,2025-04-15 07:55:23,-1001864215962,,,,"$RENDER update

Strong bounce from the same main support. If it reclaims the $4.25 level, then the main target of $6-7 should be next.",1186
