message_id,date,sender_id,first_name,last_name,username,message,reply_to
2691,2025-05-06 12:40:28,-1001607003621,,,,,2690
2690,2025-05-06 12:40:23,-1001607003621,,,,"⚠️⚠️⚠️⚠️⚠
🔔AMA ANNOUNCEMENT

🗣We are pleased to announce our Binance Live AMA with ""QuantumX at 9th May 2025 at ( 16:00 CET) 

🔠🔠🔠🔠🔠🔠🔠   🔠🔠🔠

⏳ Time : 9th May 2025 (16:00  CET)
🏠 Venue 🔶 Binance Live
💎 Reward : 100$ USDT

🤵‍♂️Guest Name : Project Team

➡️There will be 3 segments. Last approximately for 45 minutes - 1 hours. 
🟢Segment 1: Introduction Questions
🟢Segment 2: Twitter Questions
🟢Segment 3: Live Questions  

📌Rules to follow AMA:
✅  Join✉️CryptoFight ✉️QuantumX
✅Like & Retweet✅Twitter Post
✅ Follow 📝 CryptoFight  📝 QuantumX on Twitter

📝 Ask Your Questions ( Here )

🔔 Set Reminder : 
https://www.binance.com/en/live/video?roomId=2260984&utm_campaign=binance_live


⏰  Must Join QuantumX Social Media Link 

🕊Twitter 

😄⏰ Must Join Crypto Fight Community :
✉️ Telegram ✉️ Channel
📝 Twitter 🔶 Binance Live
*️⃣ Linktree

😄If You Want To Promote Your Project Or AMA Proposal 📞 DM @Ryan_Fight",
2689,2025-05-06 00:23:11,-1001607003621,,,,,2688
2688,2025-05-06 00:23:08,-1001607003621,,,,"$QUIT Token Sale is LIVE!
Elon quit. So did we.
Now it’s your turn to quit the old coins and ape into the most savage meme of 2025.
Token: $QUIT
Chain: BSC

Rugproof. No mercy. Full send.
You’re not early—you’re right on time.
#ElonQuit #quitToken #Quit #memecoin #BSCGem #crypto",
2687,2025-05-03 13:19:46,-1001607003621,,,,,2686
2686,2025-05-03 13:19:44,-1001607003621,,,,"Meenah, The Zero Cost Gas Fee Blockchain
Keeping with the best DeFi project to create a challenging atmosphere in such fast-phased blockchain environment.

Meenah Coin is the only blockchain which has manage to build a zero cost blockain & gas fee as low as $0.0001 per transaction.

Meenah is a crypto engineering organization that has built a super fast blockchain which has +100k TPs and has zero cost gas fee blockchain the faster growing ecosystem with projects spanning Defi,Nft, web 3 and much more. Tps up to 100,000 +3s blocktime.

Change is coming and it starts with us.

Twitter: https://x.com/meenah_oin

Website: Www.meenahcoin.space

Telegram:  https://t.me/+_6yZEX4pynhjNWU0",
2685,2025-05-01 18:11:06,-1001607003621,,,,,2684
2684,2025-05-01 18:10:57,-1001607003621,,,,"Wondering why Van Kedisi Coin is catching eyes?

Check the numbers:
🔥 914M tokens burned
💎 85M in circulation
🧠 No team unlock until $1B cap

Ca: 66bHtzcXqmLgkn668EG4ETzHL3RLz5ybdckqvrPppump


#VanKedisi #DeFi #TokenBurn


https://t.me/vankedisicoin_chat


https://x.com/vankedisicoin

🔣🔣🔣🔣🔣🔣🔣🔣🔣🔣🔣

💸Giveaway 5$❗️
💎Join https://t.me/vankedisicoin_chat
▶️ Comment done below",
2683,2025-04-30 06:43:24,-1001607003621,,,,,2682
2682,2025-04-30 06:43:18,-1001607003621,,,,"🔔We Have✏️AMAs For Today in Our Community (30th April 2025 )

...Binance live AMA...

⚙️ Crypto Fight 🔠 KLK_Sync""⚙️ 

☁️ More Info : https://t.me/CryptoFightNews/2676

🔠🔠🔠🔠🔠🔠🔠   🔠🔠🔠

⏳ Time : 30th April 2025 ( 21:00) UTC+ 8
🏠 Venue 🔶 Binance Live
💎 Reward : 100$ USDT

🤵‍♂️Guest Name : Project Team

➡️There will be 3 segments. Last approximately for 45 minutes - 1 hours. 
🟢Segment 1: Introduction Questions
🟢Segment 2: Twitter Questions
🟢Segment 3: Live Questions  

📌Rules to follow AMA:
✅  Join✉️CryptoFight ✉️KLK_Sync
✅Like & Retweet✅Twitter Post
✅ Follow 📝 CryptoFight  📝 KLK_Sync

📝 Ask Your Questions ( Here )

🔔 Set Reminder : 
https://www.binance.com/live/video?roomId=2259890


⏰  Must Join KLK_Sync Social Media  Link

🕊Twitter 🌐 Website  *️⃣ Linktree

😄 Must Join Crypto Fight Community :
✉️ Telegram ✉️ Channel
📝 Twitter 🔶 Binance Live
*️⃣ Linktree

😄If You Want To Promote Your Project Or AMA Proposal 📞 DM @Ryan_Fight",2676
