message_id,date,sender_id,first_name,last_name,username,message,reply_to
14431,2025-04-22 16:03:33,-1001457621071,,,,"Got stopped out on btc short but made it on eth twice 
Tp was increased to 18xx$",
14430,2025-04-22 16:03:07,-1001457621071,,,,Eth long scalp,
14429,2025-04-22 16:02:31,-1001457621071,,,,"https://www.tradingview.com/x/lvR60gNl/

link daily point of view",
14428,2025-04-22 01:10:31,-1001457621071,,,,"https://t.me/DanukiKai_bot/?start=718283268

Another Tap game, another chance to win some free money. I believe we’re pretty early in this one. Don’t miss.",
14427,2025-04-21 17:05:50,-1001457621071,,,,"https://www.tradingview.com/x/Didza0Zc/

breaking last week low at 83.x will confirm accumulation manipulation and distribution pattern",14426
14426,2025-04-21 17:05:49,-1001457621071,,,,"https://www.tradingview.com/x/oHN3MvF9/

btc lower high lower low still played out, unless we make a new higher high with power{else it will be deviation) and break avwap from all time highs.. structure is bearish for now
bullish condition marked in yellow",
14425,2025-04-09 13:13:50,-1001457621071,,,,,
14424,2025-04-07 05:18:36,-1001457621071,,,,"So if tariffs are not well negotiated and companies are forced to manufacture is US , it’s going to affect the profit margins of companies manufacturing in china which is like 99% of big companies which would mean an actual effect on cash flow , margins etc and the repricing could actually be real. So, a lot is dependant on how well the negotiations go",
14423,2025-04-07 05:14:14,-1001457621071,,,,SPX make or break,
14422,2025-04-07 05:08:55,-1001457621071,,,,BTC about to wipe out the trump rally. I think we close back into value area ( green ) again as a lot of time was spent in that price,14322
14421,2025-04-07 05:03:15,-1001457621071,,,,lose blue on NIFTY = yellow incoming,
14420,2025-04-07 04:59:28,-1001457621071,,,,CRAZIEST GAP DOWN on NIFTY i have seen in a while,
14419,2025-04-07 04:57:31,-1001457621071,,,,,14402
14418,2025-04-07 04:56:07,-1001457621071,,,,ETH,14401
14417,2025-04-03 18:23:31,-1001457621071,,,,"Dont Panic with SPX.
You will find the desired upside soon.
I believe the bottom is very near, maybe 150-200 points away at max.",
