message_id,date,sender_id,first_name,last_name,username,message,reply_to
8686,2025-04-23 16:08:01,-1001511455965,,,,"Kamal ho raha hai Duniya main.

TRUMP Project ne announce kiya hai ki top 250 $TRUMP token holders ke sath  Donald Trump dinner event ka plan kar rahe hain.",
8685,2025-04-23 15:06:18,-1001511455965,,,,Sol Strategies announces $500 million convertible note facility to buy Solana $SOL 😍😍😍😍😍,
8684,2025-04-23 05:25:39,-1001511455965,,,,"BITCOIN $93000 | BIG BULLISH NEWS | WHY CRYPTO MARKET PUMP?

👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=N1laMtZ7ASY
https://www.youtube.com/watch?v=N1laMtZ7ASY",
8683,2025-04-23 04:54:19,-1001511455965,,,,"Green Morning Guys,

Video in next 40 Mins",
8682,2025-04-22 15:23:15,-1001511455965,,,,BITCOIN $91000,
8681,2025-04-22 13:46:20,-1001511455965,,,,BITCOIN $90000,
8680,2025-04-22 06:00:40,-1001511455965,,,,"BITCOIN $88000 | RECOVERY OR TRAP | US STOCK MARKET CRASH | BINANCE RE-KYC UPDATES


👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=i-N_HvnCDPY
https://www.youtube.com/watch?v=i-N_HvnCDPY",
8679,2025-04-22 05:34:41,-1001511455965,,,,30 mins.,8678
8678,2025-04-22 02:39:39,-1001511455965,,,,"Good Morning Guys,

Aaj karte hain video, kya chal raha hai market main",
8677,2025-04-21 14:34:48,-1001511455965,,,,"Aa gaya BITCOIN first major resistance ke pass. Let see break hota hai ya nahi, candle close important hai ye level ke upper.",
8676,2025-04-21 12:02:24,-1001511455965,,,,"STRATEGY ne 6,556 Bitcoin buy kiye hain",
8675,2025-04-19 05:51:11,-1001511455965,,,,,
8674,2025-04-17 17:57:22,-1001511455965,,,,"News aa rahe hain, ki Trump, Powell ko nikalne ke mood main hain, kyoki wo rate cut ke liye mana kar rahe hain.",
8673,2025-04-16 09:21:02,-1001511455965,,,,"Wazirx Hack Updates.


Supreme Court ne user ki plea ko  dismiss kar diya hai.

Court ka boalna hai ki wo relevant authority nahi hai ye case ke liye.",
8672,2025-04-14 13:12:24,-1001511455965,,,,"MSTR ne 3,459 BTC $82,618 ke price pe buy kiya hai.

Total ab 531,644 BTC average price $67,556 per bitcoin ho gaya.",
8671,2025-04-14 07:44:27,-1001511455965,,,,"OM MANTRA RUGPULL | OM MANTRA CRASH? | बाकी  ALTCOINS का क्या होगा

👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=Sq0P_QrPKrI
https://www.youtube.com/watch?v=Sq0P_QrPKrI",
8670,2025-04-14 07:30:25,-1001511455965,,,,"Hello Guys,

Altcoins re related video in next 20 Mins",
8669,2025-04-11 08:04:55,-1001511455965,,,,CHINA  US GOODS PER 125% TARIFFS INCREASE KAR RAHA HAI KAL SE.,
8668,2025-04-11 06:10:02,-1001511455965,,,,"USA TARIFF PAUSE | RECOVERY OR MORE CRASH | DONALD TRUMP MARKET MANIPULATION

👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=wWAjPY2vOYw
https://www.youtube.com/watch?v=wWAjPY2vOYw",
8667,2025-04-11 04:51:50,-1001511455965,,,,"Morning Guys,

Video in next 40 mins.",
8666,2025-04-10 12:39:02,-1001511455965,,,,"US inflation falls to 2.4%, expectation se kam aaya hai.

Good for market.",
8665,2025-04-10 09:05:20,-1001511455965,,,,"Hello Guys,

CPI data aayega evening main, so market volatile ho sakta hai evening main. Be prepare.",
8664,2025-04-09 18:11:07,-1001511455965,,,,😇,
8663,2025-04-09 18:01:13,-1001511455965,,,,"Kal se Youtube pe video start ho jayenge, Bullrun start ho gaya Title se.",
8662,2025-04-09 17:27:03,-1001511455965,,,,"Trump ne khud Tweet kiya hai, so confirm hai ye time",8661
8661,2025-04-09 17:23:42,-1001511455965,,,,"Phir se news aayi hai.

90-DAYS ke liye TARIFF pause kiya hai US ne,",
8660,2025-04-09 05:52:49,-1001511455965,,,,"BITCOIN AGAIN $74000 | CRASH OVER OR MORE CRASH COMING | USA CHINA TRADE WAR

👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=c3qDvMaoDJg
https://www.youtube.com/watch?v=c3qDvMaoDJg",
8659,2025-04-09 04:51:07,-1001511455965,,,,"Morning Guys,

Important video in next 40 mins",
8658,2025-04-08 16:51:10,-1001511455965,,,,White House ne additional 104% tariff laga diya hai aaj se China per.,
8657,2025-04-07 18:01:39,-1001511455965,,,,"Aaj raat market phir se volatile ho sakta hai, future trade pe jo hai be alert",
8656,2025-04-07 15:23:12,-1001511455965,,,,"Ye week main kuch toh positive updates aayega Tariffs ko leke, aisa lag raha hai",
8655,2025-04-07 14:28:35,-1001511455965,,,,"Ab news aa rahi hai ki, ye sayad fake news thi, not sure, kya ho raha hai",8654
8654,2025-04-07 14:19:34,-1001511455965,,,,"Aa gayi badi news 

Trump ne 90 days ke liye Chaina ke alava sab pe Tariffs pause kar diya hai. Means aaj US market crash hone se bach gaya, good for Crypto",
8653,2025-04-07 12:47:53,-1001511455965,,,,"FED ki emergency closed-door meeting  hai aaj. Chance toh bahut kam hain, per agar rate cut ka bola kuch toh acha hoga market ke liye.",
8652,2025-04-07 09:40:57,-1001511455965,,,,US market evening main kaise rahta hai wo bahut critical hai aaj,
8651,2025-04-07 09:40:19,-1001511455965,,,,"Kya haal hai stock market ka dekho.

Thailand stock exchange ne short selling temporarily ban kar di hai.",
8650,2025-04-07 06:44:53,-1001511455965,,,,BITCOIN $74K,
8649,2025-04-07 04:56:58,-1001511455965,,,,"BITCOIN $76000 | CRYPTO BULLRUN OVER??? | सब कुछ खत्म

👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=5u3amx4-FWA
https://www.youtube.com/watch?v=5u3amx4-FWA",
8648,2025-04-07 04:13:05,-1001511455965,,,,"Morning Guys,

Video in next 40 mins",
8647,2025-04-06 18:23:55,-1001511455965,,,,Bitcoin 1D chart,
8646,2025-04-06 16:15:00,-1001511455965,,,,"Market ka asli movement kal evening se pata chalega, last week US market full crash hua hai, agar same next week hua toh uska impact Crypto Market pe bhi padega.",
8645,2025-04-05 03:42:54,-1001511455965,,,,Acha hai Crypto Market thik hai filhal,
8644,2025-04-05 03:42:31,-1001511455965,,,,US Market ka haal dekho,
8643,2025-04-04 15:23:36,-1001511455965,,,,Agar rate cut hua toh positive move aa sakta hai,
8642,2025-04-04 15:23:15,-1001511455965,,,,,
8641,2025-04-03 16:59:16,-1001511455965,,,,"US Market ka haal bahut kharab hua hai aaj, Tariffs ki wajah se. Hoping ki jaldi sort ho jaye ye sab",
8639,2025-04-03 15:49:43,-1001511455965,,,,BITCOIN 1D CHART,
8638,2025-04-03 14:18:59,-1001511455965,,,,US Market,
8637,2025-04-03 05:12:03,-1001511455965,,,,"CRYPTO MARKET CRASH | TRUMP IMPLEMENTED TARIFFS | TARIFF WAR END OR STARTED?

👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://www.youtube.com/watch?v=47qy_zXztRw
https://www.youtube.com/watch?v=47qy_zXztRw",
8636,2025-04-03 03:39:54,-1001511455965,,,,"Ho gaya Tariffs Implement.

 🇨🇳 China: 34% 
🇪🇺 European Union: 20% 
🇻🇳 Vietnam: 46% 
🇹🇼 Taiwan: 32% 
🇯🇵 Japan: 24% 
🇮🇳 India: 26% 
🇰🇷 South Korea: 25% 
🇹🇭 Thailand: 36% 
🇨🇭 Switzerland: 31% 
🇮🇩 Indonesia: 32% 
🇲🇾 Malaysia: 24% 
🇰🇭 Cambodia: 49% 
🇬🇧 United Kingdom: 10% 
🇿🇦 South Africa: 30% 
🇧🇷 Brazil: 10% 
🇧🇩 Bangladesh: 37% 
🇸🇬 Singapore: 10% 
🇮🇱 Israel: 17% 
🇵🇭 Philippines: 17% 
🇨🇱 Chile: 10% 
🇦🇺 Australia: 10% 
🇵🇰 Pakistan: 29% 
🇹🇷 Turkey: 10% 
🇱🇰 Sri Lanka: 44%",
8635,2025-04-02 13:57:30,-1001511455965,,,,Canada bhi hatane ki baat kar raha hai Tarrif,8632
