message_id,date,sender_id,first_name,last_name,username,message,reply_to
2065,2025-05-07 20:25:27,-1001984936323,,,,"PUMP ANNOUNCEMENT 🔥

📊 Exchange: Poloniex.com  
                          
📆 Date: 11/05/2025 Sunday 

⏰ Time: 14:00 GMT 

💵 Pair: USDT 
       
GET READY TO MAKE PROFIT ON Sunday.

📚 Remember to read the guide below if it’s your first time pumping with us.",
2064,2025-05-04 15:13:30,-1001984936323,,,,"OFFICIAL PUMP RESULTS 📊 

Coin: TST
START PRICE: 0.06
HIGH PRICE: 0.47

Today we pumped the coin TST, and absolutely smashed our target again, shooting the coin to the moon. That was a truly beautiful pump. 

Massive congratulations everyone once again got another successful week - This is just normal in the life of FL Crypto Pumps Team. Enjoy your gains from today, and we go again very soon.

We’ll be back next week with another pump. 

Best,
Your FL Crypto Pumps Team 🔥",
2063,2025-05-04 14:25:55,-1001984936323,,,,GREAT PUMP TODAY 👍🏼,
2060,2025-05-04 14:00:01,-1001984936323,,,,TST,
2059,2025-05-04 13:55:38,-1001984936323,,,,"5 MINUTES UNTIL THE PUMP 

Next message is the coin name",
2058,2025-05-04 13:50:06,-1001984936323,,,,10 MINUTES UNTIL THE PUMP,
2057,2025-05-04 13:45:01,-1001984936323,,,,15 MINUTES UNTIL THE PUMP,
2056,2025-05-04 13:30:31,-1001984936323,,,,30 MINUTES UNTIL THE PUMP,
2055,2025-05-04 13:00:39,-1001984936323,,,,"1 HOUR UNTIL THE PUMP 

60 minutes until the coin name is released here in this channel.

When the coin name is sent, the pump happens fast. You need to buy as quickly as possible to get in at a good price and sell when you’re happy with the gains.",
2054,2025-05-04 12:00:44,-1001984936323,,,,2 HOURS UNTIL THE PUMP,
2053,2025-05-04 11:01:39,-1001984936323,,,,3 HOURS UNTIL THE PUMP,
2052,2025-05-04 10:00:27,-1001984936323,,,,4 HOURS UNTIL THE PUMP,
2051,2025-05-04 09:22:27,-1001984936323,,,,"PUMP DAY. TODAY WE MAKE PROFIT ❗️

Invest, watch our coin fly, sell for profit.

Let’s go. Today is profit day. Make sure you’re ready and prepared.

PUMP WILL BE ONLY AT POLONIEX 

1. Have USDT ready in your Poloniex account
2. Have practiced buying and selling quickly on Poloniex

All info in the guide at the pinned message. Those most prepared make the most money. It’s a game of speed and execution

Ask me if you have any questions 
 ➡️@pumpour",
2050,2025-05-03 15:00:01,-1001984936323,,,,"TOMORROW❗️

THE PUMP ON POLONIEX.COM❗️

If you haven't deposited USDT in your Poloniex account for your desired investment amount, now is the time to prepare. 

Remember all our pumps are paired with USDT. So you need USDT ready in your Poloniex account to buy our coin.",
2049,2025-05-02 16:53:41,-1001984936323,,,,2 DAYS UNTIL THE PUMP❗️,
2048,2025-05-01 20:33:10,-1001984936323,,,,3 DAYS UNTIL THE PUMP❗️,
2047,2025-04-30 20:40:26,-1001984936323,,,,4 DAYS UNTIL THE PUMP❗️,
2045,2025-04-29 20:58:13,-1001984936323,,,,"PUMP ANNOUNCEMENT❗️

📊 Exchange: Poloniex.com  
                          
📆 Date: 04/05/2025 Sunday 

⏰ Time: 14:00 GMT 

💵 Pair: USDT 
       
GET READY TO MAKE PROFIT ON Sunday.

📚 Remember to read the guide below if it’s your first time pumping with us.

➡️ Ask me if you have any questions @pumpour",
2044,2025-04-28 20:47:59,-1001984936323,,,,"Hey Team, hope everybody’s doing well.

We’re currently scanning the market to find the perfect coin for our next pump. It’s likely we’ll return to Sunday also, so stay tuned for updates. 

See you all soon for another pump. This time we’ll reach our 10x target 🎯",
2043,2025-04-27 14:46:41,-1001984936323,,,,"OFFICIAL PUMP RESULTS ✅

Coin: MNDE
START PRICE: 0.072
HIGH PRICE: 0.58 🚀

Today we pumped the coin MNDE, and absolutely smashed our target again, shooting the coin to the moon. That was a truly beautiful pump. 

Massive congratulations everyone once again got another successful week - This is just normal in the life of FL Crypto Pumps Team. Enjoy your gains from today, and we go again very soon.

We’ll be back next week with another pump. 

Best,
Your FL Crypto Pumps Team 📊",
2042,2025-04-27 14:14:38,-1001984936323,,,,GREAT PUMP TODAY ✅,
2041,2025-04-27 14:00:00,-1001984936323,,,,MNDE,
2039,2025-04-27 13:55:27,-1001984936323,,,,"5 MINUTES UNTIL THE PUMP ❗️

Next message is the coin name",
2038,2025-04-27 13:50:03,-1001984936323,,,,10 MINUTES UNTIL THE PUMP ❗️,
2037,2025-04-27 13:45:08,-1001984936323,,,,15 MINUTES UNTIL THE PUMP ❗️,
2036,2025-04-27 13:30:31,-1001984936323,,,,30 MINUTES UNTIL THE PUMP ❗️,
2035,2025-04-27 13:00:49,-1001984936323,,,,"1 HOUR UNTIL THE PUMP ❗️

60 minutes until the coin name is released here in this channel.

When the coin name is sent, the pump happens fast. You need to buy as quickly as possible to get in at a good price and sell when you’re happy with the gains.",
2034,2025-04-27 12:00:47,-1001984936323,,,,2 HOURS UNTIL THE PUMP ❗️,
2033,2025-04-27 11:00:25,-1001984936323,,,,3 HOURS UNTIL THE PUMP ❗️,
2032,2025-04-27 10:05:07,-1001984936323,,,,"PUMP DAY. TODAY WE MAKE PROFIT ❗️

Invest, watch our coin fly, sell for profit.

Let’s go. Today is profit day. Make sure you’re ready and prepared.

PUMP WILL BE ONLY AT POLONIEX 

1. Have USDT ready in your Poloniex account
2. Have practiced buying and selling quickly on Poloniex

All info in the guide at the pinned message. Those most prepared make the most money. It’s a game of speed and execution

Ask me if you have any questions 
 ➡️@pumpour",
2031,2025-04-26 17:43:56,-1001984936323,,,,"TOMORROW❗️

THE PUMP ON POLONIEX.COM❗️

If you haven't deposited USDT in your Poloniex account for your desired investment amount, now is the time to prepare. 

Remember all our pumps are paired with USDT. So you need USDT ready in your Poloniex account to buy our coin.",
2030,2025-04-25 19:48:13,-1001984936323,,,,2 DAYS UNTIL THE PUMP❗️,
2029,2025-04-24 20:53:38,-1001984936323,,,,3 DAYS UNTIL THE PUMP❗️,
2028,2025-04-23 21:56:58,-1001984936323,,,,"PUMP ANNOUNCEMENT❗️

📊 Exchange: Poloniex.com  
                          
📆 Date: 27/04/2025 Sunday 

⏰ Time: 14:00 GMT 

💵 Pair: USDT 
       
GET READY TO MAKE PROFIT ON Sunday.

📚 Remember to read the guide below if it’s your first time pumping with us.

➡️ Ask me if you have any questions @pumpour",
2027,2025-04-20 19:41:42,-1001984936323,,,,"OFFICIAL PUMP RESULTS ✅

Coin: LUNA
START PRICE: 0.1
HIGH PRICE: 0.969 🚀

Today we pumped the coin LUNA, and absolutely smashed our target again, shooting the coin to the moon. That was a truly beautiful pump. 

Massive congratulations everyone once again got another successful week - This is just normal in the life of FL Crypto Pumps Team. Enjoy your gains from today, and we go again very soon.

We’ll be back next week with another pump. 

Best,
Your FL Crypto Pumps Team 📊",
2025,2025-04-20 15:05:47,-1001984936323,,,,WHAT A GREAT PUMP TODAY ✅,
2024,2025-04-20 15:00:00,-1001984936323,,,,LUNA,
2023,2025-04-20 14:56:23,-1001984936323,,,,"5 MINUTES UNTIL THE PUMP ❗️

Next message is the coin name",
2022,2025-04-20 14:50:11,-1001984936323,,,,10 MINUTES UNTIL THE PUMP ❗️,
