message_id,date,sender_id,first_name,last_name,username,message,reply_to
13303,2025-04-24 17:46:34,-1001228151017,,,,"#CRV
+190% profit with 10x 🚀🚀🚀",
13302,2025-04-24 15:11:54,-1001228151017,,,,Nice 🔥🔥🔥,
13301,2025-04-24 09:57:26,-1001228151017,,,,"#Others 

220B is a crucial level to be hold for bullish continuation on Altcoins",
13300,2025-04-24 08:32:16,-1001228151017,,,,"#BTC Short is doing perfect. We almost Shorted the exact top 🤓 

🚨 Discount alert 🚨
12 Months Premium Membership only $188 (Regular $300) 🏆
(SPOT + MARGIN + Chat Room)

For Premium Contact me: @GalaxyTradingAdmin✅

Use the best non-KYC exchange with exclusive bonuses: https://partner.blofin.com/d/GalaxyTrading",13288
13299,2025-04-24 07:57:04,-1001228151017,,,,GM Digital friends. Let’s make some money today 💵,
13298,2025-04-23 19:42:03,-1001228151017,,,,,13297
13297,2025-04-23 19:41:58,-1001228151017,,,,"We’re at the edge of something big.
The market is heating up — and Bitcoin dominance is about to fall.
That’s when altcoins explode — and those who are ready, win big.

Now is the perfect time to join GalaxyTrading’s Premium Membership and make the most of this final phase of the bull cycle.

For a limited time only, get $188 for our annual Premium plan — giving you access to:
 • Spot Trading Group
 • Margin Trading Group
 • Private Live Chat with our expert team & premium community

This will be one of the most important financial decisions you make in 2025.

Join now — or stay on the sidelines.
24-hour money-back guarantee if it’s not for you.
But we know you’ll love it",
13296,2025-04-23 15:45:50,-1001228151017,,,,#BTC Short: $92k. ✅,13288
13295,2025-04-23 15:13:41,-1001228151017,,,,"#BTC $94 000 ✅

Everything that was resistance is now potential support. To keep the ULTRA bullish structure intact, the key level to hold is $90K. To keep just a bullish structure price should not go below $85k.

A move lower is definitely possible — but it would dampen my bullish outlook.

That said, as mentioned before, continuing the pump without a deep pullback is also on the table. That’s why we take regular profits on the way down and use a Stop Loss.",13270
13294,2025-04-23 14:22:51,-1001228151017,,,,😎✊,13293
13293,2025-04-23 14:01:31,-1001228151017,,,,"When everyone turns bullish, Galaxy opens a Short and prints 🔥🔥🔥

🚨 Discount alert 🚨
12 Months Premium Membership only $188 (Regular $300) 🏆
(SPOT + MARGIN + Chat Room)

For Premium Contact me: @GalaxyTradingAdmin✅

Use the best non-KYC exchange with exclusive bonuses: https://partner.blofin.com/d/GalaxyTrading",13288
13292,2025-04-23 13:57:52,-1001228151017,,,,"#BTC D

Took out the high now showing weakness. 

Still the major level is 66-67% but not having any exposure to alts is a mistake",
13291,2025-04-23 12:07:21,-1001228151017,,,,"#NPC

The plan Goes ON 🔥",13265
13290,2025-04-23 10:20:14,-1001228151017,,,,Closing the rest of #BANANA here 🔥🔥🔥,
13289,2025-04-23 10:20:09,-1001228151017,,,,Closing #SEI here 🔥🔥🔥,
13288,2025-04-23 08:09:40,-1001228151017,,,,"#BTC SHORT: Risky Trade 

Entry: $95k. - $94k.

Targets: $92k. $90k. $88k. $85k.

SL: $97187",
13287,2025-04-23 07:51:50,-1001228151017,,,,"#SPECT +70% profit so far. 😎

This is one of our strong conviction plays. If we see a dip soon we will buy even more with way higher targets. 🚀🚀🚀",13204
13286,2025-04-23 07:31:36,-1001228151017,,,,"#EMP

Consider buying EMP below 60$

Targets before aiming for ATH are on the chart - fib levels",
13285,2025-04-23 06:52:49,-1001228151017,,,,"#CHILL

+54% spot profit 🔥🔥🔥

Made same good money overnight",
13284,2025-04-23 06:47:30,-1001228151017,,,,"GM 🚀🚀🚀

🚨 Discount alert 🚨
12 Months Premium Membership only $188 (Regular $300) 🏆
(SPOT + MARGIN + Chat Room)

For Premium Contact me: @GalaxyTradingAdmin✅

Use the best non-KYC exchange with exclusive bonuses: https://partner.blofin.com/d/GalaxyTrading",13259
13283,2025-04-22 21:56:57,-1001228151017,,,,"GN! Taking some profits out, stop in profit = Good Sleep 😎",13277
13282,2025-04-22 20:27:29,-1001228151017,,,,"#ETH 

Macd crossing bullish on 3D first time since 15th December. 

A change is coming A BULL CHANGE !",
13281,2025-04-22 19:52:26,-1001228151017,,,,"#TOTAL 3

Close above 783B confirms change in MS as a Higher High. 

Watch the zone from 840 to 950 B for a target zone",
13280,2025-04-22 19:34:18,-1001228151017,,,,"We’ve launched a new Blofin campaign exclusively for our existing members who signed up through the GalaxyTrading affiliate link!

https://blofin.com/en/invite/GalaxyTrading

Get 20% Cashback on your Futures deposit – it’s literally free money!

Read the disclaimer carefully",
13279,2025-04-22 18:58:12,-1001228151017,,,,"#ETH / BTC

The most hated rally is around the corner.

99.9% of people and the big CT gurus saying it's dead and won't ever recover. 

Guess what's coming soon",
13278,2025-04-22 18:58:03,-1001228151017,,,,"#CHILLGUY

+15% spot for the day 🔥🔥🔥

2x minimum !",
13277,2025-04-22 13:49:25,-1001228151017,,,,"🔥🔥🔥

🚨 Discount alert 🚨
12 Months Premium Membership only $188 (Regular $300) 🏆
(SPOT + MARGIN + Chat Room)

For Premium Contact me: @GalaxyTradingAdmin✅

Use the best non-KYC exchange with exclusive bonuses: https://partner.blofin.com/d/GalaxyTrading",13259
13276,2025-04-22 13:45:12,-1001228151017,,,,"#BTC

90-94 still the biggest resistance.",
13275,2025-04-22 11:38:02,-1001228151017,,,,"#ETH D

Lowest level ever 🥴",
13274,2025-04-22 07:29:49,-1001228151017,,,,"#BTC D

New Cycle High",13243
13273,2025-04-22 07:14:06,-1001228151017,,,,"#GOLD 

We are here at 3500$ level. 

I already see some crazy targets in the internet space - 6000 $ / 8000$ until end of 2025. 

Things looks similar as the targets for BTC 250-400-500k",13258
13272,2025-04-21 19:49:02,-1001228151017,,,,"#BTC

Possible plan for the upcoming days. 

Invalidation break above 88k",
13271,2025-04-21 16:18:47,-1001228151017,,,,"#DXY 

BOOM 

EXACTLY As predicted 🔥",13112
13270,2025-04-21 08:26:00,-1001228151017,,,,"✅ #BTC is moving exactly as predicted

After confirming the Double Bottom with the $85K S/R flip, Bitcoin has reclaimed all the minor resistance zones and is now approaching the major resistance zone: $89K – $94K 🔥

⚠️ Time to stay cautious
If we spot signs of weakness, we may look to short BTC down to $85K or even $80K 📉

💎 Additionally, if we see a rejection, we’ll be watching for a potential SPOT DCA opportunity on quality altcoins — especially if BTC dips into the $85K – $80K zone.
This could be a golden entry, but as always… time will tell ⏳",13214
13269,2025-04-21 07:59:50,-1001228151017,,,,"#SEI is doing great, taking some profits out and SL at entry - risk free 🚀🚀🚀

🚨 Discount alert 🚨
12 Months Premium Membership only $188 (Regular $300) 🏆
(SPOT + MARGIN + Chat Room)

For Premium Contact me: @GalaxyTradingAdmin✅

Use the best non-KYC exchange with exclusive bonuses: https://partner.blofin.com/d/GalaxyTrading",13259
13268,2025-04-21 07:59:23,-1001228151017,,,,GM! Nice place to take more profits. SL is in profit as well 🔥🔥🔥,
