message_id,date,sender_id,first_name,last_name,username,message,reply_to
13434,2025-05-07 19:09:16,-1001851567457,,,,860k mcap 9x,13432
13433,2025-05-07 18:44:15,-1001851567457,,,,2.5x 240k mcap,13432
13432,2025-05-07 18:38:15,-1001851567457,,,,"#SOL 🪙 🪙$urgay

Dyor/NFA 90K MCAP

CA: BPiz36uNt76RjmfH2ZLFD7xAnB4QJ1roh1q86NHupump

🤑Buy Bot🤑Buy on MevX",
13431,2025-05-07 18:10:20,-1001851567457,,,,"🟣 Achievement Unlocked: x30! 

@Insider_ECA made a x30+ call on CHICKEN BANANA. 

$109K -> $3.4M

👁View Call 📊View Stats

🔊Ad - Meerkat ($MERK)
More than a token: staking, games, meme, generator and governance.",
13430,2025-05-07 16:55:07,-1001851567457,,,,"#SOL 🪙 🪙$BBW

Dyor/NFA 70K MCAP

CA: 7orK696xWVNzhvN88pvKADtFv7BmTBMKR7PXeGHnpump

🤑Buy Bot🤑Buy on MevX",
13429,2025-05-07 15:47:02,-1001851567457,,,,"#SOL 🪙 🪙$yomama

Dyor/NFA 120K MCAP

CA: 3nCUwqcecF7bGxAqWmXPtTA6xn1qkVwWmwtV8ocybonk

🤑Buy Bot🤑Buy on MevX",
13428,2025-05-07 14:37:36,-1001851567457,,,,"#SOL 🪙 🪙$bobi

Dyor/NFA 35K MCAP

CA: 4vDbyVfE2HYMeYDXL94sfaCBrfgaNiYsDiMuvVwEpump

🤑Buy Bot🤑Buy on MevX",
13427,2025-05-07 13:40:25,-1001851567457,,,,"#SOL 🪙 🪙$MOGGUY

Dyor/NFA 60K MCAP

CA: 3DqyAK65B7LhpaUNYS3wUGKLUY9Z2c9EkWyoqKp7pump

🤑Buy Bot🤑Buy on MevX",
13426,2025-05-07 13:33:30,-1001851567457,,,,"🟣 Achievement Unlocked: x30! 

@Insider_ECA made a x30+ call on CHICKEN BANANA. 

$109K -> $3.4M

👁View Call 📊View Stats

🔊Ad - Meerkat ($MERK)
More than a token: staking, games, meme, generator and governance.",
13425,2025-05-07 12:16:18,-1001851567457,,,,2x 200k mcap,13424
13424,2025-05-07 11:59:53,-1001851567457,,,,"#SOL 🪙 🪙$ANONDOG

Dyor/NFA 90K MCAP

CA: HrhCuoDekwK8EMLJ3Ec1DiXQFN9LubhvAyGaD3Cypump

🤑Buy Bot🤑Buy on MevX",
13423,2025-05-07 11:10:11,-1001851567457,,,,2X 70K MCAP,13422
13422,2025-05-07 09:43:14,-1001851567457,,,,"#SOL 🪙 🪙$AoOni

Dyor/NFA 30K MCAP

CA: 85coB6HTUsgPFoB5apBiHeLFN6DVUxdXf6DZcXVypump

🤑Buy Bot🤑Buy on MevX",
