message_id,date,sender_id,first_name,last_name,username,message,reply_to
29822,2025-04-24 19:00:54,-1001128134602,,,,Take a wild guess — what’s the Gem of the Week? 💭,
29821,2025-04-24 14:52:26,-1001128134602,,,,"Crypto’s Next Chapter Starts Here – TOKEN2049 🚀

We’ve officially announced our CEO’s speaking schedule for TOKEN2049. 

Follow BC Wong for timely updates and exclusive insights.🔥

📅 Save the Date:
🕧 12:30 PM, April 30 - Keynote (KuCoin Stage)
Topic: The Trust Gap in Crypto: Building Platforms That Deserve to Win

🕓 4:40 PM, May 1 - Panel (OKX Main Stage)
Topic: What’s Next for Crypto Markets: The Exchange Perspective

Swing by, vibe with us, and let’s shape the future of crypto together. 

#KuCoinTeam #TOKEN2049 #CryptoLeaders",
29819,2025-04-24 13:45:06,-1001128134602,,,,"🎉 #Giveaway Alert: Celebrate the $DOLO listing on #KuCoin!

🎁 16,667 $DOLO for 100 winners!

🗓Til 13:30 on April 26, 2025 (UTC) (48 hours)

🎁Giveaway Details
https://x.com/kucoincom/status/1915397816643354846",
29817,2025-04-24 13:03:22,-1001128134602,,,,"📣KuCoin #DailyShare - April 24, 2025📣

💰Cryptocurrency Express (24-Hour Highlights)
Trading Pair                           24HChange
⬆️MEMEFI/USDT                    +103.03%
⬆️JELLYJELLY/USDT                +62.81%
⬆️XCV/USDT                           +56.88%
Trade now on KuCoin!

👉 New listing: TROLL (TROLL)

👇New Activity:
- Dolomite (DOLO) Listing Campaign, 167,000 DOLO to Giveaway!

More to See on KuCoin!
👉 KuCoin Supports the Official Launch of Thailand Licensed Digital Token and Cryptocurrency Exchange “KuCoin Thailand”",
29816,2025-04-24 13:01:21,-1001128134602,,,,"$DOLO trading is now live on #KuCoin!

🚀DOLO/USDT: trade.kucoin.com/DOLO-USDT?utm_source=community_partner_info

Find out more about Dolomite in #KuCoinCryptoGem card.

#Lending",
29815,2025-04-24 12:31:22,-1001128134602,,,,"🔥INIT Trading Competition Trade to Win a Share of around 20,000 USDT Prize Pool
⏰11:00:00 on April 24, 2025 to 11:00:00 on May 1, 2025 (UTC)
👉https://www.kucoin.com/platform/trading-competition/INIT_Trading_Competition?utm_source=community_partner_event&appNeedLang=true&utm_medium=inittrading

Join KuCoin English Main and KuCoin Exchange 2nd Group for the latest events!",
29814,2025-04-24 12:01:17,-1001128134602,,,,"$TROLL trading is now live on #KuCoin!

🚀TROLL/USDT: trade.kucoin.com/TROLL-USDT?utm_source=community_partner_info

Find out more about TROLL in #KuCoinCryptoGem card.

#Meme",
29813,2025-04-24 11:32:26,-1001128134602,,,,"🎉 #Giveaway Alert: Celebrate the $INIT listing on #KuCoin!

🎁 3,000 $INIT for 100 winners!

🗓Til 11:30 on April 26, 2025 (UTC) (48 hours)

🎁Giveaway Details
https://x.com/kucoincom/status/1915367618527035470",
29812,2025-04-24 11:05:39,-1001128134602,,,,"$INIT trading is now live on #KuCoin!

🚀INIT/USDT: trade.kucoin.com/INIT-USDT?utm_source=community_partner_info

Find out more about Initia in #KuCoinCryptoGem card.

#Layer1",
29811,2025-04-24 10:56:15,-1001128134602,,,,"🎉 Luck4 is still going strong! 🚀

Boost your investments & maximize every profit opportunity—add funds or create new trading bots during the event to unlock cashback rewards and special grand prizes! 🔥

👉 https://www.kucoin.com/land/promotions/lucky4-botevent?utm_medium=luck4bot&utm_source=community_partner_event&appNeedLang=true

#KuCoin #KuCampaign #Luck4",
29810,2025-04-24 10:43:50,-1001128134602,,,,"Exciting news! 🚀 $HAEDAL spot trading launches on April 29, 2025, at 12:00 UTC!

Deposits and withdrawals will open on the #Sui chain. Get ready! 🔥",
29809,2025-04-24 10:32:14,-1001128134602,,,,"KuCoin Futures Will Delist the MAXUSDT Perpetual Contract
👉https://www.kucoin.com/announcement/kucoin-futures-will-delist-the-maxusdt-perpetual-contracts?utm_source=community_partner_ann
#Announcement",
29808,2025-04-24 10:09:35,-1001128134602,,,,"KuCoin Convert Adds PROMPT, AERGO, DARK and PAXG
👉https://www.kucoin.com/announcement/en-kucoin-convert-adds-prompt-aergo-dark-and-paxg?utm_source=community_partner_ann
#Announcement",
29807,2025-04-24 09:15:02,-1001128134602,,,,"💎TROLL (TROLL) Gets Listed on KuCoin! 
🤑Deposit: now open
🚀Trade TROLL/USDT: 12:00 on April 24, 2025 (UTC)
👉https://www.kucoin.com/announcement/en-troll-troll-gets-listed-on-kucoin?utm_source=community_partner_ann
#KuListing",
29806,2025-04-24 09:07:49,-1001128134602,,,,"💰FREEDOG Fixed Promotion, Enjoy an APR of 260%!
⏰Activity Start: 10:00:00 on April 24, 2025 (UTC)
👉https://www.kucoin.com/announcement/en-freedog-fixed-promotion-enjoy-an-apr-of-260?utm_source=community_partner_event&utm_medium=freedog

Join KuCoin Earn, KuCoin English Main, KuCoin Exchange 2nd Group and KuCoin Discord for more exciting promotions & staking products!",
29805,2025-04-24 09:03:14,-1001128134602,,,,"Peace, potential, and potassium.

#KuMorning",
29804,2025-04-24 07:50:18,-1001128134602,,,,"🔥Dolomite (DOLO) Listing Campaign, 167,000 DOLO to Giveaway!
⏰13:00 on April 24, 2025 to 13:00 on May 01, 2025 (UTC)
👉https://www.kucoin.com/announcement/en-dolomite-dolo-listing-campaign-167000-dolo-to-giveaway?utm_source=community_partner_event&utm_medium=dolo

Join KuCoin English Main and KuCoin Exchange 2nd Group for the latest events!",
29803,2025-04-24 07:32:47,-1001128134602,,,,"USDT-margined EPT Perpetual Contract Gets Online on KuCoin!
👉https://www.kucoin.com/announcement/en-usdt-margined-ept-perpetual-contract-gets-online-on-kucoin?utm_source=community_partner_ann

Join KuCoin Futures Official Telegram Group for the latest events!",
29802,2025-04-24 07:32:24,-1001128134602,,,,"USDT-margined VOXEL Perpetual Contract Gets Online on KuCoin!
👉https://www.kucoin.com/announcement/en-usdt-margined-voxel-perpetual-contract-gets-online-on-kucoin?utm_source=community_partner_ann

Join KuCoin Futures Official Telegram Group for the latest events!",
29801,2025-04-24 07:18:22,-1001128134602,,,,"KuCoin Has Completed the 4th Batch of E Money Network (EMYC) Token Distribution
👉https://www.kucoin.com/announcement/en-kucoin-has-completed-the-4th-batch-of-e-money-network-emyc-token-distribution?utm_source=community_partner_ann
#Announcement",
29800,2025-04-24 07:03:56,-1001128134602,,,,"🔥Initia (INIT) Launch Celebration: Earn From a 124,977 INIT Prize Pool and Enjoy a 200% APR!
⏰07:00 on April 24, 2025 to 11:00 on May 4, 2025 (UTC)
👉https://www.kucoin.com/announcement/en-initia-init-launch-celebration-earn-from-a-124977-init-prize-pool-and-enjoy-a-200-apr?utm_source=community_partner_event&utm_medium=init

Join KuCoin English Main and KuCoin Exchange 2nd Group for the latest events!",
29798,2025-04-24 04:41:57,-1001128134602,,,,"🔥Don’t miss our #KuCoinFireSideChat with EPT!

⏰16:00 on April 25, 2025 (UTC)

🎁Giveaway Details
https://x.com/kucoincom/status/1915261920372036017

✅Set a reminder
https://x.com/i/spaces/1nAKEgDlWpYJL/peek

Support $EPT on #KuCoin now ⤵️
https://kucoin.com/r/af/x20A25TS",
29797,2025-04-24 04:26:54,-1001128134602,,,,"KuCoin Will Add Initia (INIT) on Margin, Futures, Convert, Saving and Fast Trade
👉https://www.kucoin.com/announcement/en-kucoin-will-add-initia-init-on-margin-futures-convert-saving-and-fast-trade?utm_source=community_partner_ann
#Announcement",
29796,2025-04-24 01:03:27,-1001128134602,,,,"🚀 24-Hour Top 5 Gainers on #KuCoin (April 24, 2025) 

1. Zora $ZORA - $0.022 (+2,130%)
2. jelly-my-jelly #JELLYJELLY - $0.028 (+129%)
3. Memefi $MEMEFI - $0.0021 (+121%)
4. Matr1x $MAX - $0.06 (+76%)
5. pSTAKE Finance $PSTAKE - $0.019 (+55%)

Check Out Today's Top Crypto Gainers on KuCoin
👉https://www.kucoin.com/markets/rankings/gainers?utm_source=community_partner_info

#Ku24hour",
29795,2025-04-23 19:02:44,-1001128134602,,,,Grind check: Still active. Still moving. Still #KuBuild-ing.,
29794,2025-04-23 14:09:18,-1001128134602,,,,"🎉 #Giveaway Alert: Celebrate the $ZORA listing on #KuCoin!

🎁 30,000 ZORA for 100 winners! 

🗓Til 13:30 on April 25, 2025 (UTC) (48 hours)

🎁Giveaway Details
https://x.com/kucoincom/status/1915035429755081035",
29793,2025-04-23 13:21:09,-1001128134602,,,,"KuCoin Convert Adds ZORA
👉https://www.kucoin.com/announcement/en-kucoin-convert-adds-zora?utm_source=community_partner_ann
#Announcement",
29792,2025-04-23 13:05:42,-1001128134602,,,,"$ZORA trading is now live on #KuCoin!

🚀ZORA/USDT: trade.kucoin.com/ZORA-USDT?utm_source=community_partner_info

Find out more about Zora in #KuCoinCryptoGem card.

#Social",
29791,2025-04-23 13:02:05,-1001128134602,,,,"$CLANKER trading is now live on #KuCoin!

🚀CLANKER/USDT: trade.kucoin.com/CLANKER-USDT?utm_source=community_partner_info

Find out more about tokenbot in #KuCoinCryptoGem card.

#AI #Tokens",
29790,2025-04-23 13:01:10,-1001128134602,,,,"📣KuCoin #DailyShare - April 23, 2025📣

💰Cryptocurrency Express (24-Hour Highlights)
Trading Pair                           24HChange
⬆️ZEREBRO/USDT                    +157.04%
⬆️HYPER/USDT                         +125.52%
⬆️NEIRO/USDT                         +111.22%
Trade now on KuCoin!

👉 New listing: tokenbot (CLANKER)

👇New Activity:
- Zora (ZORA) Listing Campaign, 2.8 Million ZORA to Giveaway!
- Slingshot (SLING) Trading Campaign: Trade to Win a Share of 1.5 Million SLING Prize Pool!

More to See on KuCoin!
👉 Recognizing Phishing Email Traps and Protecting Your Digital Assets",
