message_id,date,sender_id,first_name,last_name,username,message,reply_to
14209,2025-04-24 19:14:24,-1001529480805,,,,"COKAMI 🪙

Smashed a new ATH and looking good on COKAMI 
Narrative is good 
Let's see 

https://dexscreener.com/solana/GHXFf7kyjwpmgV4qtuwBX16twa9DyFrsGCgo9E9gwwpz",14192
14208,2025-04-24 19:02:16,-1001529480805,,,,"I am here in dubai till token2049, if anyone coming just ping me, lets meet ❤️",
14207,2025-04-24 16:01:03,-1001529480805,,,,"COCORO Buy!
🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀

🔀 Spent $234.34 (0.133 ETH)
🔀 Got 8,530,964 COCORO
👤 Buyer / TX
🪙 Position +97%
💸 Market Cap $11,533,824

DexT | Screener | Buy | Trending

🥉  #3 On ETH Trending 🔥",
14206,2025-04-24 09:14:54,-1001529480805,,,,"Study ABSTRACT Network! Here is the gem 💎

Networks always Blow up Memes to bring eyes to their network: 
$SHIBA on ETH Hit: 55bn
$FLOKI on BSC hit: 3.5BN
$BONK on SOL hit: $6BN
$LOFI on SUI hit: $250m
$VSG on VSC hit: 70m
$PHNIX on XRPL hit 75m+
$PICO on ABSTRACT Currently on $3.5m .... what will it get to?


Meet PICO, the adorable, mischievous penguin who’s becoming Abstract’s flagship IP coin. 

He’s a cute, chaotic character w/ 100M+ views across TikTok/IG, backed by top-tier content, lore, and a pipeline of collabs w/ Abstract ecosystem apps. 

PICO is ready to take over TikTok, IG, and on-chain- helping lead Abstract to the future of consumer crypto

www.pico.meme  
x.com/picowya
t.me/picowya

CA: 0x60ED5CE0D66554AC63EDD35F4F91181f747Ae8C6

How to buy: https://t.me/c/2311788922/3490 (join tg first to see)",
14205,2025-04-24 06:20:24,-1001529480805,,,,We Just Sent Another 3% supply vitalik address — vitalik.eth https://etherscan.io/address/0xDd34a831b961eb2064bC2Fd915803Db35781F886,
14204,2025-04-24 06:11:25,-1001529480805,,,,"https://dexscreener.com/ethereum/0xaca48df47feeb69bedfc3db4cca757b9a8402985

Aped some here 
Gamble

t.me/Gift_Vitalik",
14203,2025-04-23 17:31:37,-1001529480805,,,,"$POTUS is Ripping! 🚀🚀🚀

BgWmyRbcyEKTChUoH2xbcsEdVnJezs3ckveMxADbpump",
14202,2025-04-23 17:01:11,-1001529480805,,,,"Keep eyes on $POTUS 

Solid team have been waiting for the right time to push  with $TRUMP pumping! 

BgWmyRbcyEKTChUoH2xbcsEdVnJezs3ckveMxADbpump",
14201,2025-04-23 10:30:16,-1001529480805,,,,"Raise is looking good so far on X-BOT 

https://www.pinksale.finance/solana/launchpad/H9bJMCQ8Bu1uGAoko2eqsEhWFpvLB76H5vpfGY5yCNLz",14161
14200,2025-04-22 23:34:47,-1001529480805,,,,"https://x.com/MrPeyo5885/status/1914825196659183725?t=rYwj6Krtm_3RAjaDOGeMww&s=19

Smash",
14199,2025-04-22 23:27:38,-1001529480805,,,,"Looking good so far from that dip call
Chart is holding good and smashed new ATH 
Send it!

https://dexscreener.com/ethereum/0x4d870b7ff80951af8252b87695395b6b695aee25",14198
14198,2025-04-22 22:35:06,-1001529480805,,,,"Aping some here 
First time working with team 
Looking good so far 
Low cap gamble

https://dexscreener.com/ethereum/0x4d870b7ff80951af8252b87695395b6b695aee25

https://t.me/tiooneth",
14197,2025-04-22 21:53:16,-1001529480805,,,,"🟢 $93,500 @bitcoin_price",
14196,2025-04-22 19:07:36,-1001529480805,,,,"DYOR Buy!  
🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢🟢

🔀 6.8 SOL ($984.55)
🔀 894,296.63 DYOR
👤 VvfT64...6YAr | Txn
⬆️ New Holder!
💸 Market Cap $1,107,000

📈 Chart   ⏫ Trending   ✳️ Events",
14195,2025-04-22 17:09:37,-1001529480805,,,,"Aped $DYOR 

6i96ESnYb3SzhPhUmn1CLmASRnZUFBU8nNwZWmhMpump",
14194,2025-04-22 15:21:24,-1001529480805,,,,,
14193,2025-04-22 15:21:23,-1001529480805,,,,"JUST IN: Bitcoin reclaims $90,000

@WatcherGuru",
14192,2025-04-22 15:19:37,-1001529480805,,,,"Did 3-4x from call and got jeeted to bottom 
Team still pushing and reversing the chart 

https://dexscreener.com/solana/GHXFf7kyjwpmgV4qtuwBX16twa9DyFrsGCgo9E9gwwpz",14190
14191,2025-04-22 02:27:19,-1001529480805,,,,"$PEPES 🔹

Yeah, Elon tweeted ""Doges,"" but we all know he really meant ""Pepes.""

Good team and good narrative 
Team grinds here, just launched, abit clogged, watching entries 

Ca :- 0x16c197afd7714e1eb74148d79b3c04951ef199bf

https://dexscreener.com/ethereum/0x16c197afd7714e1eb74148d79b3c04951ef199bf

https://t.me/Pepes_ERC
https://x.com/Pepes_ERC
https://pepesoneth.xyz",
14190,2025-04-22 01:53:27,-1001529480805,,,,"https://pump.fun/5vA6r4xeUBCzBQnfV7vUA46tDX8wiyF8cEewx4BZpump

Aped some here on Cadabomb Okami is the most expensive dog in the world 
Gamble",
14189,2025-04-21 23:39:47,-1001529480805,,,,"https://dexscreener.com/solana/5jfm2jn8ecjywdct4gcpv56na2bfsmpobvcqobd9m6eo

aped some here 
looks good 
gamble",
14188,2025-04-21 12:40:32,-1001529480805,,,,Morning Degens ✅,
14187,2025-04-21 00:30:02,-1001529480805,,,,🚀 SOL price changed +2.06%! Current price $141.59  📈 /chart_SOL_6s1,
14186,2025-04-20 06:26:30,-1001529480805,,,,"$Miro back to new ATH 

https://dexscreener.com/ethereum/0xef546cd0519ef82f347334dad1a17c0a9199e0c6",14175
14185,2025-04-20 01:19:44,-1001529480805,,,,"Achievement Unlocked: Hot Streak 🎯

@PEYOSDEGENHUB has called three x2+ in a row.


👁View Call 1
👁View Call 2
👁View Call 3

📊View Stats

🔊Ad - OXAI
Next-gen L1 & AI app",
14184,2025-04-20 01:13:39,-1001529480805,,,,Millions Incoming,
14183,2025-04-20 01:13:32,-1001529480805,,,,$Miro $Miro $Miro,
14182,2025-04-20 01:09:33,-1001529480805,,,,,
14181,2025-04-20 01:08:51,-1001529480805,,,,"2.5x'd so far on $miro, deserves millions send it...
https://dexscreener.com/ethereum/0xef546cd0519ef82f347334dad1a17c0a9199e0c6",14175
14180,2025-04-20 01:01:42,-1001529480805,,,,Lets see,
14179,2025-04-20 01:01:21,-1001529480805,,,,Ngl this narrative deserves to be in millions,
14178,2025-04-20 00:53:26,-1001529480805,,,,"looking good so far on $Miro 

send it to millions 

https://dexscreener.com/ethereum/0xef546cd0519ef82f347334dad1a17c0a9199e0c6",
14177,2025-04-20 00:47:43,-1001529480805,,,,trump dont fcuk me again pls,
14176,2025-04-20 00:47:19,-1001529480805,,,,$ 140.71    [ +4.94% ],
14175,2025-04-20 00:44:59,-1001529480805,,,,"Watching dip here 
name and narrative looks fire 
gamble for now 

https://dexscreener.com/ethereum/0xef546cd0519ef82f347334dad1a17c0a9199e0c6

https://t.me/mirocoineth",
