message_id,date,sender_id,first_name,last_name,username,message,reply_to
28534,2025-05-07 15:13:36,-1001869537526,,,,"Update 🔱🔱🔱

 🪙 $pitcoin
Called 35K▪️1M3 💎💎💎
Good Caller 🆒🆒🆒

 😬TROJAN  👌SOL  

💸   37X + Done From Call
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",28532
28533,2025-05-07 14:50:13,-1001869537526,,,,"Update 🔱🔱🔱

 🪙 $pitcoin
Called 35K▪️195K 💎💎💎
Good Caller 🆒🆒🆒

 😬TROJAN  👌SOL  

💸    5X + Done From Call
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",28532
28532,2025-05-07 14:43:31,-1001869537526,,,,"🆕  🔔🔔🔔

🪙 $pitcoin

💰Mcap: 35K

🦅DEXS 📱 Web

Ca:
CL2bvqdTtYQqhwQC1Ad5GZ7cedW9RrbtUK4AZs9Bpump

👌SOL Bot:https://t.me/SolTradingBot?start=CL2bvqdTtYQqhwQC1Ad5GZ7cedW9RrbtUK4AZs9Bpump-kuzDMhUkm

😬TROJAN BOT😍MEV👌BOOM 
😬 BLUM",
28528,2025-05-07 11:26:51,-1001869537526,,,,"Update 🔱🔱🔱

 🪙 $SON
Called  60K▪️150K 💎💎💎
Good Caller 🆒🆒🆒

 😬TROJAN  👌SOL  

💸    2X + Done From Call
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",28525
28527,2025-05-07 11:08:07,-1001869537526,,,,"Update 🔱🔱🔱

 🪙 $pemog
Called 40K▪️100K 💎💎💎
Good Caller 🆒🆒🆒

 😬TROJAN  👌SOL  

💸    2X + Done From Call
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",28526
28526,2025-05-07 10:52:46,-1001869537526,,,,"🆕  🔔🔔🔔

🪙 $pemog

💰Mcap: 40K

🦅DEXS

Ca:
BFW4X8hbR7XVFoMB69M2J5bvJKKmCTogWtN6XGqVw4nQ

👌SOL Bot:https://t.me/SolTradingBot?start=BFW4X8hbR7XVFoMB69M2J5bvJKKmCTogWtN6XGqVw4nQ-kuzDMhUkm

😬TROJAN BOT😍MEV👌BOOM 
😬 BLUM",
28525,2025-05-07 10:39:37,-1001869537526,,,,"🆕  🔔🔔🔔

🪙 $SON

💰Mcap: 60K

🦅DEXS

Ca:
J5EZNn8wV3TmiJjF5YbJyEoz3TqC9Sp7DKGpw6nSpump

👌SOL Bot:https://t.me/SolTradingBot?start=J5EZNn8wV3TmiJjF5YbJyEoz3TqC9Sp7DKGpw6nSpump-kuzDMhUkm

😬TROJAN BOT😍MEV👌BOOM 
😬 BLUM",
28524,2025-05-06 16:24:38,-1001869537526,,,,"Update 🔱🔱🔱

 🪙 $Stickhouse
Called 70K▪️170K 💎💎💎
Good Caller 🆒🆒🆒

 😬TROJAN  👌SOL  

💸    2X + Done From Call
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",28523
28523,2025-05-06 16:09:11,-1001869537526,,,,"🆕  🔔🔔🔔

🪙 $Stickhouse

💰Mcap: 70K

🦅DEXS

Ca:
32tKZ3gyQxF1kTY7mF4E7in6sJrNNrHWK6aEZxkwpump

👌SOL Bot:https://t.me/SolTradingBot?start=32tKZ3gyQxF1kTY7mF4E7in6sJrNNrHWK6aEZxkwpump-kuzDMhUkm

😬TROJAN BOT😍MEV👌BOOM 
😬 BLUM",
28520,2025-05-05 18:46:15,-1001869537526,,,,"🟣 Achievement Unlocked: x2! ✌️

@POSEIDON_DEGEN_CALLS made a x2+ call on Mom, i love you. 

$54K -> $109K

👁View Call 📊View Stats

🔥 TRENDING #2🪙
gork - Setting new standards, based",
