message_id,date,sender_id,first_name,last_name,username,message,reply_to
57246,2025-04-20 19:31:26,-1001372485456,,,,"Happy Easter 💚🤍

We wish happiness to you and your family, and for the resurrection of the Golden Bull Run!",
57245,2025-04-11 16:00:35,-1001372485456,,,,,57244
57244,2025-04-11 16:00:31,-1001372485456,,,,"pump fun livestreaming has been rolled out to 100% of users with industry standard moderation systems in place and transparent guidelines: https://pump.fun/docs/livestream-moderation-policy

If you’re a creator and are looking for any support, feel free to message us at @a1lon9s and @QuinncySP",
57243,2025-04-10 17:48:12,-1001372485456,,,,the trenches are tariff proof.,
57242,2025-04-04 19:12:29,-1001372485456,,,,idc if this is tariffed where can i get one???,
57241,2025-03-30 12:42:16,-1001372485456,,,,,57240
57240,2025-03-30 12:42:06,-1001372485456,,,,"🔥 Pump.Fun Launches StakeSOL.app – Stake Your SOL with High APY! 🔥

We’re excited to announce the launch of StakeSOL.app – a brand new staking platform developed by Pump.Fun, allowing users to stake Solana (SOL) easily, securely, and earn some of the highest APY in the market.

🚀 Why Stake with StakeSOL.app?

High APY – maximize your rewards

Simple and user-friendly interface

Backed by the speed and security of Solana

👉 Visit StakeSOL.app and start staking today!
Let Pump.Fun help you grow your SOL effortlessly!",
57239,2025-03-28 17:17:03,-1001372485456,,,,"pump fun just levelled up! users can now enjoy:

- trending coins (pump fun is the news!)
- new sidebar navigation
- new watchlists
- new semantic search (smarter, intent-based searching)

with more BIG updates on the way 🔥",
57238,2025-03-28 05:46:14,-1001372485456,,,,"pump fun season 2

- rewarding organic communities
- incentivizing sustainable usage
- more accessible and friendly to newbies

just getting started",
57237,2025-03-27 16:02:35,-1001372485456,,,,"mom, why are we so rich?

your father sat in his bedroom making ghibli versions of his favorite internet memes, son",
57236,2025-03-26 17:59:39,-1001372485456,,,,should pump fun have a ghibli mode?,
