message_id,date,sender_id,first_name,last_name,username,message,reply_to
37104,2025-04-24 15:23:14,-1001217702004,,,,"FIDELITY WARNS OF BITCOIN SHORTAGE

@RoseSignalsPremium",
37103,2025-04-24 14:52:15,-1001217702004,,,,,
37102,2025-04-24 14:46:34,-1001217702004,,,,"comment this chart

@RoseSignalsPremium",
37101,2025-04-24 14:38:17,-1001217702004,,,,,
37100,2025-04-24 14:34:34,-1001217702004,,,,"It's time.

@RoseSignalsPremium",
37099,2025-04-24 13:22:44,-1001217702004,,,,"Case A: we don't need to wait

Case B: we have to wait till September

@RoseSignalsPremium",36975
37098,2025-04-24 13:17:11,-1001217702004,,,,"Big moves.

@RoseSignalsPremium",
37097,2025-04-24 12:03:24,-1001217702004,,,,"It's time

@RoseSignalsPremium",
37096,2025-04-24 10:20:05,-1001217702004,,,,"what is spotlight today ?

@RoseSignalsPremium",
37095,2025-04-23 22:15:04,-1001217702004,,,,"TRUMP 14 years old

@RoseSignalsPremium",37052
37094,2025-04-23 22:09:00,-1001217702004,,,,"#BTC Bullish continuation

@RoseSignalsPremium",37087
37093,2025-04-23 12:47:23,-1001217702004,,,,"#MUBARAK 🔥

@RoseSignalsPremium",37073
37092,2025-04-23 08:09:05,-1001217702004,,,,,37087
37091,2025-04-23 01:49:53,-1001217702004,,,,,37042
37090,2025-04-23 00:41:37,-1001217702004,,,,"#BTC Say something

@RoseSignalsPremium",37009
37089,2025-04-23 00:37:16,-1001217702004,,,,,
37088,2025-04-23 00:35:09,-1001217702004,,,,"#ALCH x4

@RoseSignalsPremium",
37087,2025-04-22 16:42:49,-1001217702004,,,,"#BTC Bullish continuation

@RoseSignalsPremium",
37086,2025-04-22 15:28:40,-1001217702004,,,,"Update #BTC

@RoseSignalsPremium",37009
37085,2025-04-22 13:25:42,-1001217702004,,,,"It really made it

@RoseSignalsPremium",37018
37084,2025-04-22 13:16:01,-1001217702004,,,,,37009
37083,2025-04-22 10:15:46,-1001217702004,,,,"#PUMP x2

@RoseSignalsPremium",37008
37082,2025-04-22 09:33:33,-1001217702004,,,,"After 88888 is 155555

@RoseSignalsPremium",
37081,2025-04-22 05:58:09,-1001217702004,,,,"It’s obvious

@RoseSignalsPremium",36688
37080,2025-04-22 04:25:03,-1001217702004,,,,"Try to get a good entry 

a very nice structure.

@RoseSignalsPremium",
37079,2025-04-22 04:16:21,-1001217702004,,,,"Check it ☝️

@RoseSignalsPremium",35873
37078,2025-04-22 04:14:19,-1001217702004,,,,"Real Rose 100% Free: Never message you first | No Paid Group | No asking money | No selling any services | No fund management | No making coins| No advertisement for ICOs/projects/groups/channels | No comments on politics/scandals/politics.


If someone named Rose abc xyz... goes against this, It's fake rose or scammers 👆

@RoseSignalsPremium",
37077,2025-04-22 03:58:54,-1001217702004,,,,"Say something #BANK

@RoseSignalsPremium",37069
37076,2025-04-22 01:48:39,-1001217702004,,,,"Lagging ~ 400 days.

It's almost time.

@RoseSignalsPremium",
37075,2025-04-22 01:23:10,-1001217702004,,,,"BTC 88888

@RoseSignalsPremium",
37074,2025-04-22 01:09:37,-1001217702004,,,,"Early formation

@RoseSignalsPremium",36216
37073,2025-04-22 01:06:47,-1001217702004,,,,"#MUBARAK Bullish

@RoseSignalsPremium",
37072,2025-04-22 00:42:51,-1001217702004,,,,"It's time.

@RoseSignalsPremium",
37071,2025-04-21 14:24:19,-1001217702004,,,,,37009
37070,2025-04-21 13:40:43,-1001217702004,,,,"wtf is going on

@RoseSignalsPremium",
37069,2025-04-21 13:38:26,-1001217702004,,,,"#BANK Bullish

@RoseSignalsPremium",
37068,2025-04-21 13:17:22,-1001217702004,,,,"#GUN +20%

@RoseSignalsPremium",37040
37067,2025-04-21 12:53:57,-1001217702004,,,,"NEW paradigm:

The price of Saylor order is lower than the current real-time price of his post 😂

@RoseSignalsPremium",
37066,2025-04-21 11:28:33,-1001217702004,,,,,
37065,2025-04-21 10:00:13,-1001217702004,,,,"Burj Khalifa season.

up xxx% at weekend
retrace fully at Monday

@RoseSignalsPremium",
37064,2025-04-21 08:19:26,-1001217702004,,,,"which food today ?

@RoseSignalsPremium",
37063,2025-04-21 03:06:18,-1001217702004,,,,"yes

@RoseSignalsPremium",37031
37062,2025-04-21 03:02:30,-1001217702004,,,,"Is it a good or bad chart ?

@RoseSignalsPremium",
37061,2025-04-21 02:20:42,-1001217702004,,,,"#SOL

@RoseSignalsPremium",36957
37060,2025-04-21 01:49:43,-1001217702004,,,,"#BTC

@RoseSignalsPremium",37009
37059,2025-04-20 13:21:33,-1001217702004,,,,"#FHE +68%

@RoseSignalsPremium",37037
37058,2025-04-20 10:27:43,-1001217702004,,,,"#ALPACA +100%

@RoseSignalsPremium",37050
37057,2025-04-19 15:56:14,-1001217702004,,,,"#ALPACA +50%

@RoseSignalsPremium",37050
37056,2025-04-19 13:37:35,-1001217702004,,,,,
37055,2025-04-19 13:37:35,-1001217702004,,,,"Copied from Internet

@RoseSignalsPremium",
37054,2025-04-19 13:21:31,-1001217702004,,,,,
37053,2025-04-19 13:21:05,-1001217702004,,,,,
37052,2025-04-19 13:10:44,-1001217702004,,,,"How did Donald Trump look like when he was at 8 years old?

@RoseSignalsPremium",
37051,2025-04-19 09:59:03,-1001217702004,,,,"15%

@RoseSignalsPremium",37050
37050,2025-04-19 01:34:35,-1001217702004,,,,"#ALPACA Bullish

@RoseSignalsPremium",
37049,2025-04-18 16:43:52,-1001217702004,,,,"#FHE +33%

@RoseSignalsPremium",37037
37048,2025-04-18 16:22:54,-1001217702004,,,,"What is spotlight today?

@RoseSignalsPremium",
37047,2025-04-18 11:14:06,-1001217702004,,,,"#FHE +26%

@RoseSignalsPremium",37037
37046,2025-04-18 05:49:47,-1001217702004,,,,"Crypto Market volume dropped significantly

@RoseSignalsPremium",
37045,2025-04-18 02:42:32,-1001217702004,,,,"What is spotlight today?

@RoseSignalsPremium",
37044,2025-04-17 16:17:51,-1001217702004,,,,,37008
37043,2025-04-17 15:55:12,-1001217702004,,,,"Form is temporary, class is permanent

@RoseSignalsPremium",
37042,2025-04-17 15:52:04,-1001217702004,,,,"#INIT Bullish

@RoseSignalsPremium",
37041,2025-04-17 15:51:08,-1001217702004,,,,,
37040,2025-04-17 15:23:52,-1001217702004,,,,"#GUN Bullish

@RoseSignalsPremium",
37039,2025-04-17 15:22:54,-1001217702004,,,,"next food

@RoseSignalsPremium",
37038,2025-04-17 15:15:01,-1001217702004,,,,"who is buying Rose Channel ?

@RoseSignalsPremium",
37037,2025-04-17 15:09:28,-1001217702004,,,,"#FHE Bullish

@RoseSignalsPremium",
