message_id,date,sender_id,first_name,last_name,username,message,reply_to
16534,2025-04-24 15:23:13,-1001373818009,,,,FIDELITY WARNS OF BITCOIN SHORTAGE,
16533,2025-04-24 14:52:15,-1001373818009,,,,,
16532,2025-04-24 14:46:34,-1001373818009,,,,comment this chart,
16531,2025-04-24 14:38:19,-1001373818009,,,,,
16530,2025-04-24 14:34:37,-1001373818009,,,,It's time.,
16529,2025-04-24 13:23:26,-1001373818009,,,,"Case A: we don't need to wait

Case B: we have to wait till September",16393
16528,2025-04-24 13:17:20,-1001373818009,,,,Big moves.,
16527,2025-04-24 12:03:28,-1001373818009,,,,It's time,
16526,2025-04-24 10:25:36,-1001373818009,,,,what is spotlight today ?,
16525,2025-04-23 22:15:07,-1001373818009,,,,#BTC Bullish continuation,16515
16524,2025-04-23 22:15:07,-1001373818009,,,,TRUMP 14 years old,16476
16523,2025-04-23 22:15:07,-1001373818009,,,,,
16522,2025-04-23 12:47:27,-1001373818009,,,,#MUBARAK 🔥,16500
16521,2025-04-23 08:09:09,-1001373818009,,,,,16515
16520,2025-04-23 01:49:56,-1001373818009,,,,,16464
16519,2025-04-23 00:47:05,-1001373818009,,,,#BTC Say something,16430
16518,2025-04-23 00:37:20,-1001373818009,,,,#ALCH x4,14769
16517,2025-04-23 00:37:20,-1001373818009,,,,,
16516,2025-04-23 00:31:13,-1001373818009,,,,,
16515,2025-04-22 16:42:54,-1001373818009,,,,#BTC Bullish continuation,
16514,2025-04-22 16:40:28,-1001373818009,,,,,
16513,2025-04-22 15:28:42,-1001373818009,,,,Update #BTC,16430
16512,2025-04-22 13:25:47,-1001373818009,,,,It really made it,16441
16511,2025-04-22 13:16:04,-1001373818009,,,,,16430
16510,2025-04-22 10:16:03,-1001373818009,,,,#PUMP x2,16429
16509,2025-04-22 09:34:56,-1001373818009,,,,After 88888 is 155555,
16508,2025-04-22 05:58:16,-1001373818009,,,,It’s obvious,16108
16507,2025-04-22 04:25:08,-1001373818009,,,,"Try to get a good entry 

a very nice structure.",
16506,2025-04-22 04:18:43,-1001373818009,,,,"Real Rose 100% Free: Never message you first | No Paid Group | No asking money | No selling any services | No fund management | No making coins| No advertisement for ICOs/projects/groups/channels | No comments on politics/scandals/politics.


If someone named Rose abc xyz... goes against this, It's fake rose or scammers 👆",
16505,2025-04-22 04:18:43,-1001373818009,,,,Check it ☝️,15276
16504,2025-04-22 04:03:43,-1001373818009,,,,Say something #BANK,16495
16503,2025-04-22 01:48:45,-1001373818009,,,,"Lagging ~ 400 days.

It's almost time.",
16502,2025-04-22 01:23:16,-1001373818009,,,,BTC 88888,14844
16501,2025-04-22 01:09:40,-1001373818009,,,,Early formation,15625
16500,2025-04-22 01:06:46,-1001373818009,,,,#MUBARAK Bullish,
16499,2025-04-22 01:05:43,-1001373818009,,,,,
16498,2025-04-22 00:42:54,-1001373818009,,,,It's time.,
16497,2025-04-21 14:24:23,-1001373818009,,,,,16430
16496,2025-04-21 13:40:46,-1001373818009,,,,wtf is going on,
16495,2025-04-21 13:38:26,-1001373818009,,,,#BANK Bullish,
16494,2025-04-21 13:36:54,-1001373818009,,,,,
16493,2025-04-21 13:17:27,-1001373818009,,,,#GUN +20%,16462
16492,2025-04-21 12:54:05,-1001373818009,,,,"NEW paradigm:

The price of Saylor order is lower than the current real-time price of his post 😂",
16491,2025-04-21 11:28:37,-1001373818009,,,,,
16490,2025-04-21 10:00:32,-1001373818009,,,,"Burj Khalifa season.

up xxx% at weekend
retrace fully at Monday",
16489,2025-04-21 08:20:08,-1001373818009,,,,which food today ?,
16488,2025-04-21 03:06:18,-1001373818009,,,,yes,16452
16487,2025-04-21 03:05:48,-1001373818009,,,,Is it a good or bad chart ?,
16486,2025-04-21 02:20:48,-1001373818009,,,,#SOL,16375
16485,2025-04-21 01:49:48,-1001373818009,,,,#BTC,16430
16484,2025-04-20 13:35:43,-1001373818009,,,,#FHE +68%,16459
16483,2025-04-20 10:35:42,-1001373818009,,,,#ALPACA +100%,16474
16482,2025-04-20 00:50:40,-1001373818009,,,,,
16481,2025-04-19 15:57:13,-1001373818009,,,,#ALPACA +50%,16474
16480,2025-04-19 13:37:40,-1001373818009,,,,Copied from Internet,
16479,2025-04-19 13:37:40,-1001373818009,,,,,
16478,2025-04-19 13:21:34,-1001373818009,,,,,
16477,2025-04-19 13:21:34,-1001373818009,,,,,
16476,2025-04-19 13:15:58,-1001373818009,,,,How did Donald Trump look like when he was at 8 years old?,
16475,2025-04-19 10:00:57,-1001373818009,,,,15%,16474
16474,2025-04-19 01:35:05,-1001373818009,,,,#ALPACA Bullish,
16473,2025-04-19 01:30:11,-1001373818009,,,,,
16472,2025-04-18 16:43:52,-1001373818009,,,,#FHE +33%,16459
16471,2025-04-18 16:23:22,-1001373818009,,,,What is spotlight today?,
16470,2025-04-18 14:04:50,-1001373818009,,,,"https://t.me/boost/rose

Some of your boost will be much appreciated",16467
16469,2025-04-18 11:19:50,-1001373818009,,,,#FHE +26%,16459
16468,2025-04-18 05:49:49,-1001373818009,,,,Crypto Market volume dropped significantly,
16467,2025-04-18 02:42:36,-1001373818009,,,,What is spotlight today?,
16466,2025-04-17 16:17:55,-1001373818009,,,,,16429
16465,2025-04-17 15:57:26,-1001373818009,,,,"Form is temporary, class is permanent",
16464,2025-04-17 15:52:04,-1001373818009,,,,#INIT Bullish,
16463,2025-04-17 15:51:11,-1001373818009,,,,,
16462,2025-04-17 15:24:13,-1001373818009,,,,#GUN Bullish,
16461,2025-04-17 15:22:57,-1001373818009,,,,next food,
16460,2025-04-17 15:15:06,-1001373818009,,,,who is buying Rose Channel ?,
16459,2025-04-17 15:09:27,-1001373818009,,,,#FHE Bullish,
16458,2025-04-17 15:08:44,-1001373818009,,,,,
16457,2025-04-17 15:01:15,-1001373818009,,,,What is today food ?,
16456,2025-04-17 14:03:55,-1001373818009,,,,what is today spotlight ?,
16455,2025-04-17 00:42:06,-1001373818009,,,,what is today spotlight ?,
16454,2025-04-16 19:27:05,-1001373818009,,,,How long will BTC hit 56%?,
16453,2025-04-16 19:14:24,-1001373818009,,,,"#PUMP +56%

Gold took 400 days to reach 56%

Pump took only 1 day",16429
16452,2025-04-16 16:34:54,-1001373818009,,,,BTC following Gold is the matter of time,
16451,2025-04-16 16:04:54,-1001373818009,,,,A company related to Digital Gold,
16450,2025-04-16 12:38:28,-1001373818009,,,,Is the name itself a sign of what’s to come?,
16449,2025-04-16 11:18:38,-1001373818009,,,,"Gold
Digital Gold
Digital Gold",
16448,2025-04-16 11:04:06,-1001373818009,,,,When Digital Gold?,
16447,2025-04-16 11:04:06,-1001373818009,,,,"Holy gold pump so hard

When digital gold",
16446,2025-04-16 06:34:04,-1001373818009,,,,Today 2 new listing alts pumped hard,
16445,2025-04-16 03:35:49,-1001373818009,,,,Gold always predicted chaos,
16444,2025-04-16 03:34:03,-1001373818009,,,,"Russia accumulated Gold at 2019
Gold bullrun to 2020
Russia started the war at 2022

China bought Gold aggressively recently 

A new war will start at 2026-27 by China

We all want peace",
16443,2025-04-16 03:27:01,-1001373818009,,,,Interesting,
16442,2025-04-16 03:21:03,-1001373818009,,,,"Shorts were closed 84 years ago
Please learn how to use Telegram",16427
16441,2025-04-16 03:12:22,-1001373818009,,,,PUMP is an indicator for next move of Bitcoin,
16440,2025-04-16 03:07:03,-1001373818009,,,,Something,16429
16439,2025-04-16 02:37:15,-1001373818009,,,,what is next pump,
16438,2025-04-16 02:30:59,-1001373818009,,,,+25%,16429
16437,2025-04-16 02:27:55,-1001373818009,,,,+17%,16429
16436,2025-04-16 02:25:56,-1001373818009,,,,,16429
16435,2025-04-16 02:19:25,-1001373818009,,,,"#CRV Spot Hold

Entry zone: 0.6 +/- 10%

Hold 200 days

TP 3.5-4$

Early 24: The chosen one is MKR
Lately 24: the chosen one is AAVE

This time: Chosen one is CRV",
16434,2025-04-16 02:07:25,-1001373818009,,,,"When will he start cool-off

lol",
16433,2025-04-16 01:45:53,-1001373818009,,,,the name says everything,
16432,2025-04-16 01:43:24,-1001373818009,,,,#PUMP +15% in few minutes,16429
16431,2025-04-16 01:39:50,-1001373818009,,,,,16429
16430,2025-04-16 01:38:52,-1001373818009,,,,"#BTC LONG

reason: GOLD leading |PUMP coin leading",
16429,2025-04-16 01:30:47,-1001373818009,,,,#PUMP Bullish.,
16428,2025-04-16 01:27:42,-1001373818009,,,,,
16427,2025-04-16 01:24:23,-1001373818009,,,,"Close current shorts

Because Gold is leading others",
16426,2025-04-16 01:24:23,-1001373818009,,,,Gold leading,
16425,2025-04-15 19:37:23,-1001373818009,,,,tops were in.,16412
16424,2025-04-15 19:37:23,-1001373818009,,,,#1000CHEEMS Bearish.,
16423,2025-04-15 19:37:23,-1001373818009,,,,#GUN Bearish,
16422,2025-04-15 19:22:22,-1001373818009,,,,"#FART Bearish

Entry zone: 0.84-0.9",15625
16421,2025-04-15 19:07:22,-1001373818009,,,,one more,
16420,2025-04-15 18:07:22,-1001373818009,,,,#ETH Short Setup,
16419,2025-04-15 18:07:22,-1001373818009,,,,Lol,
16418,2025-04-15 18:02:53,-1001373818009,,,,close #BTC at entry.,16370
16417,2025-04-15 18:02:53,-1001373818009,,,,"close #BTC at entry.
Close #XRP at entry.

ready for short #ETH",
16416,2025-04-15 17:26:52,-1001373818009,,,,,16361
16415,2025-04-15 13:11:50,-1001373818009,,,,All BTC rallies need is GOLD starts cool-off and ranging,
16414,2025-04-15 12:39:23,-1001373818009,,,,"Alts market reset so hard in Q1.

Look !! So many tiny marketcap alts that we could not imagine last year 🙈",
16413,2025-04-15 12:35:10,-1001373818009,,,,coins like #VIDT got delisted but actually we did x2 from entry before game over.,15463
16412,2025-04-15 12:31:04,-1001373818009,,,,"Organic performance in Q1:

LAYER x2
FART x2
ALCH x3
CHEEMS x2

not considered for quick 30-40% gains.

How much did you get from this list ?",
16411,2025-04-15 12:18:57,-1001373818009,,,,I'm watching it.,
16410,2025-04-15 12:16:21,-1001373818009,,,,new food,
16409,2025-04-15 12:04:55,-1001373818009,,,,"Price up
OI up",
16408,2025-04-15 08:45:17,-1001373818009,,,,What is next entry?,15625
16407,2025-04-15 07:46:56,-1001373818009,,,,"#KERNEL

2 times hit 10%


Sl at profit",16403
16406,2025-04-15 06:53:05,-1001373818009,,,,30%,16361
16405,2025-04-15 02:55:14,-1001373818009,,,,Gm,16392
16404,2025-04-14 18:29:00,-1001373818009,,,,,16361
16403,2025-04-14 17:58:37,-1001373818009,,,,#KERNEL Bullish,
16402,2025-04-14 17:57:01,-1001373818009,,,,,
16401,2025-04-14 17:50:58,-1001373818009,,,,"#FUN 

+20% from first entry
+10% from second entry",16361
16400,2025-04-14 16:59:54,-1001373818009,,,,"BTC failed at Jan
BTC failed at Feb
BTC failed at March
BTC failed to go higher entire Q1.


April will be different because April is at Q2.",
16399,2025-04-14 16:59:54,-1001373818009,,,,Timing is everything.,
16398,2025-04-14 16:44:23,-1001373818009,,,,"Xrp failed at Jan
XRP failed at Feb
XRP failed at March
XRP failed to go higher entire Q1.


April will be different because April is at Q2.",
16397,2025-04-14 16:29:54,-1001373818009,,,,"PROMPT = RARE

ALCH = REEF

early birds.",14770
16396,2025-04-14 16:29:54,-1001373818009,,,,#FART moving like SUI,15625
16395,2025-04-14 16:29:54,-1001373818009,,,,IP is a failed trade,15707
16394,2025-04-14 15:59:54,-1001373818009,,,,"this guy lost almost all

He used to be up 5M$ few days ago",16337
16393,2025-04-14 15:45:41,-1001373818009,,,,#BTC,
16392,2025-04-14 15:34:34,-1001373818009,,,,#BTC,16370
16391,2025-04-14 15:20:27,-1001373818009,,,,,
16390,2025-04-14 15:17:06,-1001373818009,,,,,
16389,2025-04-14 15:12:41,-1001373818009,,,,,
16388,2025-04-14 15:12:15,-1001373818009,,,,,
16387,2025-04-14 15:06:18,-1001373818009,,,,GOLD 1:1 ratio,
16386,2025-04-14 14:42:37,-1001373818009,,,,"After 59k was 108k

After 85k is ... ?",
16385,2025-04-14 14:37:43,-1001373818009,,,,The theory of the first bird singing of the spring,
16384,2025-04-14 14:26:18,-1001373818009,,,,The theory of the first bird singing of the spring,14041
16383,2025-04-14 12:23:15,-1001373818009,,,,"It’s rare that he didn't buy at local top

Bulls r back",
16382,2025-04-14 10:26:32,-1001373818009,,,,,
16381,2025-04-14 10:17:06,-1001373818009,,,,Which part of cycle is it,
16380,2025-04-14 10:16:46,-1001373818009,,,,,
16379,2025-04-14 10:16:46,-1001373818009,,,,,
16378,2025-04-14 09:20:56,-1001373818009,,,,,16372
16377,2025-04-14 06:12:52,-1001373818009,,,,"Few of you are ridiculous 
MAY has not came yet
There is no mention about May in chart

You replied MAY this MAY that in comments for what",
16376,2025-04-14 05:57:52,-1001373818009,,,,April is different,
16375,2025-04-14 04:43:14,-1001373818009,,,,"Accumulate #SOL 120-130 range

Target 300$",16374
16374,2025-04-14 04:33:35,-1001373818009,,,,"SOL 2025 in CME chart

ETH 2021 in CME chart",
16373,2025-04-14 02:33:35,-1001373818009,,,,It's interesting that shorts are forced to close and this causes price up.,
16372,2025-04-14 02:26:44,-1001373818009,,,,Rebuy #FUN at current rate,16361
16371,2025-04-14 01:43:00,-1001373818009,,,,#XRP Long,
16370,2025-04-14 01:43:00,-1001373818009,,,,#BTC LONG,
16369,2025-04-14 01:28:01,-1001373818009,,,,"Price sideway 

OI down

Shorts are forced to close at this range

It's called ""hated rally""",
16368,2025-04-14 01:28:01,-1001373818009,,,,close #BTC #ETH Shorts.,
16367,2025-04-13 22:57:59,-1001373818009,,,,Close #FUN #FORTH,
16366,2025-04-13 22:27:59,-1001373818009,,,,It's like Luna,
16365,2025-04-13 22:27:59,-1001373818009,,,,"#ETH Bearish

Targeting to 1111",
16364,2025-04-13 22:27:59,-1001373818009,,,,#BTC Bearish continuation,
16363,2025-04-13 22:27:59,-1001373818009,,,,Re-Short #ETH #BTC,
16362,2025-04-13 18:29:59,-1001373818009,,,,"XRP is back to range again

What a crazy range",
16361,2025-04-13 17:42:05,-1001373818009,,,,#FUN Bullish,
16360,2025-04-13 17:27:05,-1001373818009,,,,"Accumulate #FORTH 

CLASSIC ACCUMULATION BOX",
16359,2025-04-13 17:04:41,-1001373818009,,,,"Prompt is the first bird singing of the spring

We are at a point like what happened at August 2024.",16355
16358,2025-04-13 16:57:32,-1001373818009,,,,It was not a straight line,15071
16357,2025-04-13 16:53:28,-1001373818009,,,,"It's not wrong 
It's was too early",14770
16356,2025-04-13 16:44:17,-1001373818009,,,,PROMPT pump at weekend is like an early signal,14041
16355,2025-04-13 16:43:22,-1001373818009,,,,The theory of the first bird singing of the spring,14041
16354,2025-04-13 16:30:44,-1001373818009,,,,You never seen Rose Flip flop ?,
16353,2025-04-13 16:27:46,-1001373818009,,,,PROMPT pump at weekend is like an early signal,
16352,2025-04-13 16:24:19,-1001373818009,,,,#BTC breaking 90k is confirmation for bulls back like what happened at August 2024.,
16351,2025-04-13 16:17:56,-1001373818009,,,,"Market bottomed out

Closed #BTC #ETH shorts.",
16350,2025-04-13 15:43:30,-1001373818009,,,,Problem with Market makers now is they never know what Trump will talk next 🤣,
16349,2025-04-13 14:58:30,-1001373818009,,,,,15080
16348,2025-04-13 14:45:47,-1001373818009,,,,#BTC Bearish continuation,
16347,2025-04-13 14:39:01,-1001373818009,,,,study,
16346,2025-04-13 14:16:26,-1001373818009,,,,"#ETH Bearish

Targeting to 1111",16306
16345,2025-04-13 14:16:26,-1001373818009,,,,#BTC Update,16308
16344,2025-04-13 10:48:59,-1001373818009,,,,"We discussed this before
U remember?",
16343,2025-04-13 10:45:49,-1001373818009,,,,"Something has changed lately

Few new listings are pumping...",
16342,2025-04-12 08:24:17,-1001373818009,,,,"Outside in 3 days
No computer to watch market 🥺",
16341,2025-04-11 05:52:35,-1001373818009,,,,"Ready to trade like a blockchain titan? 🚀 Bybit's Liquidity Shield Trading Frenzy is here, featuring a massive 1,000,000 USDT prize pool across 3 exciting activities: Liquidity Shield, Ultimate 100 and Power Boost. No slippage headaches—just a solid chance to trade and earn. Whether you're a newbie hodler or a degen whale, it’s time to flex and stack those gains. 💰


📅 Event Period: Apr 3, 2025, 10AM UTC – May 3, 2025, 10:00 AM UTC


To get started, simply register for the event.

👉 Event Detail",
16340,2025-04-11 05:27:52,-1001373818009,,,,"BTC ETH are retarted but there are still special cases

What a strange market",
16339,2025-04-11 05:15:08,-1001373818009,,,,X2 in one month,15071
16338,2025-04-11 05:12:52,-1001373818009,,,,X2 in 20 days,15625
16337,2025-04-10 17:52:43,-1001373818009,,,,"Today his unrealized PnL was at +4M$

Now it has turned to red.
 
Wow

Does he hate money ?",16301
16336,2025-04-10 17:43:47,-1001373818009,,,,Okay uncle Trump,
16335,2025-04-10 17:42:56,-1001373818009,,,,"Trump playing chess but

Charts never lie",16308
16334,2025-04-10 15:33:10,-1001373818009,,,,,16308
16333,2025-04-10 15:07:48,-1001373818009,,,,,16308
16332,2025-04-10 08:57:04,-1001373818009,,,,"Down 55%

What is next ?",
16331,2025-04-10 08:55:17,-1001373818009,,,,"Down 48%
Up 75%
Down 37%
Up 55%",
16330,2025-04-10 08:54:22,-1001373818009,,,,"Only in 2 days:

up 100%
Down 43%
Up 53%
Down 20%
Up 40%
Now sideway",
16329,2025-04-10 08:14:48,-1001373818009,,,,"Playing chess with CZ

We are living a special period that smallcaps can go up 50% at morning and go down 50% at afternoon",
16328,2025-04-10 08:12:01,-1001373818009,,,,"TROY marketcap 6M
OI 9M
Volume 250M$

wth the situation I never seen before 😂",
16327,2025-04-10 08:10:14,-1001373818009,,,,"#BTC bounced +12% from ATH retesting 
Now facing Trendline resistance


#ETH bounced +20% from CME under-gap
Now facing upper-gap resistance",16198
16326,2025-04-10 08:06:01,-1001373818009,,,,,
16325,2025-04-10 08:00:41,-1001373818009,,,,,
16324,2025-04-10 05:00:34,-1001373818009,,,,Today Gold leading again 😬,16285
16323,2025-04-09 18:46:00,-1001373818009,,,,Don't forget the plan.,16308
16322,2025-04-09 18:45:33,-1001373818009,,,,lol,
16321,2025-04-09 18:45:33,-1001373818009,,,,TRUMP & Goldman Sach are flipflop-ing like Rose,
16320,2025-04-09 18:00:33,-1001373818009,,,,Here 👆,16308
16319,2025-04-09 18:00:33,-1001373818009,,,,This is hilarious lol,
16318,2025-04-09 18:00:33,-1001373818009,,,,What a shitshow,
16317,2025-04-09 17:49:43,-1001373818009,,,,"Let me guess

Tomorrow Headline: No Pause",
16316,2025-04-09 17:49:43,-1001373818009,,,,Playing Chess with Trump,
16315,2025-04-09 17:48:10,-1001373818009,,,,,
16314,2025-04-09 17:46:24,-1001373818009,,,,He is Barron Trump,16303
16313,2025-04-09 17:46:24,-1001373818009,,,,He is an insider,16303
