message_id,date,sender_id,first_name,last_name,username,message,reply_to
108030,2025-04-24 21:31:13,-1001091500312,,,,ALPHAVILLE - Esclarecimentos sobre questionamentos da CVM/B3 - Data Entrega: 2025-04-24 18:26:00.Link,
108029,2025-04-24 21:27:48,-1001091500312,,,,MULTIPLAN - Demonstrações Financeiras Adicionais - Versão em inglês - Data Entrega: 2025-04-24 18:25:00.Link,
108028,2025-04-24 21:23:01,-1001091500312,,,,MULTIPLAN - Demonstrações Financeiras Adicionais - Versão em português - Data Entrega: 2025-04-24 18:20:00.Link,
108027,2025-04-24 21:18:19,-1001091500312,,,,MULTIPLAN - Press-release - Resultados do 1T25 - Data Entrega: 2025-04-24 18:16:00.Link,
108026,2025-04-24 21:12:29,-1001091500312,,,,COGNA ON - Demonstrações Financeiras Adicionais - Versão em Inglês - Data Entrega: 2025-04-24 18:05:00.Link,
108025,2025-04-24 21:11:03,-1001091500312,,,,INFRACOMM - Mudança de Auditor - Data Entrega: 2025-04-24 18:02:00.Link,
108024,2025-04-24 21:09:48,-1001091500312,,,,CURY S/A - Criação do programa de alienação de ações ordinárias de emissão da Companhia mantidas em tesouraria - Programa de Alienação - Data Entrega: 2025-04-24 18:01:00.Link,
108023,2025-04-24 21:08:00,-1001091500312,,,,COPEL - Outros avisos/Dividendos/Juros sobre Capital Próprio - Data Entrega: 2025-04-24 18:04:00.Link,
108022,2025-04-24 20:43:27,-1001091500312,,,,ANIMA - Outros avisos/Pagamento de Dividendos - Data Entrega: 2025-04-24 17:40:00.Link,
108021,2025-04-24 20:37:52,-1001091500312,,,,CEEE-T - Demonstrações Financeiras Adicionais - Demonstrações Contábeis Regulatórias 2024 - Data Entrega: 2025-04-24 17:33:00.Link,
108020,2025-04-24 20:36:52,-1001091500312,,,,"LOJAS RENNER - Instalação, mudança ou dissolução do Comitê de Auditoria Estatutário - Data Entrega: 2025-04-24 17:34:00.Link",
108019,2025-04-24 20:33:47,-1001091500312,,,,CEEE-T - Demonstrações Financeiras Adicionais - NA - Data Entrega: 2025-04-24 17:33:00.Link,
108018,2025-04-24 20:20:31,-1001091500312,,,,RNI - Outros Comunicados Não Considerados Fatos Relevantes - Data Entrega: 2025-04-24 17:20:00.Link,
108017,2025-04-24 20:20:30,-1001091500312,,,,RODOBENS - Outros Comunicados Não Considerados Fatos Relevantes - Data Entrega: 2025-04-24 17:13:00.Link,
108016,2025-04-24 20:17:26,-1001091500312,,,,BEMOBI TECH - Outros avisos/Dividendos/Juros sobre Capital Próprio - Data Entrega: 2025-04-24 17:12:00.Link,
108015,2025-04-24 19:49:59,-1001091500312,,,,ATMASA - Demonstrações Financeiras Anuais Completas - NA - Data Entrega: 2025-04-24 16:46:00.Link,
108014,2025-04-24 19:21:52,-1001091500312,,,,TERRASANTAPA - Outros avisos/Dividendos/Juros sobre Capital Próprio - Data Entrega: 2025-04-24 16:19:00.Link,
108013,2025-04-24 18:31:45,-1001091500312,,,,HYPERA - Adoção do processo de voto múltiplo/Adoção do Processo de Voto Múltiplo - Data Entrega: 2025-04-24 15:28:00.Link,
108012,2025-04-24 16:56:37,-1001091500312,,,,PANATLANTICA - Outros Comunicados Não Considerados Fatos Relevantes - Data Entrega: 2025-04-24 13:55:00.Link,
108011,2025-04-24 15:30:28,-1001091500312,,,,CCR SA - Outros avisos/Alteração Ticker - Data Entrega: 2025-04-24 12:28:00.Link,
108010,2025-04-24 15:24:41,-1001091500312,,,,CCR SA - Outros avisos/Alteração Ticker - Data Entrega: 2025-04-24 12:18:00.Link,
108009,2025-04-24 13:14:09,-1001091500312,,,,PINE - CANCELAMENTO DE AÇÕES EM TESOURARIA - Data Entrega: 2025-04-24 09:58:00.Link,
108008,2025-04-24 12:54:42,-1001091500312,,,,JHSF PART - Outros Comunicados Não Considerados Fatos Relevantes - Data Entrega: 2025-04-24 09:48:00.Link,
108007,2025-04-24 12:40:16,-1001091500312,,,,,
108006,2025-04-24 12:14:51,-1001091500312,,,,HYPERA - Apresentações a analistas/agentes do mercado - Data Entrega: 2025-04-24 09:11:00.Link,
108005,2025-04-24 11:34:26,-1001091500312,,,,VIBRA - Aquisição/Alienação de Participação Acionária Relevante - Data Entrega: 2025-04-24 08:32:00.Link,
