message_id,date,sender_id,first_name,last_name,username,message,reply_to
73001,2025-04-24 19:28:58,-1001315043344,,,,"Україна готується до найгіршого сценарію, тобто, припинення підтримки США, — Bild",
73000,2025-04-24 19:07:01,-1001315043344,,,,"❗️Питання про вихід США з переговорів в разі відсутності угоди потрібно ставити «через два тижні», — Трамп",
72999,2025-04-24 18:28:04,-1001315043344,,,,"Журналіст: Чому ви не чините більшого тиску на росію?

Трамп: Ви не знаєте, який тиск я чиню. Ви не уявляєте, який тиск я чиню на росію.",
72998,2025-04-24 18:19:56,-1001315043344,,,,"Трамп нарешті пояснив, в чому поступка росії.

«Поступка росії — це припинення війни і відмова від захоплення всієї України», - Трамп

Логіка, як в байці: «Чи час тут розбирать провини всі, щеня? Ти винен уже тим, що хочу я, бач, їсти». Дякуйте, що не зʼїв.",
72997,2025-04-24 17:21:17,-1001315043344,,,,"❗️Ми дійсно хотіли б досягти миру через силу, це було б корисно для РФ, щоб сила була спрямована проти РФ, оскільки вони є агресором, вважаємо США стратегічним парнером, — Зеленський",
72996,2025-04-24 17:05:05,-1001315043344,,,,,
72995,2025-04-24 17:05:05,-1001315043344,,,,"🫤«Залишився 1361 день до початку» : Нова обкладинка The Economist присвячена 100 дням президентства Трампа. Втомлений, поранений орёл спробує дотягнути до наступних виборів в США🤷‍♂

Тим часом офіційний сайт Трампа продає кепки «Trump 2028» .",
72994,2025-04-24 17:00:26,-1001315043344,,,,"⚡️Британія більше не планує відправляти війська до України , — The Times

Джерела повідомили, що відправлення сухопутних військ вважається надто ризикованим через ймовірність більш масштабної війни",
72993,2025-04-24 16:58:10,-1001315043344,,,,"рф має повернути Україні ЗАЕС, це одна з умов, — Bloomberg

Адміністрація Трампа хоче, щоб москва повернула Україні Запорізьку АЕС. 

Тоді об’єкт підпаде під контроль США і буде виробляти енергію «‎на обидві сторони», однак Україна заявила, що ЗАЕС не буде працювати на росію після закінчення війни, такі поставки енергії виключені.",72992
72992,2025-04-24 15:37:55,-1001315043344,,,,"⚡️США вимагатимуть від путіна визнати право України на військову силу, — Bloomberg",
72991,2025-04-24 15:21:10,-1001315043344,,,,"На аеродромі «Ростов» виведено з ладу ворожий літак Су-30СМ вартістю $50 млн., — ГУР",
72990,2025-04-24 15:17:17,-1001315043344,,,,"Може спалахнути війна між двома ядерними державами, Індією і Пакистаном, — NYT 

Між Індією та Пакистаном різко зросла напруга після теракту в індійському Кашмірі, унаслідок якого загинули 26 туристів. 

Індія звинуватила Пакистан у підтримці терористів і у відповідь анулювала візи для пакистанців, скоротила дипломатичні зв’язки та призупинила дію водного договору про річку Інд.

Пакистан відповів симетрично: закрив повітряний простір для індійських літаків, припинив торгівлю і вимагає скорочення індійського дипломатичного персоналу.

Cui prodest? Кому вигідно?

Звісно, росії, яка сподівається, що виникне ще одна точка напруги, і Трамп з Європою змушені будуть забути про ті злочини, які кремлівський вбивця скоїв в Україні.",
72989,2025-04-24 14:46:05,-1001315043344,,,,"Журналістка не може стримати сльози, розповідаючи про загибель сімнадцятирічного хлопця, друзі якого чергували поруч з завалами в Києві.",72988
72988,2025-04-24 14:36:41,-1001315043344,,,,"росія не прагне миру, а знущається з нього: голова дипломатії Євросоюзу Кая Каллас відреагувала на російську атаку по Києву 

Заявляючи про прагнення до миру, Росія завдала смертоносного авіаудару по Києву. Це не прагнення до миру, це знущання над ним. Справжньою перешкодою є не Україна, а Росія, чиї цілі війни не змінилися.",
72987,2025-04-24 14:33:56,-1001315043344,,,,"Рятувальники деблокували ще два тіла з-під завалів у Святошинському районі Києва, вже 12 загиблих. 

Біль. Лють.",72986
72986,2025-04-24 14:30:15,-1001315043344,,,,"русня вдарила по багатоповерхівці в Києві північнокорейською ракетою KN-23, повідомляє Reuters",
72985,2025-04-24 14:27:36,-1001315043344,,,,"В Києві загинули син та дочка лікаря КНУ, невропатолога університетської клініки Ярослава Козлова

Про це повідомила пресслужба університету у Facebook.

Син Нікіта 2003 року народження був студентом Національного транспортного університету, дочка Софія 2005 року народження — випускницею коледжу КНУТД.
ㅤ 
«Родина Шевченкового університету висловлює найщиріші співчуття Ярославу Володимировичу», - йдеться у повідомленні.",72980
72984,2025-04-24 14:05:24,-1001315043344,,,,,
72983,2025-04-24 14:05:24,-1001315043344,,,,,
72982,2025-04-24 14:05:24,-1001315043344,,,,,
72981,2025-04-24 14:05:24,-1001315043344,,,,,
72980,2025-04-24 14:05:24,-1001315043344,,,,"❗️Деблокували тіло ще однієї людини в Києві, кількість загиблих зросла до 10, — МВС

У прокуратурі повідомили, що під завалами будинку дістали тіло сімнадцятирічного хлопця",
72979,2025-04-24 13:58:44,-1001315043344,,,,❤️‍🩹2-річна дівчинка дає інтервʼю для американського ЗМІ про сьогоднішню ніч у Києві.,72964
72978,2025-04-24 13:03:44,-1001315043344,,,,"❗️Зеленський не погодиться на припинення вогню, поки його столицю бомбардують, — Макрон

Гнів США має бути спрямований на одну людину: президента рф путіна, який почав війну проти країни-сусіда. путін повинен нарешті перестати брехати світу, - заявив Президент Франції",
72977,2025-04-24 12:59:57,-1001315043344,,,,"❗️ Україні доведеться піти на поступки у мирних переговорах із Росією. Кожна зі сторін має поступитися, - президент Польщі Дуда.

Він наголосив, що сподівається на міцний мир завдяки зусиллям Трампа.",
72976,2025-04-24 12:55:06,-1001315043344,,,,"😡🇺🇸Vladimir, STOP!

Трамп не задоволений російськими ударами по Києву: він вкотре наголосив на втрати у війську і промовчав про вбивство цивільних в Україні.

Це не потрібно і дуже невчасно. Володимире, ЗУПИНИСЬ! 5000 солдатів на тиждень гинуть. Давайте укладати угоду про Мир, - написав Президент США у соцмережі Truth Social.",
72975,2025-04-24 12:17:48,-1001315043344,,,,"🦾Оборона Торецька очима штурмовиків 49-го окремого штурмового батальйону ""Карпатська Січ""",
72974,2025-04-24 11:58:26,-1001315043344,,,,"❗️Все, що суперечить нашим цінностям чи нашій Конституції,  не може бути в жодних домовленостях, - Зеленський про «територіальні компроміси»

💬 «США запропонували своє бачення, у Лондоні була зустріч. Там була відповідна стратегія, яку запропонувала американська сторона. Наша, європейська команди та представники США поговорили і на папері з'явилися певні пункти. Після пропозиції США з'явилися інші папери і сьогодні документ знаходиться на столі у президента Трампа», - сказав гарант.

Говорячи про вчорашні переговори в Лондоні, президент додав, що росія, ймовірно, розраховувала на великий скандал, але зустріч закінчилася не розбіжностями, а бажанням працювати далі.",
