message_id,date,sender_id,first_name,last_name,username,message,reply_to
100127,2025-04-24 21:49:23,-1001441764689,,,,,
100126,2025-04-24 21:49:23,-1001441764689,,,,"Российские нацисты атаковали Харьков ""шахедами""

Подписаться! 🇺🇦",
100125,2025-04-24 21:14:41,-1001441764689,,,,,100104
100124,2025-04-24 21:14:41,-1001441764689,,,,,100104
100123,2025-04-24 21:14:41,-1001441764689,,,,"Киев. Украинские дети ждали, когда их одноклассника вытащат из-под завалов после ракетной атаки российских нацистов 

С 5 утра подростки в течение 12 часов находились на месте разрушенного жилого дома, надеясь, что их 17-летний друг жив 

Он не выжил. Парень был убит военными преступниками рф вместе со своей мамой. Его 14-летняя сестра находится в больнице

Подписаться! 🇺🇦",100104
100122,2025-04-24 20:59:33,-1001441764689,,,,"Борис Джонсон раскритиковал мирный план Трампа на фоне ракетного удара рф по Киеву

Экс-премьер Британии отметил, что путин без разбора расправляется с мирными жителями Украины, убив и ранив 100 человек в Киеве, включая детей

И каково же его вознаграждение, согласно последним мирным предложениям?

1. Право удерживать суверенную украинскую территорию, которую он захватил силой и вопреки международному праву.
2. Право контролировать судьбу Украины, запретив членство в НАТО.
3. Снятие санкций с россии 
4. Экономическое партнерство с Америкой 
5. Возможность восстановить свои вооруженные силы для последующего нападения через несколько лет.

Подписаться! 🇺🇦",
100121,2025-04-24 19:33:01,-1001441764689,,,,"Трамп нанес непоправимый вред американским институтам меньше, чем за 100 дней президентства, - The Economist

На новой обложке журнал разместил символ США – белоголового орлана, раненого и в бинтах, а также число дней – 1361 – оставшихся до конца срока главы государства

Подписаться! 🇺🇦",100078
100120,2025-04-24 18:42:01,-1001441764689,,,,"Из российских оккупантов выбивают Z-дурь

Подписаться! 🇺🇦",
100119,2025-04-24 18:35:01,-1001441764689,,,,"Индия заблокировала течение реки Инд в направлении Пакистана 

Индия закрыла все четыре шлюза, контролирующих поток воды, что произошло впервые с момента соглашения о водах Инда с 1960 года 

Пакистан предупредил, что такая блокада является актом войны

Подписаться! 🇺🇦",100107
100118,2025-04-24 18:26:42,-1001441764689,,,,"Вопрос о выходе США из переговоров в случае отсутствия соглашения нужно ставить ""через две недели"", — Трамп

Следующие несколько дней очень важны в плане переговоров по мирному урегулированию в Украине, есть большой прогресс

Мы оказываем ""сильное давление на россию, вы даже не представляете, насколько""

Я бы предпочел ответить на вопросы о санкциях в отношении россии через неделю

Подписаться! 🇺🇦",
100117,2025-04-24 18:14:49,-1001441764689,,,,,
100116,2025-04-24 18:14:49,-1001441764689,,,,"То, что россия не забирает всю страну (Украину), - это большая уступка, — Трамп

На вопрос, согласен ли он, что Украина должна отдать часть территории, чтобы добиться мира, президент США заявил, что ""это зависит от того, какая территория""

Пошел четвертый год, как россия делает Трампу большую уступку

Подписаться! 🇺🇦",
100115,2025-04-24 18:05:36,-1001441764689,,,,"Здесь нельзя стрелять

Подписаться! 🇺🇦",
100114,2025-04-24 17:52:15,-1001441764689,,,,,
100113,2025-04-24 17:52:15,-1001441764689,,,,"Спутниковые снимки 51-го арсенала ГРАУ во Владимирской области рф

По предварительной оценке, уничтожено 24 склада боеприпасов на территории арсенала (отмечены красным)

Подписаться! 🇺🇦",
100112,2025-04-24 17:46:46,-1001441764689,,,,,
100111,2025-04-24 17:46:46,-1001441764689,,,,"У меня есть свой крайний дедлайн по соглашению между россией и Украиной, — Трамп

Также Трамп считает, что путин его послушает и остановит атаки на Украину

Подписаться! 🇺🇦",
100110,2025-04-24 15:55:37,-1001441764689,,,,,
100109,2025-04-24 15:55:37,-1001441764689,,,,"США потребуют от рф признать право Украины иметь собственную армию, — Bloomberg

Трамп также хочет, чтобы Москва вернула Украине Запорожскую АЭС, потому что тогда ЗАЭС перейдет под контроль США для управления энергией для обеих сторон

США также хотят обеспечить Украине проход через Днепр и возвращение оккупированных земель в Харьковской области

Подписаться! 🇺🇦",
100108,2025-04-24 15:00:14,-1001441764689,,,,"На россии уничтожен самолет Су-30СМ ― ГУР

Очередная акция сопротивления преступному путинскому режиму - на территории аэродрома ""Ростов-на-Дону Центральный"" вспыхнул и сгорел многоцелевой истребитель агрессора Су-30СМ с бортовым номером ""35"". 

Его стоимость - 50 млн долларов

Подписаться! 🇺🇦",
100107,2025-04-24 14:58:19,-1001441764689,,,,"Две ядерные страны Индия и Пакистан оказались на грани войны

▪️22 апреля 4 террориста в Индии возле границы с Пакистаном в регионе Кашмир (является спорным) расстреляли 26 туристов. Страны спорят о Кашмире еще с момента обретения независимости от Британии в 1947 году 
▪️Индия обвиняет Пакистан и остановила выдачу виз и аннулировала уже выданные гражданам Пакистана
▪️Индия закрыла крупнейший КПП на границе, выслала военных атташе и остановила действие договора о разделе рек (что может спровоцировать водный кризис в Пакистане)
▪️Пакистан не признает своей вины, также остановил выдачу виз, сократил число дипломатов, высылает военных атташе, закрывает воздушное пространство для индийских авиакомпаний и останавливает всю торговлю с Индией
▪️Индия не представила публично доказательств связи атаки с Пакистаном, но отмечается, что у нападения есть ""трансграничные"" следы
▪️параллельно с этим всем активизировались террористические группы в обеих странах с целью спровоцировать больший конфликт

Подписаться! 🇺🇦",
100106,2025-04-24 14:42:42,-1001441764689,,,,,
100105,2025-04-24 14:42:42,-1001441764689,,,,"Российские мальчики окопались в путинском раю и ждут говнокомандующего 

Подписаться! 🇺🇦",
100104,2025-04-24 14:39:49,-1001441764689,,,,"Уже 12 погибших в Киеве - спасатели деблокировали тела еще двух человек из-под завалов в Святошинском районе

Подписаться! 🇺🇦",100103
100103,2025-04-24 14:00:25,-1001441764689,,,,"Число погибших в Киеве выросло до 10 - из-под завалов дома в Святошинском районе деблокировали тело двух человек - ГСЧС
 
Число пострадавших после ракетной атаки российских нацистов возросло до 90 человек

Подписаться! 🇺🇦",100072
100102,2025-04-24 13:50:01,-1001441764689,,,,"В дурдоме все стабильно

Можно сразу в окоп бросать защищать ж*пу недофюрера

Подписаться! 🇺🇦",
100101,2025-04-24 13:43:40,-1001441764689,,,,,
100100,2025-04-24 13:43:40,-1001441764689,,,,,
100099,2025-04-24 13:43:40,-1001441764689,,,,"Константиновка Донецкая область. Российские нацисты убили женщину и ребенка

Вечером 23 апреля военные преступники рф ударили по частному сектору из РСЗО “Смерч” 

Ещё двое ранены

Подписаться! 🇺🇦",
100098,2025-04-24 13:32:27,-1001441764689,,,,"Как выглядит дорога в путинский рай

Подписаться! 🇺🇦",
100097,2025-04-24 13:14:03,-1001441764689,,,,"Бойцы ССО ликвидировали взвод солдат КНДР в ближнем бою на Курщине

Подписаться! 🇺🇦",
100096,2025-04-24 12:44:45,-1001441764689,,,,"Шел третий месяц 24-часовой спецоперации по остановке войны в Украине

Подписаться! 🇺🇦",100093
100095,2025-04-24 12:37:32,-1001441764689,,,,,98451
100094,2025-04-24 12:37:32,-1001441764689,,,,"Привет им все передавайте

Подписаться! 🇺🇦",98451
100093,2025-04-24 12:30:37,-1001441764689,,,,"Трамп отреагировал на ракетную атаку российских нацистов на Киев

""Я не доволен российскими ударами по КИЕВУ. Это не нужно и очень не вовремя.

Владимир, ОСТАНОВИТЕСЬ! Каждую неделю погибает 5000 солдат. Давайте ЗАКЛЮЧИМ МИРНОЕ СОГЛАШЕНИЕ!""

Подписаться! 🇺🇦",
100092,2025-04-24 12:28:59,-1001441764689,,,,"Путинские опричники бегают в поисках новых рекрутов на спецобсирацию

Подписаться! 🇺🇦",
100091,2025-04-24 12:03:53,-1001441764689,,,,,
100090,2025-04-24 12:03:53,-1001441764689,,,,"Если россия заявляет, что она готова к прекращению огня, ей нужно прекращать массовые удары по Украине. Потому что терпение лопнет именно у украинцев, - Зеленский

▪️То, что Украина готова сесть за стол переговоров с террористами – уже большой компромисс. На нас напали, нас оккупировали, заживо похоронены многие дети и взрослые
▪️У Трампа на столе документ со стратегией по территориям Украины после переговоров в Лондоне. Это документ с правками к мирному плану Трампа. Все, что противоречит нашим ценностям или Конституции не может быть ни в каких договоренностях
▪️россия надеялась вчера на громкий скандал в Лондоне во время встречи с американской стороной, но этого не произошло
▪️Сегодняшняя ракетная атака – это способ давления россии на США
▪️США говорили, если одна из сторон не согласится на полное прекращение огня, будут сильные шаги вперед, включая санкции. Я сейчас не вижу сильного давления на рф

Подписаться! 🇺🇦",
100089,2025-04-24 11:43:07,-1001441764689,,,,"Российский недобиток сильно восхитился ""вечными летунами"" из ВКС рф

Подписаться! 🇺🇦",
100088,2025-04-24 11:39:26,-1001441764689,,,,"Оккупированная Макеевка Донецкая область. Российский военный КАМАЗ насмерть сбил молодого парня на пешеходном переходе

Подписаться! 🇺🇦",
100087,2025-04-24 11:24:56,-1001441764689,,,,,100072
100086,2025-04-24 11:24:56,-1001441764689,,,,"""Я ненавижу россию. Ненавижу их президента. Мы все ненавидим""

Жительница Киева сидит рядом с телом своей 84-летней матери, которая погибла ночью от российской ракеты 

В жилой дом в Святошинском районе попала северокорейская баллистическая ракета KN-23 - Reuters
 
Под завалами ищут еще 10 человек. Среди погибших два ребенка из одной семьи  

Подписаться! 🇺🇦",100072
100085,2025-04-24 11:20:57,-1001441764689,,,,,100036
100084,2025-04-24 11:20:57,-1001441764689,,,,,100036
100083,2025-04-24 11:20:57,-1001441764689,,,,,100036
100082,2025-04-24 11:20:56,-1001441764689,,,,,100036
100081,2025-04-24 11:20:56,-1001441764689,,,,"Пока снаряды с 51-го арсенала ГРАУ продолжают разлетаться во Владимирской области, путинская партия ""единая сроссия"" привезла экстренную гумпомощь испугавшимся скрепоносцам

Подписаться! 🇺🇦",100036
100080,2025-04-24 11:08:29,-1001441764689,,,,,
100079,2025-04-24 11:08:29,-1001441764689,,,,"Момент пролета крылатой ракеты в сторону Харькова

Подписаться! 🇺🇦",
100078,2025-04-24 11:01:16,-1001441764689,,,,"Рейтинг одобрения Трампа самый плохой из всех президентов за первые 100 дней в должности, сейчас он составляет всего 44%, — Fox News

Подписаться! 🇺🇦",
100077,2025-04-24 10:44:47,-1001441764689,,,,"Военные преступники рф запустили 70 ракет и 145 БПЛА, — Воздушные Силы

Сбито - 48 ракет и 64 дронов. 68 БПЛА - локационно потеряны

Подписаться! 🇺🇦",
100076,2025-04-24 10:42:26,-1001441764689,,,,,
100075,2025-04-24 10:42:26,-1001441764689,,,,,
100074,2025-04-24 10:42:26,-1001441764689,,,,,
100073,2025-04-24 10:42:26,-1001441764689,,,,,
100072,2025-04-24 10:42:26,-1001441764689,,,,"Моменты ракетных ударов по Киеву сегодня ночью

Российские нацисты убили не менее 8 человек, пострадали более 70

Подписаться! 🇺🇦",
100071,2025-04-23 23:12:38,-1001441764689,,,,"Киев. Жилой дом после ракетной атаки российских нацистов

На данный момент известно о 21 раненых в Киеве, среди них 3-летний ребенок

Подписаться! 🇺🇦",
100070,2025-04-23 23:10:20,-1001441764689,,,,"По Харькову российские нацисты нанесли семь ракетных ударов

Подписаться! 🇺🇦",
100069,2025-04-23 22:50:24,-1001441764689,,,,"Американский клуб любителей, когда им ссут в глаза

Подписаться! 🇺🇦",
100068,2025-04-23 22:46:17,-1001441764689,,,,"В Киеве в результате ракетной атаки российских нацистов ранен 3-летний ребенок

В Святошинском районе пожар в жилом доме. Есть разрушения. Под завалами люди

Подписаться! 🇺🇦",100065
100067,2025-04-23 22:38:23,-1001441764689,,,,"⚠Увага!
✈🚀Зафіксовано пуски крилатих ракет з літаків стратегічної авіації ворога!
Залишайтеся в укриттях!",
100066,2025-04-23 22:26:30,-1001441764689,,,,,
