message_id,date,sender_id,first_name,last_name,username,message,reply_to
7031,2025-04-24 15:29:58,-1001552777267,,,,"🚨 CAT 2025 Aspirants – This One’s for YOU!: https://unacademy.onelink.me/nWi1/5pwc6pkx

Ready to take your prep to the next level? Join a FREE LIVE WORKSHOP with Lokesh Agarwal Sir – one of the most trusted names in CAT prep!

🗓 Date: 26th April
🕔 Time: 5 PM

🎯 What You’ll Learn: 
✅ Expert Strategy Guidance to Crack CAT
✅ Beginner-Friendly Roadmap to Kickstart Your Prep
✅ How to Unlock High-Paying MBA Careers
✅ Master the Balance: College/Job + CAT Prep

🎓 Whether you're just starting out or looking to fine-tune your strategy, this session is a must-attend!

👉 Enroll Now – Seats are filling fast!",
7030,2025-04-24 11:07:04,-1001552777267,,,,,7029
7029,2025-04-24 11:07:01,-1001552777267,,,,"🚨 JOIN THIS LIVE ✅ and PRACTICE LR NOW!!

CAT 2025 LR Must-Solve Question | Important Practice Questions You Can’t Miss! Part 02

👉 https://youtube.com/live/3W4XL_AJW_U",
7028,2025-04-24 10:29:58,-1001552777267,,,,"🎯 Dreaming of IIMs or Top B-Schools?
It’s time to check where you stand with the FREE CAT 2025 Diagnostic Test by Unacademy!

LINK To Register🔗 https://unacademy.onelink.me/nWi1/8q32xta8

🧠 Designed as per the latest CAT pattern
📚 Curated by top experts
📊 Gives you a crystal-clear idea of your preparation level

📅 Date: April 27th, 2025
⏰ Slots: 12:30 PM | 5:00 PM

💥 Limited-time opportunity – don’t miss out!",
7027,2025-04-24 06:51:33,-1001552777267,,,,,7026
7025,2025-04-24 06:20:08,-1001552777267,,,,,7024
7024,2025-04-24 06:20:05,-1001552777267,,,,"🔴💥Today's (24nd April) Schedule: Yt session and Plus Classes

1.🔥 YT session : CAT '25: :LR Must-Solve Question | Important Practice Questions

In today's session we will do  Reasoning based Important Practice sets ..Everyone can/must attend this session..2 h.w sets will also be discussed....

Link: https://www.youtube.com/watch?v=3W4XL_AJW_U

Timings: 4 pm

✅ Click on 🔔 ""NOTIFY ME"" 


2. 📣🔥New Plus Course : Data Interpretations - Started from  (19th April)

Enroll in it to add this course in planner - Do the remaining questions ...will continue with Table based sets with missing data

Tues/Thurs/ Sat- 6-8 pm 

link: https://unacademy.com/course/comprehensive-course-of-data-interpretation-for-cat-omets-2025/DQY9NKRC",
7023,2025-04-24 05:47:42,-1001552777267,,,,,7022
7022,2025-04-24 05:47:39,-1001552777267,,,,"🔥🔥Hey Future MBAs,

From last few days you guys are worried because some things are changing around—but one thing’s not:: I’m still here, and I’m fully committed to helping you reach your dream B-school. 💯

I want to assure you that whether it’s cracking tricky Quant questions or solving tough LRDI sets, I’ll be with you through every doubt, every mock, every single step.
We started this journey together—and we’ll finish it even stronger.

you need to understand that change is a part of every great story, but our mission remains the same: to crack CAT, together.
New faces may come, but my dedication to your growth and success stays rock-solid. I’m here to guide you, support you, and push you toward your best.

👉 Remember this:
Consistency beats chaos.  Keep showing up. Don’t let the noise outside shake the fire inside.Don't waste your time on unnecessary gossips and roaming here and there..stick to ur plans and daily schedule...
Your dream B-school is still within reach—and we’re still chasing it, together.
I’m not just your mentor—I’m someone who genuinely believes in you.

Let’s finish strong. Let’s level up. Let’s do this.
One concept. One test. One step closer—every single day.
Good luck..let's crack it !!",
7021,2025-04-24 05:29:58,-1001552777267,,,,"🚨 CAT 2025 PIONEERS BATCH – Starts April 26! 👉 https://unacademy.onelink.me/nWi1/ztwxkp36

Your ultimate prep begins with the best in the game 💯

🔥 Ronak Sir will simplify QA & LRDI like never before
📚 Juhi Ma’am will guide you through VARC with precision
🎯 Curated Test Series by Saral Nashier Sir
✅ Full syllabus + GD-PI prep + strategy sessions from Day 1

This is not just a batch, it's a full-proof system to crack CAT 2025.

📌 Enroll Now – Limited Seats!",
