message_id,date,sender_id,first_name,last_name,username,message,reply_to
50419,2025-05-07 18:29:36,-1001691956437,,,,,50413
50418,2025-05-07 18:28:29,-1001691956437,,,,,50412
50417,2025-05-07 11:32:29,-1001691956437,,,,,50414
50414,2025-05-07 11:32:28,-1001691956437,,,,,
50413,2025-05-07 11:32:28,-1001691956437,,,,,
50412,2025-05-07 11:32:28,-1001691956437,,,,,
50377,2025-05-06 13:20:31,-1001691956437,,,,,50375
50375,2025-05-06 11:16:12,-1001691956437,,,,"KALYAN   6-5-2025........

CLOSE.....

SINGAL.............4.............

STRONG............9.....

PENAL...135.478..239.248.....

PLAY UNLIMITED.    👍👍👍👍",
50362,2025-05-06 07:57:57,-1001691956437,,,,,50360
50360,2025-05-06 06:44:47,-1001691956437,,,,,
50330,2025-05-05 16:34:39,-1001691956437,,,,,50327
50329,2025-05-05 16:21:22,-1001691956437,,,,,50323
50327,2025-05-05 15:54:49,-1001691956437,,,,,
50323,2025-05-05 15:13:24,-1001691956437,,,,,
50322,2025-05-05 13:33:57,-1001691956437,,,,,50319
50321,2025-05-05 11:24:55,-1001691956437,,,,Vip Play unlimited,50319
50319,2025-05-05 11:21:41,-1001691956437,,,,"KALYAN 5-5-2025........

CLOSE.....

SINGAL.............8.........

STRONG............3......

PENAL...279.468..689..346......

PLAY UNLIMITED.    👍👍👍👍",
50291,2025-05-05 08:02:07,-1001691956437,,,,,50287
50287,2025-05-05 06:27:36,-1001691956437,,,,,
50245,2025-05-03 14:02:01,-1001691956437,,,,,50243
50243,2025-05-03 13:22:48,-1001691956437,,,,,
50242,2025-05-03 11:16:01,-1001691956437,,,,,50240
50240,2025-05-03 09:23:20,-1001691956437,,,,,
50225,2025-05-03 04:11:16,-1001691956437,,,,,
50218,2025-05-02 10:01:49,-1001691956437,,,,,50214
50214,2025-05-02 09:33:28,-1001691956437,,,,,
50203,2025-05-02 07:58:17,-1001691956437,,,,,50201
50201,2025-05-02 07:46:46,-1001691956437,,,,,
50188,2025-05-02 06:22:50,-1001691956437,,,,,50187
50187,2025-05-02 06:06:45,-1001691956437,,,,,
50182,2025-05-02 05:31:09,-1001691956437,,,,,50170
50170,2025-05-01 18:40:55,-1001691956437,,,,"HALF SANGAM BLAST 

BIG BIG CONGRATULATIONS 👏",50158
50158,2025-05-01 14:26:33,-1001691956437,,,,,
50142,2025-05-01 10:00:59,-1001691956437,,,,,50123
50129,2025-05-01 08:57:31,-1001691956437,,,,,50118
50123,2025-05-01 06:29:25,-1001691956437,,,,,
50118,2025-05-01 06:19:53,-1001691956437,,,,,
50078,2025-04-30 11:12:44,-1001691956437,,,,,50075
50075,2025-04-30 10:14:51,-1001691956437,,,,,
50059,2025-04-30 08:08:37,-1001691956437,,,,,50056
50056,2025-04-30 06:35:14,-1001691956437,,,,"SRIDEVI 30-4-2025........

CLOSE.....

SINGAL.............1..........



PENAL......146.....236..

PLAY UNLIMITED.    👍👍👍👍",
50037,2025-04-29 19:40:31,-1001691956437,,,,,50027
50027,2025-04-29 15:42:10,-1001691956437,,,,,
49995,2025-04-29 11:11:17,-1001691956437,,,,,49993
49993,2025-04-29 10:12:34,-1001691956437,,,,,
49991,2025-04-29 07:48:04,-1001691956437,,,,,49987
49987,2025-04-29 04:14:09,-1001691956437,,,,,
49961,2025-04-28 06:25:37,-1001691956437,,,,,49959
49959,2025-04-28 06:04:54,-1001691956437,,,,,
49916,2025-04-26 15:01:34,-1001691956437,,,,,49908
49908,2025-04-26 13:12:58,-1001691956437,,,,,
49873,2025-04-26 07:19:45,-1001691956437,,,,"HALF SANGAM BLAST 

BIG BIG CONGRATULATIONS 🎉🎉",49859
49865,2025-04-26 06:20:30,-1001691956437,,,,,
49864,2025-04-26 06:20:30,-1001691956437,,,,,
49863,2025-04-26 06:20:30,-1001691956437,,,,,
49862,2025-04-26 06:20:30,-1001691956437,,,,,
49861,2025-04-26 06:20:30,-1001691956437,,,,,
49860,2025-04-26 06:20:30,-1001691956437,,,,,
49859,2025-04-26 06:18:23,-1001691956437,,,,,
49845,2025-04-25 17:48:42,-1001691956437,,,,,49832
49839,2025-04-25 16:22:06,-1001691956437,,,,,49834
49834,2025-04-25 16:07:30,-1001691956437,,,,,
49832,2025-04-25 16:06:46,-1001691956437,,,,,49815
49820,2025-04-25 15:59:37,-1001691956437,,,,,
49815,2025-04-25 15:42:16,-1001691956437,,,,,
49780,2025-04-25 11:08:02,-1001691956437,,,,,49776
49778,2025-04-25 10:03:52,-1001691956437,,,,,49775
49776,2025-04-25 09:17:07,-1001691956437,,,,,
49775,2025-04-25 09:17:00,-1001691956437,,,,,
49758,2025-04-24 20:52:44,-1001691956437,,,,,49754
49757,2025-04-24 17:42:30,-1001691956437,,,,,49748
49754,2025-04-24 16:57:52,-1001691956437,,,,"MAIN BAZAR 24-4-2025........

CLOSE.....

SINGAL.............0...........

STRONG...........5.......

PENAL...136......258......

PLAY UNLIMITED.    👍👍👍👍",
49748,2025-04-24 14:33:51,-1001691956437,,,,,
49734,2025-04-24 07:58:59,-1001691956437,,,,,49732
49732,2025-04-24 07:17:26,-1001691956437,,,,,
49729,2025-04-24 02:47:45,-1001691956437,,,,,
49728,2025-04-23 16:35:48,-1001691956437,,,,,49727
49727,2025-04-23 15:13:24,-1001691956437,,,,,49724
49717,2025-04-23 10:16:11,-1001691956437,,,,,49713
49713,2025-04-23 08:14:53,-1001691956437,,,,,
49691,2025-04-22 18:02:38,-1001691956437,,,,,49684
49684,2025-04-22 15:07:17,-1001691956437,,,,,
49669,2025-04-22 09:58:13,-1001691956437,,,,,49668
49668,2025-04-22 06:23:16,-1001691956437,,,,,
49651,2025-04-21 19:16:05,-1001691956437,,,,,49641
49641,2025-04-21 15:31:19,-1001691956437,,,,,
49622,2025-04-21 11:13:37,-1001691956437,,,,,49620
49620,2025-04-21 10:00:40,-1001691956437,,,,,
49613,2025-04-21 09:10:47,-1001691956437,,,,,49608
49608,2025-04-21 08:13:26,-1001691956437,,,,"TIME BAZAR 18-4-2025........

CLOSE.....

SINGAL.............2.............

STRONG............7...........

PENAL.246...156..124..368...

PLAY UNLIMITED.    👍👍👍👍",
49593,2025-04-21 06:20:32,-1001691956437,,,,,49592
49592,2025-04-21 06:03:54,-1001691956437,,,,,
49530,2025-04-19 09:57:48,-1001691956437,,,,,49525
49525,2025-04-19 09:48:25,-1001691956437,,,,,
49511,2025-04-19 08:01:20,-1001691956437,,,,,49510
49510,2025-04-19 07:42:29,-1001691956437,,,,,
49502,2025-04-19 06:22:49,-1001691956437,,,,,49492
49501,2025-04-19 06:21:50,-1001691956437,,,,,
49500,2025-04-19 06:21:50,-1001691956437,,,,,
49499,2025-04-19 06:21:50,-1001691956437,,,,,
49498,2025-04-19 06:21:50,-1001691956437,,,,,
49497,2025-04-19 06:21:50,-1001691956437,,,,,
49496,2025-04-19 06:21:50,-1001691956437,,,,,
49495,2025-04-19 06:21:50,-1001691956437,,,,,
49494,2025-04-19 06:21:50,-1001691956437,,,,,
49493,2025-04-19 06:19:31,-1001691956437,,,,,
49492,2025-04-19 06:19:30,-1001691956437,,,,,
49485,2025-04-19 02:44:43,-1001691956437,,,,,49473
49473,2025-04-18 14:30:41,-1001691956437,,,,,
49430,2025-04-18 06:20:36,-1001691956437,,,,श्री देवी जेसा भी गेम्स है आपको पहले दिखाया है,49429
49429,2025-04-18 06:10:22,-1001691956437,,,,,
49408,2025-04-17 16:33:38,-1001691956437,,,,,49406
49406,2025-04-17 16:06:32,-1001691956437,,,,,
49386,2025-04-17 11:08:18,-1001691956437,,,,,49383
49383,2025-04-17 09:59:30,-1001691956437,,,,,
49364,2025-04-17 08:01:15,-1001691956437,,,,,49358
49363,2025-04-17 07:59:57,-1001691956437,,,,,
49362,2025-04-17 07:59:57,-1001691956437,,,,,
49361,2025-04-17 07:59:56,-1001691956437,,,,,
49360,2025-04-17 07:59:56,-1001691956437,,,,,
49359,2025-04-17 07:59:56,-1001691956437,,,,,
49358,2025-04-17 07:57:09,-1001691956437,,,,,
49339,2025-04-17 00:00:03,-1001691956437,,,,,49323
49331,2025-04-16 16:38:20,-1001691956437,,,,,49325
49329,2025-04-16 15:03:58,-1001691956437,,,,"दोस्तों में काम में थोड़ा व्यस्त हूं इसलिए गेम पर ध्यान नहीं है 
फिर भी आप otc खेल सकते हैं गारंटी के साथ",
49325,2025-04-16 14:37:29,-1001691956437,,,,,
49323,2025-04-16 14:37:29,-1001691956437,,,,,
49322,2025-04-16 14:09:48,-1001691956437,,,,,49320
49321,2025-04-16 14:07:51,-1001691956437,,,,,49315
49320,2025-04-16 12:53:12,-1001691956437,,,,"KALYAN......16-4-2025........

CLOSE.....

SINGAL...........2..........

STRONG..........7...........

PENAL..660...138..700

PLAY UNLIMITED.    👍👍👍👍",
49315,2025-04-16 05:18:58,-1001691956437,,,,,
49312,2025-04-16 01:29:16,-1001691956437,,,,,
49300,2025-04-15 06:27:50,-1001691956437,,,,,49294
49294,2025-04-15 02:57:18,-1001691956437,,,,,
49293,2025-04-15 01:30:53,-1001691956437,,,,,
49274,2025-04-14 13:32:42,-1001691956437,,,,,49271
49271,2025-04-14 12:12:22,-1001691956437,,,,"KALYAN......14-4-2025........

CLOSE.....

SINGAL...........5...........

STRONG..........0...........

PENAL..267...258..127...

PLAY UNLIMITED.    👍👍👍👍",
49261,2025-04-14 09:58:42,-1001691956437,,,,,49251
49251,2025-04-14 08:00:01,-1001691956437,,,,,
49250,2025-04-14 07:56:09,-1001691956437,,,,,49248
49248,2025-04-14 06:21:36,-1001691956437,,,,"SRIDEVI.DAY....14-4-2025........

CLOSE.....

SINGAL............2......

STRONG...........7.......

PENAL..390........124........

PLAY UNLIMITED.    👍👍👍👍",
49228,2025-04-13 14:00:10,-1001691956437,,,,,49227
49227,2025-04-13 13:45:49,-1001691956437,,,,,
49187,2025-04-12 21:12:46,-1001691956437,,,,,49178
49178,2025-04-12 15:23:14,-1001691956437,,,,,
49156,2025-04-12 11:06:19,-1001691956437,,,,,49151
49151,2025-04-12 10:25:50,-1001691956437,,,,,
49097,2025-04-12 06:20:46,-1001691956437,,,,,49085
49096,2025-04-12 06:19:46,-1001691956437,,,,,
49095,2025-04-12 06:19:46,-1001691956437,,,,,
49094,2025-04-12 06:19:46,-1001691956437,,,,,
49093,2025-04-12 06:19:46,-1001691956437,,,,,
49092,2025-04-12 06:19:46,-1001691956437,,,,,
49091,2025-04-12 06:19:46,-1001691956437,,,,,
49090,2025-04-12 06:19:46,-1001691956437,,,,,
49089,2025-04-12 06:19:46,-1001691956437,,,,,
49088,2025-04-12 06:19:46,-1001691956437,,,,,
49087,2025-04-12 06:19:45,-1001691956437,,,,,
