message_id,date,sender_id,first_name,last_name,username,message,reply_to
409,2025-04-24 16:17:29,-1002018658909,,,,https://x.com/AllstarsNG/status/1915099180881568011?t=19ZHF9B3PWKy_FGPt_1sJA&s=19,
408,2025-04-18 19:42:45,-1002018658909,,,,https://x.com/AllstarsNG/status/1913306857688494187?t=ZR-P-LJB6SYWtSG03PgKkg&s=19,
406,2025-04-16 16:11:02,-1002018658909,,,,"https://x.com/StepFinance_/status/1912532076588412935
Tune in family 💜",
405,2025-04-15 04:47:21,-1002018658909,,,,Solana >>>>,
404,2025-04-08 15:55:36,-1002018658909,,,,"Happy Birthday Viktor Simdope ✨
Country Manager Solana Allstars NG!",
403,2025-04-08 11:08:06,-1002018658909,,,,"The man, the myth, the legend! 💫💜🔥",
402,2025-04-05 23:46:36,-1002018658909,,,,Welcome Everyone from OAU! 💯🔥,
401,2025-03-31 16:04:13,-1002018658909,,,,IDOLO spotted,
400,2025-03-29 22:14:08,-1002018658909,,,,"How many people's names can you decode from here?

Tag them on the group let's see!",399
399,2025-03-29 10:24:03,-1002018658909,,,,https://x.com/ViktorSimdope/status/1905926604351525101,
398,2025-03-28 22:20:00,-1002018658909,,,,,
397,2025-03-28 22:19:13,-1002018658909,,,,"Tomorrow 4 meetups is going to be happening at the same time.

Lokoja, OUI, EKSU & Port Harcourt!
Where will you be?",395
396,2025-03-27 23:14:19,-1002018658909,,,,"Today is Calabar and UNEC.

you've got friends or siblings there? Tell em not to miss out on the buzz🔥

gmgm, if you gm!",395
395,2025-03-26 00:15:45,-1002018658909,,,,"lu.ma/Solanaallstarsng

can you see your city? 🌆",
