message_id,date,sender_id,first_name,last_name,username,message,reply_to
53536,2025-04-24 20:21:13,-1001361890342,,,,"Here are today’s top stories on Telegram 
https://youtube.com/shorts/ARL92VqbqhM",
53535,2025-04-24 19:06:32,-1001361890342,,,,"Greetings from Galilee! I am home for the next few weeks prior to departing to Europe for stops in Germany, Belgium, and the Netherlands. It’s so good to be back with my family. Now, if I can only convince my body that I am no longer on Japan time. - https://mailchi.mp/beholdisrael/newsletter22025-11466707",
53534,2025-04-24 18:53:49,-1001361890342,,,,Pope News & End Times. Watch this entire MidEast & Beyond: https://www.youtube.com/watch?v=oKvx2nnqAvY,
53533,2025-04-24 17:52:45,-1001361890342,,,,"Air India is in talks with Boeing to acquire the 10 planes rejected by Chinese buyers earlier amid the trade war.

(Reuters)",
53532,2025-04-24 16:51:15,-1001361890342,,,,"In the last 24 hours, US regime military jets have conducted 30 airstrikes targeting locations in Saada and Sanaa governorates. 

— The details of these attacks are as follows:
Saada: Six airstrikes on the Sahlin area in Al Salem district, 13 attacks on the north of Saada city.
Sanaa: Six airstrikes on the Brush area east of Jabal Naqm, three airstrikes on Jabal Naqm, Al-Jarraf neighborhood east of Shuoob district.

As a result of the US attack on Al-Jarraf neighborhood, several residential buildings were destroyed and one civilian was injured.",
53531,2025-04-24 16:44:42,-1001361890342,,,,"A Russian source says that one of Syrian president al-Shara'a’s conditions for normalization with Israel is the complete lifting of American sanctions on Syria.

(Carmel News)",
53530,2025-04-24 16:40:10,-1001361890342,,,,"Important Elimination | The Mujahideen Brigades announced that Imad al-Baba (Abu Ashraf), a senior member of the organization's military intelligence, was eliminated in an IDF attack.
According to the report, he was killed with his family in an airstrike in the central Gaza Strip.
The organization is responsible for the kidnapping and murder of the Bibs family.",
53529,2025-04-24 16:06:18,-1001361890342,,,,The Netherlands summoned the Iranian ambassador over accusations of Tehran's involvement in two assassination attempts in Europe.,
53528,2025-04-24 14:45:59,-1001361890342,,,,"In a very unusual move: Lebanon's Foreign Ministry today reprimanded Iran's ambassador to Beirut, Moustafa Amani, after he mocked calls to disarm Hezbollah and called it a ""conspiracy.""",
53527,2025-04-24 14:45:10,-1001361890342,,,,"BREAKING: Pakistan announces retaliatory diplomatic measures against India

Pakistani Prime Minister Shehbaz Sharif has announced the following:

– Pakistani airspace is closed to all Indian and Indian-operated airlines, effective immediately.

– The Wagah border crossing will be shut down, and ceremonial duties suspended.

– Pakistan suspends all SAARC visas issued to Indian nationals, and all Indians currently in Pakistan with an SAARC visa are instructed to leave within 48 hours.

– The number of diplomats at the Indian High Commission in Islamabad will be reduced to 30, and military attachés have been declared persona non grata.

– Pakistan exercises the right to temporarily suspend all bilateral agreements with India, including the 1972 Simla agreement.

– Pakistan states that any attempt at diverting the waters from rivers in the Indus will be seen as an act of war, and will be responded to by force.

– Pakistan suspends all trade with India.",
53526,2025-04-24 14:43:23,-1001361890342,,,,"""Due to Hamas sniper fire"" | IDF spokesman in Arabic, Col. Avichai Adraee, calls on residents of Beit Hanoun and Sheikh Zayed in the northern Gaza Strip to immediately evacuate their homes. ""This is a final warning before an attack,"" the statement said. ""In light of sniper activity and terrorism from this area against IDF forces, we will attack these areas ourselves. Move immediately west to Gaza City.""",
53525,2025-04-24 14:41:26,-1001361890342,,,,"Just finished recording an amazing podcast with Knesset Member Ohad Tal, a member of the foreign affairs and security committee.",
53524,2025-04-24 11:20:46,-1001361890342,,,,"Documentation of last night's Russian attacks on Kyiv, the capital of Ukraine.",
