message_id,date,sender_id,first_name,last_name,username,message,reply_to
22537,2025-04-24 20:48:59,-1001767909349,,,,"❗️❗️❗️TOP PROFITS❗️❗️❗️

After the IMPRESSIVE last pumps we had, which gained UNIMAGINABLE increase:
Results +2000%
▪️ 7879 %
▪️ 3952 %
▪️ 2900 %
▪️ 2742 %
▪️ 4622 %
▪️ 2172 %
▪️ 2499 %
▪️ 5900 %
▪️ 10105 %
▪️ 4300 %
▪️ 26900 %
▪️ 161900 %
▪️ 3233 %
▪️ 2626 %
▪️ 9625 %
▪️ 2052 %
▪️ 2149 %
▪️ 11900 %
▪️ 31349 %
▪️ 3890 %
▪️ 3500 %
▪️ 2225 %
▪️ 2999 %
▪️ 3400 %
▪️ 33233 %
▪️ 94990 %
▪️ 48650 %
▪️ 23861 %
▪️ 6347 %
▪️ 6750 %
▪️ 9263 %
▪️ 22757 %
▪️ 3348 %
▪️ 2400 %
▪️ 3400 %
▪️ 10106 %
▪️ 31835 %
▪️ 3333 %
▪️ 2640 %
▪️ 2400 %
▪️ 22976 %
▪️ 31099 %
▪️ 3891 %
▪️ 3108 %
▪️ 4088 %
▪️ 2304 %
▪️ 4130 %
▪️ 3900 %
▪️ 3200%
▪️ 3650 %
▪️ 2160 %
▪️ 10787
▪️ 5200 %
▪️ 2555 %
▪️ 10750 %
▪️ 3233 %
▪️ 5098 %
▪️ 4400 %
▪️ 9150 %
▪️ 5909 %
▪️ 12191 %
▪️ 2400 %
▪️ 4650 %
▪️ 3530 %
▪️ 2310 %
▪️ 2079 %
▪️ 3644 %
▪️ 2070 %
▪️ 7030 %
▪️ 4900 %
▪️ 4000 %
▪️ 2663 %
▪️ 2120 %
▪️ 2600 %
▪️ 4770 %
▪️ 5236 %
▪️ 3371 %
▪️ 4790 %
▪️ 2616 %
▪️ 4768 %
▪️ 2075 %
▪️ 6271 %
▪️ 6570 %
▪️ 4240 %
▪️ 6020 %
▪️ 2038 %
▪️ 3212 %
▪️ 9842 %
▪️ 2608 %
▪️ 3486 %
▪️ 3460 %
▪️ 2533 %
▪️ 2081 %
▪️ 4090 %
▪️ 2160 %
▪️ 3017 %
▪️ 2531 %
▪️ 2332 %
▪️ 3122 %
▪️ 2255 %
▪️ 2841 %
▪️ 9900 %
▪️ 1389 %
▪️ 17356 %
▪️ 1249 %
▪️ 1300 %
▪️ 2440 %
▪️ 1000 %
We invite you to  be ready and join next pump. We are aiming on a legendary increase, way over 1000% 🚀
We had one of our last pumps which broke all records 161900 % with an INCREDIBLE gain for all members.

Don't miss out the chance to take part in our successful story of changing your financial life! 🔝
Support @AdmBCPS ✅",
22536,2025-04-24 20:06:38,-1001767909349,,,,"Dear members,

If you are enjoying our pumps and you are satisfied with the profits you make here, spread the word about our channel so that we grow larger and have even greater pumps in the future.

Don't miss out the chance to take part in our successful story of changing the financial life of so many.

@AdmBCPS ✅",
22535,2025-04-24 19:13:21,-1001767909349,,,,"💎 Pump result: Successful pump again, with a very high peak of 1000  % and a very BIG volume.

➡️💎High: 0.055 🚀
➡️💎Low:  0.006 🚀

💎 We can safely say that this pump was a  success and that the upcoming one will be much BIGGER .

💎 We are also seeing a lot of positive feedback for the pump and we are glad to know many members managed to make profit on this pump. 

💎 Stay tuned for our next pump!
Support @AdmBCPS ✅",
22534,2025-04-24 19:00:10,-1001767909349,,,,,
22533,2025-04-24 18:58:04,-1001767909349,,,,"⏰2️⃣minutes on our pump Latoken🚀
The next message will be the coin name.
Coin name will be shared as image.
Good luck everyone
Support @AdmBCPS ✅",
22532,2025-04-24 18:55:13,-1001767909349,,,,"⏰5️⃣Minutes left until our big Pump on Latoken💰
Turn ON the notifications 📣
Support @AdmBCPS ✅",
22531,2025-04-24 18:51:46,-1001767909349,,,,"⏰1️⃣0️⃣Minutes left until our Pump on Latoken 🚀
Turn ON the notifications 📣
Support @AdmBCPS ✅",
22530,2025-04-24 18:42:51,-1001767909349,,,,"⏰2️⃣0️⃣Minutes left until our Pump on Latoken 🚀
Turn ON the notifications 📣
Support @AdmBCPS ✅",
22529,2025-04-24 18:33:11,-1001767909349,,,,"⏰3️⃣0️⃣Minutes left until the Pump💎🚀💰
📑Open our Telegram channel 
📈Open Latoken.com 💎🚀💰
🔎Open Trade/Spot search bar
💰Get ready your $USDT

🔔📣 Turn on notification  🔔📣
Support @AdmBCPS ✅",
22528,2025-04-24 17:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰1️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22527,2025-04-24 16:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰2️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22526,2025-04-24 16:10:23,-1001767909349,,,,"🪙A clear interpretation of your life as an investor.

When you put in the work and TRUST the process, your profits will grow beyond your expectations!💯
Signed BCPS TEAM 📝
💰We may not be perfect,But we are the Best,Real Team around here 💪

📱Contact @AdmBCPS✅",
22525,2025-04-24 15:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰3️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22524,2025-04-24 14:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰4️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22523,2025-04-24 12:59:08,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰6️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22522,2025-04-24 10:59:06,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰8️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22521,2025-04-24 08:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰1️⃣0️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
22520,2025-04-24 08:04:01,-1001767909349,,,,"📚 HOW TO SELL ON LATOKEN📚

When you add a new ""Sell Order"" - click the top RIGHT price section, circled in red , to set your selling price. This ensures you are selling above market price and gain profits. If the order is not completed, just cancel it and add a new one.
Support @AdmBCPS ✅",
22519,2025-04-24 07:31:57,-1001767909349,,,,"📚 HOW TO BUY ON LATOKEN 📚

When you add a new ""Buy Order"" - click the Right price section, circled in green , to set your buying price. This ensures you are buying just above market price, so your order is more likely to go through. If the order is not completed, just cancel it and add a new one.
Support @AdmBCPS ✅",
22518,2025-04-24 06:59:04,-1001767909349,,,,"🚀💰💎ATTENTION 🚀💰💎

Dear members
⏰1️⃣2️⃣Hours left until our big pump on Latoken !🚀
Don’t forget to turn ON the notifications 🔔
Support @AdmBCPS ✅",
