message_id,date,sender_id,first_name,last_name,username,message,reply_to
62682,2025-04-24 19:08:43,-1001487303570,,,,,
62681,2025-04-24 19:08:42,-1001487303570,,,,"Attention!  Look at the 👆chart with the 📊dynamics of the growth📈 in the price  of the coin #KMD/BTC (Binance)👍
🎯1 target of our pump🚀 completed successfully within ⏰2 Hours 24 Minutes!

🏆Congratulations to the 👑VIP subscribers with easy profit: 7.65% within 2 Hours 24 Minutes",
62680,2025-04-24 18:04:31,-1001487303570,,,,,
62679,2025-04-24 18:04:31,-1001487303570,,,,"🔥On this chart👆 you can see the result of 🚀pumping the #MAV/BTC (Binance)📈

📌We were able to increase the value of this coin by 👍11.67% within ⏰5 Days 17 Hours 40 Minutes!

📌Bottom line: 🎯3 target of the trading signal from the 👑VIP club has been successfully achieved!

💥To never miss another coin pump🚀 and always make a profit, our 👑VIP Platinum subscribers use Cornix automatic trading bot👍",
62678,2025-04-24 16:49:30,-1001487303570,,,,,
62677,2025-04-24 16:49:30,-1001487303570,,,,"🎯Target of 🚀Pump number 2  for coin #TRU/BTC (Binance) achieved in: 22 Days 1 Hours 15 Minutes
The total percentage of income profit from the pump this coin #TRU/BTC (Binance) amounted to 10.0%

👉 More quick profit signals available only in 👑VIP channel

#BitcoinPump #AltcoinSignals #CryptoMarketAnalysis #DeFiSignals",
62676,2025-04-24 16:29:35,-1001487303570,,,,,
62675,2025-04-24 16:29:35,-1001487303570,,,,"🔥On this chart👆 you can see the result of 🚀pumping the #SSV/BTC (Binance)📈

📌We were able to increase the value of this coin by 👍7.46% within ⏰16 Days 22 Hours 56 Minutes!

📌Bottom line: 🎯1 target of the trading signal from the 👑VIP club has been successfully achieved!

💥To never miss another coin pump🚀 and always make a profit, our 👑VIP Platinum subscribers use Cornix automatic trading bot👍",
62674,2025-04-24 15:14:31,-1001487303570,,,,,
62673,2025-04-24 15:14:31,-1001487303570,,,,"Attention!  Look at the 👆chart with the 📊dynamics of the growth📈 in the price  of the coin #WLD/BTC (Binance)👍
🎯4 target of our pump🚀 completed successfully within ⏰17 Days 4 Hours 48 Minutes!

🏆Congratulations to the 👑VIP subscribers with easy profit: 15.0% within 17 Days 4 Hours 48 Minutes",
62672,2025-04-24 14:14:37,-1001487303570,,,,,
62671,2025-04-24 14:14:37,-1001487303570,,,,"The result of 🚀Pump 👉 #STX/BTC (Binance) very good! 14.93% of profit for traders of our 👑VIP channel
✅ 4 Pump🚀 Target🎯 has been achieved in: 3 Days 13 Hours 42 Minutes

Many crypto investors use this method of obtaining passive profit without personal participation in trading on the Binance

#CryptoSignals #BinanceTrading #BTC #CryptocurrencyTrading",
62670,2025-04-24 14:09:31,-1001487303570,,,,,
62669,2025-04-24 14:09:31,-1001487303570,,,,"👍🔥Right now, on this chart, you can see the successful completion of the 3 Target🎯 of pumping the price of the 👉 #WLD/BTC (Binance) coin

The profit💰 on this trading signal was already 11.4%👍

In order to profit from achieving 3 Target of pumping the coin #WLD/BTC (Binance), members who subscribed to our 👑VIP channel had to wait only 17 Days 3 Hours 43 Minutes to achieve this.",
