message_id,date,sender_id,first_name,last_name,username,message,reply_to
69730,2025-05-08 00:17:08,-1001498307336,,,,"#DEGENUSDT price UP on 2.7% 
Volume up on 3323.8%
Price: 0.002848  (+4.2% in 24h)
24h Volume: 2.59M",
69729,2025-05-08 00:13:03,-1001498307336,,,,"#AIXBTUSDT price UP on 3.2% 
Volume up on 472.8%
Price: 0.17604  (+5.9% in 24h)
24h Volume: 76.33M",
69728,2025-05-08 00:12:30,-1001498307336,,,,"#VIRTUALUSDT price UP on 2.9% 
Volume up on 207.3%
Price: 1.4244  (-3.4% in 24h)
24h Volume: 425.42M",
69727,2025-05-07 23:31:43,-1001498307336,,,,"#GRIFFAINUSDT price DOWN on 3.92% 
Volume up on 201.5%
Price: 0.05641  (+4.5% in 24h)
24h Volume: 21.21M",
69726,2025-05-07 23:22:07,-1001498307336,,,,"#SXTUSDT price UP on 2.7% 
Volume up on 337.8%
Price: 0.17255  (-5.1% in 24h)
24h Volume: 16.49M",
69725,2025-05-07 23:16:13,-1001498307336,,,,"#BCHUSDC price UP on 2.5% 
Volume up on 1146.5%
Price: 385.36  (+5.0% in 24h)
24h Volume: 9.90M",
69724,2025-05-07 23:15:04,-1001498307336,,,,"#BCHUSDT price UP on 2.4% 
Volume up on 998.9%
Price: 385.48  (+5.2% in 24h)
24h Volume: 200.35M",
69723,2025-05-07 23:06:36,-1001498307336,,,,"#EOSUSDT price UP on 2.1% 
Volume up on 261.8%
Price: 0.833  (+22.4% in 24h)
24h Volume: 274.82M",
69722,2025-05-07 22:50:52,-1001498307336,,,,"#1000RATSUSDT price DOWN on 3.8% 
Volume up on 1146.0%
Price: 0.02885  (+4.2% in 24h)
24h Volume: 4.84M",
69721,2025-05-07 22:36:45,-1001498307336,,,,"#PROMPTUSDT price UP on 2.4% 
Volume up on 264.6%
Price: 0.2744  (-6.0% in 24h)
24h Volume: 13.90M",
69720,2025-05-07 22:11:31,-1001498307336,,,,"#GRIFFAINUSDT price UP on 2.8% 
Volume up on 510.6%
Price: 0.0568  (+6.4% in 24h)
24h Volume: 17.06M",
69719,2025-05-07 22:06:37,-1001498307336,,,,"#KAITOUSDT price UP on 4.1% 
Volume up on 223.1%
Price: 1.466  (+60.9% in 24h)
24h Volume: 1636.38M",
69718,2025-05-07 22:05:34,-1001498307336,,,,"#HIGHUSDT price UP on 3.1% 
Volume up on 2130.1%
Price: 0.6784  (+8.0% in 24h)
24h Volume: 35.36M",
69717,2025-05-07 21:51:29,-1001498307336,,,,"#CGPTUSDT price UP on 2.2% 
Volume up on 206.6%
Price: 0.11759  (+17.8% in 24h)
24h Volume: 7.15M",
69716,2025-05-07 21:06:52,-1001498307336,,,,"#SYRUPUSDT price UP on 4.1% 
Volume up on 429.2%
Price: 0.22461  (+2.2% in 24h)
24h Volume: 89.69M",
69715,2025-05-07 20:51:52,-1001498307336,,,,"#OBOLUSDT price DOWN on 4.69% 
Volume up on 392.1%
Price: 0.26681  (-36.4% in 24h)
24h Volume: 150.30M",
