message_id,date,sender_id,first_name,last_name,username,message,reply_to
77213,2025-05-07 21:48:06,-1001350915658,,,,"🆕 New Virtuals Protocol (VIRTUAL) event! 
 
07 May 2025 
Genesis Update",
77212,2025-05-07 21:47:17,-1001350915658,,,,"🆕 New Mina Protocol (MINA) event! 
 
07 May 2025 
NFT Standard",
77211,2025-05-07 21:44:13,-1001350915658,,,,"🆕 New Artificial Superintelligence Alliance (FET), GT Protocol (GTAI) event! 
 
08 May 2025 
Trendsetting AI & Web3",
77210,2025-05-07 21:42:36,-1001350915658,,,,"🆕 New ApeCoin (APE), ISLAND Token (ISLAND) event! 
 
07 May 2025 
Apechain on Nifty Island",
77209,2025-05-07 21:41:41,-1001350915658,,,,"🆕 New Taiko (TAIKO) event! 
 
07 May 2025 
Taiko DAO on Mainnet",
77208,2025-05-07 21:40:14,-1001350915658,,,,"🆕 New Jito (JTO) event! 
 
07 May 2025 
Tokenomics Roundtable",
77207,2025-05-07 21:37:27,-1001350915658,,,,"🆕 New Kamino (KMNO), Hashflow (HFT) event! 
 
07 May 2025 
HFT RFQ Liq on KMNO Swap",
77206,2025-05-07 21:34:51,-1001350915658,,,,"🆕 New Solana Name Service (FIDA) event! 
 
08 May 2025 
The Kitchen",
77205,2025-05-07 21:33:27,-1001350915658,,,,"🆕 New Morpho (MORPHO) event! 
 
07 May 2025 
Flame Integration",
77204,2025-05-07 21:32:44,-1001350915658,,,,"🆕 New Jupiter (JUP) event! 
 
07 May 2025 
Universal Send on Mobile",
77203,2025-05-07 21:31:39,-1001350915658,,,,"🆕 New IOTA (IOTA) event! 
 
07 May 2025 
Swirl LST Staking",
77202,2025-05-07 21:29:46,-1001350915658,,,,"🆕 New Coreum (COREUM), OmniFlix Network (FLIX) event! 
 
07 May 2025 
COREUM & FLIX AMA",
77201,2025-05-07 21:26:28,-1001350915658,,,,"🆕 New Baby Doge Coin (BABYDOGE) event! 
 
07 May 2025 
New Properties",
77200,2025-05-07 21:25:33,-1001350915658,,,,"🆕 New Bitpanda Ecosystem (BEST), General Event (CRYPTO), KuCoin (KCS) event! 
 
From 08 May to 16 May 2025 
ViennaUP 2025",
77199,2025-05-07 21:19:24,-1001350915658,,,,"🆕 New PHALA (PHA) event! 
 
07 May 2025 
Newton on Phala",
77198,2025-05-07 21:18:11,-1001350915658,,,,"🆕 New Creditcoin (CTC) event! 
 
07 May 2025 
Wallet NFT Update",
77197,2025-05-07 21:16:51,-1001350915658,,,,"🆕 New Chainflip (FLIP) event! 
 
07 May 2025 
Polkadot Asset Hub Swaps",
77196,2025-05-07 15:08:13,-1001350915658,,,,"🆕 New Optimism (OP) event! 
 
11 May 2025 or earlier 
Superchain Update",
77195,2025-05-07 15:06:19,-1001350915658,,,,"🆕 New IOTA (IOTA) event! 
 
07 May 2025 
SwirlStake Integration",
77194,2025-05-07 15:04:32,-1001350915658,,,,"🆕 New Pendle (PENDLE), YieldFi yToken (YUSD) event! 
 
07 May 2025 
yUSD on Pendle",
77193,2025-05-07 15:03:21,-1001350915658,,,,"🆕 New Fuel Network (FUEL) event! 
 
07 May 2025 
Fuel On-Chain Test",
77192,2025-05-07 14:59:45,-1001350915658,,,,"🆕 New Shardeum (SHM) event! 
 
08 May 2025 
BitMart Listing",
77191,2025-05-07 14:23:38,-1001350915658,,,,"🆕 New Odos (ODOS), Resupply (RSUP) event! 
 
07 May 2025 
Odos - Resupply",
77190,2025-05-07 14:21:02,-1001350915658,,,,"🆕 New STP (STPT), IOST (IOST) event! 
 
07 May 2025 
AWE x IOST",
77189,2025-05-07 14:19:46,-1001350915658,,,,"🆕 New e-Radix (EXRD), Radix (XRD) event! 
 
09 May 2025 
Ecosystem Updates",
77188,2025-05-07 14:16:33,-1001350915658,,,,"🆕 New SubQuery Network (SQT), Unit0 (UNIT0) event! 
 
07 May 2025 
Units - SubQuery",
77187,2025-05-07 14:15:14,-1001350915658,,,,"🆕 New Maker (MKR), Dai (DAI), Sky (SKY), sUSDS (SUSDS), USDS (USDS) event! 
 
08 Jun 2025 
XDAI Adopts USDS",
77186,2025-05-07 14:14:33,-1001350915658,,,,"🆕 New Aurora (AURORA), Bridged Tether (Rainbow Bridge) (USDT.E), Rainbow Bridged USDC (Near) (USDC.E) event! 
 
07 May 2025 
Crynux Node V2.5",
77185,2025-05-07 14:13:40,-1001350915658,,,,"🆕 New Degen (DEGEN) event! 
 
08 May 2025 
Community Call",
77184,2025-05-07 13:55:40,-1001350915658,,,,"🆕 New Solana Name Service (FIDA) event! 
 
07 May 2025 
Genesis Airdrop",
77183,2025-05-07 13:54:39,-1001350915658,,,,"🆕 New Unipoly (UNP) event! 
 
07 May 2025 
Game Terminal Partnership",
77182,2025-05-07 13:52:09,-1001350915658,,,,"🆕 New PAAL AI (PAAL) event! 
 
07 May 2025 
Grok-3 & Llama 4",
77181,2025-05-07 13:51:04,-1001350915658,,,,"🆕 New Mars Protocol (MARS) event! 
 
08 May 2025 
Mars Community Call",
77180,2025-05-07 13:50:30,-1001350915658,,,,"🆕 New Omni Network (OMNI), clBTC (CLBTC) event! 
 
07 May 2025 
Cygnus Omni Launch",
77179,2025-05-07 13:49:25,-1001350915658,,,,"🆕 New Chromia (CHR) event! 
 
13 May 2025 
Social Agents AMA",
77178,2025-05-07 13:43:49,-1001350915658,,,,"🆕 New USDC (USDC) event! 
 
07 May 2025 
Paymaster Supports EOAs",
77177,2025-05-07 13:43:09,-1001350915658,,,,"🆕 New aixbt by Virtuals (AIXBT) event! 
 
08 May 2025 
Binance.US Listing",
77176,2025-05-07 13:41:58,-1001350915658,,,,"🆕 New Mantle Restaked ETH (CMETH), mETH Protocol (COOK) event! 
 
08 May 2025 
Community AMA",
77175,2025-05-07 13:40:47,-1001350915658,,,,"🆕 New dYdX (ETHDYDX), dYdX (DYDX), dYdX (WETHDYDX) event! 
 
From 07 May to 11 May 2025 
Prop #244",
77174,2025-05-07 13:39:40,-1001350915658,,,,"🆕 New MINATIVERSE (MNTC) event! 
 
07 May 2025 
X Spaces",
77173,2025-05-07 13:33:56,-1001350915658,,,,"🆕 New GAL (migrated to Gravity - G) (GAL), SPACE ID (ID) event! 
 
07 May 2025 
SnapStorm Rewards",
77172,2025-05-07 13:26:16,-1001350915658,,,,"🆕 New Kamino (KMNO), Cogent SOL (CGNTSOL) event! 
 
07 May 2025 
CogentSOL on Kamino",
77171,2025-05-07 13:24:28,-1001350915658,,,,"🆕 New GoMining Token (GOMINING) event! 
 
09 May 2025 
Live X Space w/ ChartFu",
77170,2025-05-07 13:22:37,-1001350915658,,,,"🆕 New Velodrome Finance (VELO), Solv Protocol SolvBTC (SOLVBTC), Solv Protocol xSolvBTC (XSOLVBTC) event! 
 
07 May 2025 
SolvBTC on Velodrome",
77169,2025-05-07 13:18:15,-1001350915658,,,,"🆕 New Mansory Token (MNSRY), Stargate Finance (STG) event! 
 
07 May 2025 
Partnership",
77168,2025-05-07 11:41:41,-1001350915658,,,,"🆕 New Waves (WAVES), Sancho (SANCHO) event! 
 
07 May 2025 
SANCHO On Waves",
77167,2025-05-07 11:41:32,-1001350915658,,,,"🆕 New Sancho (SANCHO), Waves (WAVES) event! 
 
16 May 2025 
SANCHO AIrdrop on Waves",
