message_id,date,sender_id,first_name,last_name,username,message,reply_to
11229,2025-05-07 16:14:47,-1001124574831,,,,"[COINBASE] Coinbase will add support for PAX Gold (PAXG) on the Ethereum network (ERC-20 Token)
16:14:47-277",
11228,2025-05-07 11:00:13,-1001124574831,,,,"[BINANCE] Doodles (DOOD) Will Be Available on Binance Alpha and Binance Futures
11:00:12-996 +1",
11227,2025-05-07 08:00:45,-1001124574831,,,,"[BINANCE] Binance Will Extend the Monitoring Tag to Include ALPHA, HIFI, LEVER, MOVE, PORTAL & REI on 2025-05-07
08:00:44-956 +1",
11225,2025-05-07 03:32:32,-1001124574831,,,,Coinbase listing will be soon. Time is almost out.,
11224,2025-05-06 14:40:50,-1001124574831,,,,"А part of Premium Lounge Workflow 🍀

The specific market is irrelevant when you're working with insider information.
All it takes is buy the lows of coin that will be on Coinbase soon.

The market maker will do the rest for you, as he is in the same boat with us",
11223,2025-05-06 11:25:25,-1001124574831,,,,"[BINANCE] Binance Will List Maple Finance (SYRUP) and Kamino Finance (KMNO) with Seed Tag Applied
11:25:24-662",
11222,2025-05-06 10:20:02,-1001124574831,,,,"[BINANCE ALPHA] Binance Alpha lists MYX (MYX) listing. Contract Address: 0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16
10:20:02-050",
11221,2025-05-06 09:29:06,-1001124574831,,,,"[BINANCE] Binance Futures Will Launch USDⓈ-Margined B2USDT and MILKUSDT Perpetual Contracts
09:29:06-216 +1",
11220,2025-05-06 07:38:22,-1001124574831,,,,"[BINANCE] Binance Futures Will Launch USDⓈ-Margined ASRUSDT and ALPINEUSDT Perpetual Contracts
07:38:22-299 +1",
11219,2025-05-05 19:51:10,-1001124574831,,,,"[COINBASE] Coinbase Roadmap: PAX Gold (PAXG) Added
19:51:10-272",
11218,2025-05-05 14:14:18,-1001124574831,,,,"[BINANCE] Introducing Space and Time (SXT) on Binance Launchpool! Farm SXT by Locking BNB, FDUSD and USDC
14:14:18-321",
11217,2025-05-05 06:10:02,-1001124574831,,,,"[BINANCE ALPHA] Binance Alpha lists BOOP (BOOP) listing. Contract Address: 0x9a70815dfb644a24b57358e1041f8d0324c8f6e1
06:10:02-176",
11216,2025-05-03 08:46:56,-1001124574831,,,,"[BINANCE] Obol (OBOL) Will Be Available on Binance Alpha and Binance Futures
08:46:56-463",
11215,2025-05-02 10:21:25,-1001124574831,,,,"[BINANCE] Introducing StakeStone (STO) on Binance HODLer Airdrops! Earn STO With Retroactive BNB Simple Earn Subscriptions
10:21:25-725 +1",
11214,2025-05-02 05:02:11,-1001124574831,,,,"[BINANCE] Binance Futures Will Launch USDⓈ-Margined SXTUSDT Perpetual Contract Pre-Market Trading
05:02:11-400",
11213,2025-05-01 06:00:02,-1001124574831,,,,"[BINANCE ALPHA] Binance Alpha lists Shadow (SHADOW) listing. Contract Address: 0x3333b97138d4b086720b5ae8a7844b1345a33333
06:00:01-781",
11212,2025-04-30 17:06:38,-1001124574831,,,,"[COINBASE] Coinbase will add support for Worldcoin (WLD) on the Optimism network
17:06:38-267",
11211,2025-04-30 16:13:52,-1001124574831,,,,"[COINBASE] Coinbase will add support for Mantle (MANTLE) on the Ethereum network (ERC-20 Token)
16:13:51-624",
11210,2025-04-30 16:09:20,-1001124574831,,,,"[COINBASE] Coinbase Roadmap: Worldcoin (WLD) Added
16:09:20-449",
11209,2025-04-30 13:07:52,-1001124574831,,,,"[BINANCE] Binance Alpha Points Promotion: Earn Extra Points for BSC Alpha Token Purchases or Limit Orders
13:07:51-975 +1",
11208,2025-04-30 10:48:01,-1001124574831,,,,"[BINANCE] Binance Futures Will Launch USDⓈ-Margined AIOTUSDT, DOLOUSDT and HAEDALUSDT Perpetual Contracts
10:48:01-309",
11207,2025-04-30 08:30:33,-1001124574831,,,,"[BINANCE] Binance Futures Will Launch USDⓈ-Margined PUNDIXUSDT and CTKUSDT Perpetual Contracts
08:30:33-276",
11206,2025-04-29 21:01:50,-1001124574831,,,,Websocket is the 🔑,11203
