message_id,date,sender_id,first_name,last_name,username,message,reply_to
10153,2025-05-07 02:39:29,-1001246709739,,,,,
10152,2025-05-07 02:35:17,-1001246709739,,,,ADA TARGET 1 DONE,
10151,2025-05-06 10:53:50,-1001246709739,,,,,
10149,2025-05-05 04:13:41,-1001246709739,,,,,
10148,2025-05-05 02:36:59,-1001246709739,,,,#BNB/USDT Take-Profit target 1 ✅,10145
10147,2025-05-04 10:16:01,-1001246709739,,,,,
10146,2025-05-04 03:53:02,-1001246709739,,,,TRUMP STOPLOSS HIT,
10145,2025-05-03 09:57:52,-1001246709739,,,,"💰BNBUSDT NEW SIGNAL AVAILABLE✅

DOWNLOAD ON 🤖PLAYSTORE THIS APP",
10144,2025-05-03 04:59:31,-1001246709739,,,,,
10143,2025-05-02 12:26:28,-1001246709739,,,,"🔤🔤🔤🔤🔤
🔠🔠🔠🔠🔠RESULTS


Here is the profit/loss summary for each day from APRIL 1 to APRIL 30, 2025

APRIL 1 → -65.16%
APRIL 2 → +62.63%
APRIL 3 → +10.40%
APRIL 4 → +66.05%
APRIL 5 → -32.22%
APRIL 6 → -279.53%
APRIL 7 → +112.28%
APRIL 8 → +245.88%
APRIL 9 → +22.82%
APRIL 10 → +107.27%
APRIL 11 → +19.25%
APRIL 12 →  -1.90%
APRIL13 → +100.33%
APRIL 14 → +120.02%
APRIL 15 → +89.60%
APRIL16 → +52.70%
APRIL 17 → -69.42%
APRIL 18 → -43.76%
APRIL 19 → -141.31%
APRIL 20 → +76.87%
APRIL 21 → +157.34%
APRIL 22 → -182.27%
APRIL 23 → +74.85%
APRIL 24 → +80.52%
APRIL 25 → +26.51%
APRIL 26 → +160.59%
APRIL 27 → +13.51%
APRIL 28 → +137.08%
APRIL 29 → +108.13%
APRIL 30 → 00.00%


Total Profit: 1240.64%

Average Profit per Day: 41.34%

Total Days: 3️⃣0️⃣

Profit Days: 2️⃣3️⃣

Loss Days: 0️⃣6️⃣

Win Rate: 79.31%

𝄜 EXCEL PDF :- LINK 🔗 

Seize this opportunity now! Join us to level up your crypto trading!

CONTACT US FOR VIP📞

@Fortuneresult   ✅

@bnbguru  ✔️",
10142,2025-05-02 10:23:55,-1001246709739,,,,,
10141,2025-04-29 12:14:09,-1001246709739,,,,,10136
10140,2025-04-27 05:09:57,-1001246709739,,,,ALPACAUSDT TARGET 4 DONE ✅,10136
10139,2025-04-26 16:27:24,-1001246709739,,,,ALPACAUSDT TARGET 3 DONE ☑️,10136
10138,2025-04-26 13:25:51,-1001246709739,,,,ALPACAUSDT TARGET 2 DONE ☑️,10136
10137,2025-04-26 12:43:37,-1001246709739,,,,ALPACAUSDT TARGET 1 DONE ☑️,
10136,2025-04-26 12:27:11,-1001246709739,,,,High risk,
10135,2025-04-26 08:47:09,-1001246709739,,,,ALPACAUSDT TARGET 3 DONE ☑️,10132
10134,2025-04-26 05:15:18,-1001246709739,,,,ALPACAUSDT TARGET 2 ✅,10132
10133,2025-04-26 04:40:44,-1001246709739,,,,ALPACAUSDT TARGET 1 DONE ✅,10132
10132,2025-04-26 03:33:05,-1001246709739,,,,High RISK,
10131,2025-04-25 14:14:52,-1001246709739,,,,ALPACAUSDT TARGET 2 done ✅,
10130,2025-04-25 14:00:06,-1001246709739,,,,,
10129,2025-04-25 13:12:54,-1001246709739,,,,ALPACAUSDT TARGET 1 DONE✅,
10128,2025-04-25 12:47:30,-1001246709739,,,,,
10127,2025-04-25 09:30:18,-1001246709739,,,,ALPACAUSDT TARGET 2 DONE✅,10125
10126,2025-04-25 09:03:26,-1001246709739,,,,ALPACAUSDT TARGET 1 DONE✅,10125
10125,2025-04-25 08:53:54,-1001246709739,,,,"HIGH RISKY TRADE

ALSO FUNDING -2%",
10124,2025-04-25 07:50:47,-1001246709739,,,,"🇺🇸 NEW: The official TRUMP token X account clarifies confusion about the ""Dinner with President Trump"" competition, confirming no $300K entry requirement exists. 

Competition scoring is based on time-weighted holdings, with newly unlocked tokens remaining locked for 90 days beyond the competition period.",
10123,2025-04-25 07:37:43,-1001246709739,,,,SL HIT,
10122,2025-04-25 06:49:09,-1001246709739,,,,"HIGH RISKY TRADE

ALSO FUNDING -2%",
10120,2025-04-23 19:21:59,-1001246709739,,,,TRUMP ALL TARGET DONE ✅,10104
10119,2025-04-23 19:07:23,-1001246709739,,,,New signals realse,10118
10118,2025-04-23 09:12:11,-1001246709739,,,,"New NEIROETHUSDT signals will be shared only here

https://whatsapp.com/channel/0029Va8m6udHbFV2dbsAv542",
10117,2025-04-23 06:49:02,-1001246709739,,,,ZEREBRO TARGET 4 DONE ☑️,10114
10116,2025-04-23 06:40:26,-1001246709739,,,,ZEREBRO TARGET 3 DONE ☑️,10114
10115,2025-04-23 05:05:28,-1001246709739,,,,ZEREBRO TARGET 2 DONE ✅,10114
10114,2025-04-23 04:51:29,-1001246709739,,,,"⚡⚡ #ZEREBRO/USDT ⚡⚡

Signal Type: Regular (Short)
Leverage: Isolated (1.0X)

Entry Targets:
1) 0.08200
2) 0.08900

Take-Profit Targets:
1) 0.07900
2) 0.07500
3) 0.07200
4) 0.06600
5) 0.06100

Stop Targets:
1) 0.09200

Published By: @Bnbguru",
10113,2025-04-22 15:08:13,-1001246709739,,,,💰XRPUSDT TARGET 1 REACH☑️,10099
10112,2025-04-22 15:07:39,-1001246709739,,,,💰ETHUSDT TARGET 2 REACH☑️,10109
10111,2025-04-22 13:22:08,-1001246709739,,,,"💰BTCUSDT NEW SIGNAL AVAILABLE✅

DOWNLOAD ON 🤖PLAYSTORE THIS APP",
10110,2025-04-22 07:51:49,-1001246709739,,,,ETHUSDT TARGET 1 REACH☑️,10109
10109,2025-04-22 02:38:32,-1001246709739,,,,Spot,
10108,2025-04-21 05:55:24,-1001246709739,,,,💰ETH TARGET 1 DONE ✅,10094
10107,2025-04-20 14:43:19,-1001246709739,,,,"🤑🔤🔤🔤USDT NEW SIGNAL AVAILABLE✅

DOWNLOAD ON 🤖PLAYSTORE THIS APP",
10106,2025-04-20 07:46:47,-1001246709739,,,,"New btc signals will be shared only here
📱

https://whatsapp.com/channel/0029VbAH8l3IyPtanYePvt06",
10105,2025-04-20 01:13:38,-1001246709739,,,,TRUMP TARGET 1 DONE ✅,10104
10104,2025-04-19 18:40:45,-1001246709739,,,,"🌟HIGH RISKY TRADE🌟

🪙 COIN :- TRUMP/USDT 🇺🇸 🇺🇸

👉 TYPE :-  📈 SPOT BUY💬 
 📈ENTER :-  8.30 - 7.75

🥇TARGET 1️⃣ :-  8.61
🥈TARGET 2️⃣ :-  8.85
🥉TARGET 3️⃣ :-  9.27
💎TARGET 4️⃣ :-  9.803
🏆TARGET 5️⃣ :- 10.23

 🛡️ STOPLOSS 😢 :-  7.611",
10103,2025-04-19 07:56:15,-1001246709739,,,,OMUSDT UPDATE,10100
10102,2025-04-19 07:15:03,-1001246709739,,,,🚨 BREAKING: 🇮🇳 Binance starts KYC re-verification for all Indian users to comply with AML regulations 🔥,
10101,2025-04-17 18:57:28,-1001246709739,,,,OM TARGET 1 ☑️,10100
10100,2025-04-17 17:05:50,-1001246709739,,,,"ENTRY PRICE ,TARGET ,STOPLOSS

AVAILABLE IN 📱WHATSAPP CHANNEL

https://whatsapp.com/channel/0029Va8m6udHbFV2dbsAv542",
10099,2025-04-17 06:25:14,-1001246709739,,,,"💰XRPUSDT NEW SIGNAL AVAILABLE✅

DOWNLOAD ON 🤖PLAYSTORE THIS APP",
10098,2025-04-16 13:23:53,-1001246709739,,,,OM TARGET 2 DONE✅,10096
10097,2025-04-16 12:11:18,-1001246709739,,,,OM TARGET 1 DONE✅,10096
10096,2025-04-16 11:25:02,-1001246709739,,,,"🕉🔤🔤🔤🔤🔤🔤🔤

📱    LINK  📱  LINK  📱    LINK  

📱    LINK 🤖   LINK 👩‍💻    LINK  ",
10094,2025-04-15 15:57:47,-1001246709739,,,,"🌟HIGH RISKY TRADE🌟

💰 COIN :- ETH/USDT 

👉 TYPE :-  📈 SPOT BUY🟢 
 📈ENTER :-  1615 - 1505

🥇TARGET1️⃣ :-  1640
🥈TARGET2️⃣ :-  1675
🥉TARGET3️⃣ :-  1710
💎TARGET4️⃣ :-  1755
🏆TARGET5️⃣ :- 1839

 🛡️ STOPLOSS😢 :-  1490",
10093,2025-04-15 12:57:34,-1001246709739,,,,"OM TARGET 5 DONE✅
100% profit",10089
10092,2025-04-15 11:09:04,-1001246709739,,,,OM TARGET 3 DONE✅,10089
10091,2025-04-15 06:31:57,-1001246709739,,,,"Still losing in the market? 📉

Stop following random signals — start trading smart! 💡

Join our premium group for consistent profits, real guidance, and green days — no matter the market trend! ✅📈

Monthly & yearly plans available.
Start small, grow big! 🚀

Join now📱

https://telegram.me/Bnbguru  ✅

Smart traders follow strategy, not luck. Be one of them! 🧠💰",
10090,2025-04-15 00:26:37,-1001246709739,,,,OM TARGET 2 DONE✅,10089
10089,2025-04-14 16:50:21,-1001246709739,,,,"🌟HIGH RISKY TRADE🌟

🪙 COIN:- OM/USDT 

👉 TYPE:-  📈 SPOT BUY🟢 
 📈ENTER :-  0.52 - 0.445

🥇TARGET 1️⃣ :-  0.56
🥈TARGET2️⃣ :-  0.60
🥉TARGET 3️⃣ :-  0.68
💎TARGET4️⃣ :-  0.75
🏆TARGET5️⃣ :- 0.93

 🛡️ STOPLOSS😭 :-  0.424


TP❤️ VS SL😂",
10087,2025-04-14 10:31:54,-1001246709739,,,,OM TARGET 1 ☑️,
10086,2025-04-14 10:27:28,-1001246709739,,,,"🌟CRYPTO SIGNALS 🌟

🪙 COIN:- OM/USDT 

👉 TYPE:-  📈 SPOT BUY🟢 
 📈ENTE:-  0.72 - 0.64

🥇TARGET1️⃣ :-  0.76
🥈TARGET2️⃣ :-  0.79
🥉TARGET3️⃣ :-  0.83
💎TARGET4️⃣ :-  0.95
🏆TARGET5️⃣ :- 1.12

 🛡️ STOPLOSS😭 :-  0.62


TP❤️ VS SL😂",
10083,2025-04-12 14:19:44,-1001246709739,,,,🔹🔠🔠🔠 TARGET 3 ✅,10080
10082,2025-04-11 08:40:23,-1001246709739,,,,🔹🔠🔠🔠 TARGET 2️⃣✅,10080
10081,2025-04-10 18:36:29,-1001246709739,,,,🔹🔠🔠🔠 TARGET 1️⃣✅,10080
10080,2025-04-10 17:21:25,-1001246709739,,,,"🌟CRYPTO SIGNALS BY @Bnbguru🌟

⚠️Trade at your own risk. We are not responsible for any 📈profit or loss📉.

⚡⚡ Binance Futures, Bitget Futures, ByBit USDT, KuCoin Futures, OKX Futures ⚡⚡

🪙 COIN :- ETH/USDT .                                   👉 TYPE :-  📈 OPEN LONG 🟢 
💹 LEVERAGE :- 1X ONLY 
 📈ENTER :- 1480 - 1395

🥇TARGET 1️⃣ :-  1522
🥈TARGET 2️⃣ :-  1566
🥉TARGET 3️⃣ :-  1625
💎TARGET 4️⃣ :-  1700
🏆TARGET 5️⃣ :- 1773

 🛡️STOP LOSS😭 :-  1340",
10079,2025-04-10 17:08:21,-1001246709739,,,,,
10077,2025-04-09 17:25:02,-1001246709739,,,,"Still Losing in This Market? 😓📉

Tired of following random signals and watching your portfolio bleed? 💔

It’s time to make a smart move — invest just a little and try our premium paid service! 💡💸

Whether the market pumps or dumps — with us, your portfolio stays green ✅🌿

We don’t just give signals, we guide you to consistent growth and real results 📈
Choose from our monthly or yearly packages —

Start small, and watch your trading journey transform! 🚀🔥

Don’t wait for another red day…
Join our premium group today! 👇

https://telegram.me/Bnbguru

Smart traders don’t chase luck — they follow strategy. 🧠💰k

Be one of them!",
10073,2025-04-09 07:20:58,-1001246709739,,,,💰BTC TARGET 1 ✅,10063
10072,2025-04-09 07:10:10,-1001246709739,,,,🤑🔠🔠🔠 TARGET 2 ✅,10064
10071,2025-04-09 07:08:43,-1001246709739,,,,🤑🔤🔤🔤 TARGET 2 DONE✅,10065
10070,2025-04-09 07:07:08,-1001246709739,,,,🐶DOGE TARGET 2 ✅,10066
10069,2025-04-09 02:01:26,-1001246709739,,,,🐶DOGE TARGET 1 ✅,10066
10068,2025-04-09 01:53:43,-1001246709739,,,,🤑🔠🔠🔠 TARGET 1 ✅,10064
10067,2025-04-09 01:52:08,-1001246709739,,,,🤑🔤🔤🔤 TARGET 1 DONE✅,10065
10066,2025-04-09 01:38:33,-1001246709739,,,,,
10065,2025-04-09 01:30:44,-1001246709739,,,,🤑TON SPOT,
10064,2025-04-09 01:18:43,-1001246709739,,,,,
10063,2025-04-09 01:16:50,-1001246709739,,,,"💰🔤🔤🔤🔤🔤🔤🔤

📱    LINK  📱  LINK  📱    LINK  

📱    LINK 🤖   LINK 👩‍💻    LINK  ",
10062,2025-04-08 18:25:50,-1001246709739,,,,"#ONT/USDT Take-Profit target 1 ✅
Profit: 1.9658% 📈
Period: 54 Minutes ⏰",10061
10061,2025-04-08 17:37:22,-1001246709739,,,,"🌟CRYPTO SIGNALS BY @bnbguru🌟

⚠️Trade at your own risk. We are not responsible for any 📈profit or loss📉.

⚡🔸⚡️🌐🌐🌐⚡

🪙 COIN :-  ONTUSDT 1X ONLY
👉 TYPE : LONG 🚀 
Entry 💹  : 0.1166- 0.11
🥇TARGET 1️⃣ : 0.1193 •                                                      °
🥈TARGET 2️⃣ : 0.1229 •                                                      °
🥉TARGET 3️⃣ : 0.1287 •                                                      °
❌ 🛡️STOP LOSS😭: 0.10647",
10060,2025-04-08 17:18:06,-1001246709739,,,,,
10059,2025-04-08 16:43:49,-1001246709739,,,,"🚨🚨 White House announces 104% tariffs on China effective at noon.


🫡VIP RESULT👉🏻 @fortuneresult",
10058,2025-04-08 16:43:23,-1001246709739,,,,CLOSE AFTER TARGET 2 ✅,10044
10057,2025-04-08 16:42:48,-1001246709739,,,,"CLOSE SL HIT
5% LOSS😢",10053
10056,2025-04-08 15:48:32,-1001246709739,,,,"💰🔤🔤🔤🔤🔤🔤🔤

📱    LINK  📱  LINK  📱    LINK  

📱    LINK 🤖   LINK 👩‍💻    LINK  ",
10053,2025-04-08 05:02:13,-1001246709739,,,,"🔤🔤🔤🔤🔤🔤🔤

📱    LINK  📱  LINK  📱    LINK  

📱    LINK 🤖   LINK 👩‍💻    LINK  ",
