message_id,date,sender_id,first_name,last_name,username,message,reply_to
48844,2025-05-07 16:45:19,-1001203190274,,,,‼️لوگو کانال عوض شد گممون ، نکنید 🤨,
48841,2025-05-07 16:43:37,-1001203190274,,,,,
48839,2025-05-07 16:42:36,-1001203190274,,,,"👈معاون ترامپ: ما از پاسخ ایرانی ها در مذاکرات به برخی از نکات مورد نظرمان راضی بودیم/ایران می‌تواند انرژی هسته‌ای غیرنظامی داشته باشد

ونس مدعی شد:
🔴شانسی برای توافقی وجود دارد که ايران به اقتصاد جهانی متصل کند، اما این توافق هرگونه شانسی برای دستیابی به سلاح هسته‌ای را از بین خواهد برد.
🔴ایران می‌تواند انرژی هسته‌ای غیرنظامی داشته باشد اما نمی‌تواند به سلاح هسته‌ای دست یابد
🔴مذاکرات با ايران خوب بود و ما از پاسخ آنها به برخی از نکات مورد نظرمان راضی بودیم.",
48838,2025-05-07 16:41:40,-1001203190274,,,,"این پوزیشن متاسفانه استاپ شد❌
نگران نباشید جبران میشه",48836
48837,2025-05-06 14:31:14,-1001203190274,,,,مدیریت سرمایه رعایت بشه,48836
48836,2025-05-06 14:31:08,-1001203190274,,,,"#ETH

SHORT🛑 (5min) 

ENTRY : 1772 1782

TARGET 1752. 1730. 1710

STOP❌1793(-1%)

LV. 20x",
48835,2025-05-06 12:42:15,-1001203190274,,,,"ریپل رو میتونید ببندید
سیو سود ریسک فری هم خوبه",
48834,2025-05-06 08:47:11,-1001203190274,,,,"XRP
در سود 🥂❤️‍🔥",48833
48833,2025-05-05 14:33:14,-1001203190274,,,,"آکادمی بریسVIP:
XRP
SHORT MARKET 2.1335

TP 2.073
SL : 2.2128
Lev 5x 10x
#کریپتو
#اکادمی_بریس",
48832,2025-05-04 19:15:27,-1001203190274,,,,➕ترامپ ۴ ساعت پیش در مصاحبه با خبرنگار NBC به صراحت تاکید میکند که هدفش از مذاکره با جمهوری اسلامی متوقف کردن کامل برنامه هسته ای است نه محدود کردن آن..,
48831,2025-05-04 16:40:05,-1001203190274,,,,"🟢ربات تهیه اشتراک اساتید فارکس 

@Forex_Xc_Bot

🟢ربات تهیه اشتراک اساتید کرپیتو 

@Crypto_xc_free_bot",
48819,2025-05-03 07:34:16,-1001203190274,,,,"#دلار_فردایی تهران 86800 مـعامله شد 
 
 #طلا_گرمی 6,814,719",
48818,2025-05-03 06:45:44,-1001203190274,,,,"🔴مارک روبیو وزیر امور خارجه آمریکا :

 ایران نه تنها حق غنی سازی نداره بلکه باید سایت های موشکی رو به روی کارشناسای آمریکایی (نه اروپایی) باز کنه چون معتقدیم در این سایت ها بمب هسته ای میسازند .
اگر هم این کشور به اورانیوم برای تولید برق نیاز داشت میتونه از کشوری ثالث وارد کنه و حق غنی سازی رو نداره",
48816,2025-05-02 20:40:36,-1001203190274,,,,"مذاکرات شنبه که به تعویق  افتاده بود و رفته بود چهارشنبه 
الان خبر اومده همون چهارشنبه هم لغو شده",48811
48815,2025-05-02 18:56:15,-1001203190274,,,,ترید به زبان ساده:,
48814,2025-05-01 14:27:32,-1001203190274,,,,اگه بخاطر این موضوع باشه دوباره مذاکره از سر گرفته میشه,48813
48813,2025-05-01 14:26:58,-1001203190274,,,,"خبرگزاری وزارت خارجه:

ایران بخاطر توییت تهدید آمیز وزیر دفاع آمریکا و بازنشر توسط ویتکاف مذاکرات را کنسل کرد",48811
48812,2025-05-01 14:24:36,-1001203190274,,,,تتر سه درصد پامپ شد,48811
48811,2025-05-01 14:20:13,-1001203190274,,,,مذاکرات روز شنبه کنسل شد .,48810
48810,2025-05-01 11:06:44,-1001203190274,,,,"نیویورکر:

🔸تقریبا ایران و آمریکا بر سر محدودیت‌های هسته‌ای ایران به توافق رسیده‌اند.

🔸جزئیات در نحوه نظارت در مذاکرات فنی مشترک با آژانس و کارشناسان هسته‌ای آمریکا مشخص خواهد شد.

🔸و حالا موضوع مهم این است: آمریکا بعد از آزادسازی منابع مالی ایران و رفع تحریم‌های اقتصادی، درباره بهره‌برداری شرکت‌های آمریکایی از بازار ایران خواسته‌هایی دارد که ایران باید تضمین‌های محکم و مستند در جهت محقق شدن این خواسته آمریکا ارائه کند.",
48809,2025-05-01 10:40:49,-1001203190274,,,,,48805
48808,2025-05-01 07:27:08,-1001203190274,,,,"قبلا هم اشاره کرده بودم
که تمام این ها بازی رسانه بود و همه چی از قبل برنامه‌ریزی شده",48522
48807,2025-05-01 07:04:28,-1001203190274,,,,🔴 آمریکا و اوکراین توافق معدنی را امضا کردند.,
48806,2025-04-30 17:58:02,-1001203190274,,,,مدیریت سرمایه رعایت بشه,48805
48805,2025-04-30 17:57:56,-1001203190274,,,,"FARTCOIN
LONG
ENTRY 1.18 - 1.078
Tp 1.3560
1.5880
..
SL ❌ 0.9737
Lev 3-4
#کریپتو",
48804,2025-04-30 10:37:57,-1001203190274,,,,,
48802,2025-04-26 07:49:25,-1001203190274,,,,"تارگت اول تاچ شد✔️
نوش جان❤️",48799
48801,2025-04-26 06:41:09,-1001203190274,,,,"ایران داره درست میشه😁

تتر 78",
48800,2025-04-25 14:57:07,-1001203190274,,,,مدیریت سرمایه رعایت بشه,48799
48799,2025-04-25 14:57:02,-1001203190274,,,,"XRP
LONG
ENTRY : 2.206
Tp : 2.244_ 2.28 - 2.30
Sl : 2.1566
Lev 5
بصورت مارکت
کریپتو",
48797,2025-04-21 13:07:48,-1001203190274,,,,اینم دو سیگنال  امروز رادنژاد 👆,
48794,2025-04-21 13:07:08,-1001203190274,,,,به این میگن ریسک به ریوارد جذاب,48793
48792,2025-04-19 14:11:02,-1001203190274,,,,دور دوم مذاکرات غیرمستقیم ایران و آمریکا که در رم، پایتخت ایتالیا، در تاریخ ۳۰ فروردین ۱۴۰۴ (۱۹ آوریل ۲۰۲۵) آغاز شد، بر اساس اطلاعات موجود، حول محور تعیین چارچوب کلی برای مذاکرات هسته‌ای و تنش‌زدایی متمرکز بوده است. ایران یک طرح سه مرحله‌ای برای کاهش تنش‌ها در ازای لغو تحریم‌ها و دسترسی به دارایی‌های مسدودشده پیشنهاد کرده و تأکید داشته که برای توافق آمده، نه تسلیم.هیئت ایرانی به رهبری سید عباس عراقچی، وزیر امور خارجه، در این مذاکرات حضور داشت و عمان همچنان نقش واسطه را ایفا کرد. مقامات آمریکایی، از جمله ویکتوریا تیلور، معاون دستیار وزیر خارجه آمریکا، مذاکرات را «مثبت» و «سازنده» توصیف کرده و انتظار داشتند که این دور به تعیین چارچوبی برای ادامه گفت‌وگوها درباره برنامه هسته‌ای ایران منجر شود.با این حال، برخی منابع به پیچیدگی‌های مذاکرات اشاره کرده‌اند و پیش‌بینی نتیجه نهایی دشوار است. گزارش‌ها نشان می‌دهد که مذاکرات در فضایی محتاطانه پیش رفته و طرف ایرانی برای حفظ منافع ملی، از جمله حفظ توانمندی‌های هسته‌ای، موضع محکمی داشته است.هیچ اطلاعاتی درباره دستیابی به توافق قطعی یا پیشرفت مشخص در این دور گزارش نشده، و به نظر می‌رسد مذاکرات همچنان در مراحل اولیه و اکتشافی قرار دارد. برخی تحلیلگران معتقدند که ادامه روند ممکن است به پیچیدگی اوضاع بیفزاید. همچنین، گمانه‌زنی‌هایی درباره احتمال انتقال مذاکرات به مسقط برای دورهای بعدی وجود داشته، که نشان‌دهنده پویایی در تعیین محل گفت‌وگوهاست.,
48785,2025-04-17 06:17:50,-1001203190274,,,,"➕ نیویورک تایمز به نقل از مقامات آمریکایی:
ترامپ به اسرائیل اطلاع داد که از هیچ حمله‌ای به ایران حمایت نمی‌کند ..",
48784,2025-04-15 14:21:05,-1001203190274,,,,تارگت اول تاچ✅,48782
48783,2025-04-15 14:05:15,-1001203190274,,,,مدیریت سرمایه رعایت بشه,48782
48782,2025-04-15 14:04:58,-1001203190274,,,,"💎#/USDT 
🔴SHORT

➡️Entry1: Market
➡️Entry2: 0.4257


⛳️Targets : 

⛳️Target 1 : 0.4071
⛳️Target 2 : 0.3989
⛳️Target 3 : 0.3911

🚫 Stop : 0.4342

📊LV : 9X

‼️3% of wallet future",
48779,2025-04-15 05:21:52,-1001203190274,,,,"✉️عضویت رایگان دوباره فعال شد !!


📎عضویت رایگان در تمام کانال های کریپتو 


نحوه عضویت و دریافت اشتراک رایگان 👇

https://t.me/+Seg4ahhzwRZkNDFk",
