message_id,date,sender_id,first_name,last_name,username,message,reply_to
41613,2025-04-24 19:04:03,-1001261231259,,,,"🔈JUST IN: CryptoQuant CEO Ki Young Ju says Bitcoin’s recent rebound challenges cycle theories, adding that if $BTC hits a new ATH before Q4, he’s ready to abandon the cyclical model entirely.⌛",
41612,2025-04-24 18:20:54,-1001261231259,,,,,
41611,2025-04-24 18:20:54,-1001261231259,,,,,
41610,2025-04-24 18:20:54,-1001261231259,,,,,
41609,2025-04-24 18:20:54,-1001261231259,,,,,
41608,2025-04-24 18:20:54,-1001261231259,,,,"DECENT AND REGULAR PROFITS 

Earn $100 but Daily with our Proven Strategies 💯

Learn and Trade Live with us 🚀

✔️Premium @amanpremiumclub",
41607,2025-04-24 17:48:13,-1001261231259,,,,,
41606,2025-04-24 17:48:13,-1001261231259,,,,,
41605,2025-04-24 17:48:13,-1001261231259,,,,,
41604,2025-04-24 17:48:12,-1001261231259,,,,,
41603,2025-04-24 17:48:12,-1001261231259,,,,,
41602,2025-04-24 17:48:12,-1001261231259,,,,,
41601,2025-04-24 17:48:12,-1001261231259,,,,,
41600,2025-04-24 17:48:12,-1001261231259,,,,"Asia's No. 1 Trading Group 🚀🚀

All the Future Trading Lovers join now 👇

Premium✔️ @amanpremiumclub",
41599,2025-04-24 17:00:15,-1001261231259,,,,"🚨BREAKING: PRESIDENT TRUMP SAYS HE HAD A MEETING WITH CHINA TODAY.🔥

PREPARE FOR VOLATILITY!!!📊",
41598,2025-04-24 16:55:19,-1001261231259,,,,"LIQUIDATION HEAT MAP STRATEGY PRINTING NON STOP🤑🤑

Join now ✔️
@amanpremiumclub",41597
41597,2025-04-24 16:54:39,-1001261231259,,,,"🔈 Bitcoin price rising as I shared in my liquidation heat map Update and now I book my 50% profit here.

👉Kon - kon profit bana raha hai Hamari Liquidation Strategy se🤑🤑",
41596,2025-04-24 16:43:05,-1001261231259,,,,,
41595,2025-04-24 16:43:05,-1001261231259,,,,"🔥This is How Our Premium Members Printing Money 

🔥LEARN RIGHT TRADING STRATEGIES AND MAKE MONEY 

PREMIUM @amanpremiumclub",
41594,2025-04-24 16:29:59,-1001261231259,,,,LIVE TRADE,
41593,2025-04-24 16:16:15,-1001261231259,,,,,
41592,2025-04-24 16:16:15,-1001261231259,,,,,
41591,2025-04-24 16:16:15,-1001261231259,,,,"Catching All Market Moves 🚀🚀

LIQUIDATION HEAT MAP STRATEGY PRINTING NON STOP 🛑 

Join now ✔️
@amanpremiumclub",
41590,2025-04-24 15:57:52,-1001261231259,,,,"✅ BITCOIN'S DECOUPLING CYCLE.

https://x.com/cryptoamanclub/status/1915367798211018907?t=_MXCpj59btjh99Tl9fBfAg&s=19",
41589,2025-04-24 15:47:00,-1001261231259,,,,,
