message_id,date,sender_id,first_name,last_name,username,message,reply_to
12405,2025-04-24 16:39:26,-1001254489313,,,,"Binance, Bitget Spot, ByBit Spot, KuCoin, OKX
#KDA/USDT Take-Profit target 1 ✅
Profit: 7.3171% 📈
Period: 11 Hours 5 Minutes ⏰",12398
12404,2025-04-24 13:26:11,-1001254489313,,,,50% coming in #Kda 🔥🚀🚀,12398
12403,2025-04-24 11:51:22,-1001254489313,,,,,12398
12402,2025-04-24 08:37:07,-1001254489313,,,,"Btc Update

https://x.com/C_PumpAnalytics/status/1915324003847127458?t=MnK6SH-ULrkSaWP0e-RnVA&s=19",
12401,2025-04-24 07:15:32,-1001254489313,,,,Nice ❤️🤑,12391
12400,2025-04-24 07:01:54,-1001254489313,,,,"Binance Will Delist ALPACA, PDA, VIB, WING on 2025-05-02 
https://www.binance.com/en/support/announcement/detail/0274f9d47da1437990bc13eb17b0ec99",
12399,2025-04-24 05:20:15,-1001254489313,,,,"#KDA will pump like $SYN

Buying Here

So if you missed #SLN don't miss KDA📈🚀",12398
12398,2025-04-24 05:15:01,-1001254489313,,,,"#KDA

Buy : 0.5125

Stoploss : 0.44

Targets :  0.55 - 0.59 - 0.64 - 0.68 - 0.73

Trade reason ⬇️

Breakout & retest done at the LTF
Low Risk Trade
Buy it & Hold ❤️

https://www.tradingview.com/x/mvhVSF0M/",
12397,2025-04-24 02:35:27,-1001254489313,,,,"#SYN & #STPT 🔥

 Our Signal is Included On Binance Top Gainers 🍷🚀 You Can See How 100% Accurate Are Our Signals ❤️",12391
12396,2025-04-23 14:22:41,-1001254489313,,,,Nice profits,12395
12395,2025-04-23 13:44:14,-1001254489313,,,,,
12394,2025-04-23 11:41:07,-1001254489313,,,,,
12393,2025-04-23 11:41:07,-1001254489313,,,,,
12392,2025-04-23 11:41:07,-1001254489313,,,,"Here is a clear view picture of how our vip subscribers are making cool profits daily.

We provides both scalp, spot, futures and swing call daily on our vip channel.

we have some profitable signals running deep in profit shared in the VIP.🤑

We solidly trust our setups and you can trade our signals with confidence.

To join our vip channel.

Contact:👇👇

https://t.me/Cryptotredingteacher",
12391,2025-04-23 07:44:06,-1001254489313,,,,"#SYN Buying Here 💎

Targets & Stoploss share on VIP channel",
12390,2025-04-23 06:55:32,-1001254489313,,,,"❗️ NEW #Binance top gainer Signals shared on Premium Channel 

▶️ Join Premium and get it now

☎️ To Join DM : https://t.me/Cryptotredingteacher",
12389,2025-04-23 06:38:38,-1001254489313,,,,"Join our lifetime VIP at lowest rate in the market 

Premium Lifetime: 100$ (75% Off)

https://t.me/Cryptotredingteacher",12376
12388,2025-04-23 05:58:06,-1001254489313,,,,"#Bitcoin has come above $94k again

This was our target ✔️

This big move was expected after the trendline breakout as the price was trading below this resistance level for a long time 📈

The next resistance for Bitcoin is near $95k 🚦

If this level breaks, Bitcoin could reach $108K 🔥🚀

❕ Again Our Unique Analysis Did Well ,It’s The Power Of Our Knowledge ✌️

This #FREE_PREMIUM_ANAlYSIS Has Been Shared Here As a Trial 💎

We Proved Our Job By Our Results,
People Lie But Numbers No✌️.",12342
12387,2025-04-23 05:37:43,-1001254489313,,,,,12385
12386,2025-04-23 05:37:43,-1001254489313,,,,"❗️ #1000X

All target done ✅😎

222% massive profit with 20x 🚀🚀

Our Vip members are making huge profit because they are trading with professionals 💎",12385
12385,2025-04-23 04:47:35,-1001254489313,,,,"Join our lifetime VIP at lowest rate in the market 

Premium Lifetime: 100$ (75% Off)

https://t.me/Cryptotredingteacher",12361
12384,2025-04-23 04:39:19,-1001254489313,,,,,12363
12383,2025-04-23 04:39:19,-1001254489313,,,,"❗️ #CETUS

4th Target Done ✅

28% Massive Profit For All Vip And Public Members 🚀🚀

Again Our #FREE_VIP_SIGNAL Did Well 💎",12363
12382,2025-04-23 02:55:43,-1001254489313,,,,🔥,12320
12381,2025-04-22 18:46:54,-1001254489313,,,,,12376
12380,2025-04-22 18:46:54,-1001254489313,,,,,12376
12379,2025-04-22 18:46:54,-1001254489313,,,,,12376
12378,2025-04-22 18:46:54,-1001254489313,,,,Amazing Profit With VIP signals,12376
12377,2025-04-22 16:18:23,-1001254489313,,,,4 slots left. ✔️ Hurry up,12376
12376,2025-04-22 16:01:48,-1001254489313,,,,"♾   On Demand, Bringing Back Our
⭐️ ""Promotional 75% Discount Offer"" ⭐️

🚦 Here You Go The Discount Offer is Open Again...

⚡️⚡️ Big offers for you! 

✅ Get lifetime membership $100 only ! 

🔹 Don't miss this opportunity 

We'll Accept Only 5 More Members at This Exclusive Deal Price. ✔️

DM : https://t.me/Cryptotredingteacher
( For Joining Our Premium Channel )",
12375,2025-04-22 15:09:52,-1001254489313,,,,🔥🚀🚀,12371
12374,2025-04-22 14:48:05,-1001254489313,,,,"FIO Moon 🔥🚀🚀

Nice candle printed by fio

Next Fis 📈🚀🚀",12371
12373,2025-04-22 14:34:52,-1001254489313,,,,#Long FIO 🔥🚀🚀,12371
12372,2025-04-22 14:32:03,-1001254489313,,,,$FIO will pump like #FIS 🔥🚀🚀,
12371,2025-04-22 14:26:41,-1001254489313,,,,"❗️ #FIO/USDT 

Looks good at H1 Chart.

⚡️ Technicals:~

🔹 Beautiful Po3 played 
🔸 It always giving amazing opportunity
🔹 Low risk
🔸 Looking For H4 Supply of distribution area 🚀 

• So buy a bag of #FIO in our purchase area and keep it with you for good profit 🔥🚀🚀

#FIO #PREMIUM #SMC #PA",
12370,2025-04-22 10:52:26,-1001254489313,,,,1st Tp done ✅✅,12367
12369,2025-04-22 10:15:08,-1001254489313,,,,,12367
12368,2025-04-22 10:02:19,-1001254489313,,,,"Use this FREE TRIAL SIGNAL from our Premium Channel 👆

Invest Smartly to be our premium 😎
Participate in our Free Signal ➡️Make Money ➡️ Join VIP ➡️ Make Daily Huge Profits 🤑",12367
12367,2025-04-22 10:01:01,-1001254489313,,,,"#MLN

Buy : 8.20

Stoploss : 7.30

Targets :  8.70 - 9.15 - 9.60 - 10.05 - 10.50

https://prnt.sc/veVhgQ5upkn0",
