message_id,date,sender_id,first_name,last_name,username,message,reply_to
24965,2025-04-05 21:54:00,-1001879444900,,,,,
24964,2025-04-05 21:54:00,-1001879444900,,,,"🔥On this chart👆 you can see the result of 🚀pumping the #ARK/USDT (Binance)📈

📌We were able to increase the value of this coin by 👍8.47% within ⏰15 Minutes!

📌Bottom line: 🎯1 target of the trading signal from the 👑VIP club has been successfully achieved!

💥To never miss another coin pump🚀 and always make a profit, our 👑VIP Platinum subscribers use Cornix automatic trading bot👍",
24963,2025-04-05 21:35:53,-1001879444900,,,,"download the file, open it in a browser and read it. that's cool.",
24962,2025-04-05 20:16:44,-1001879444900,,,,"This is a report about the Pump🚀 of the coin 👉 #STRAX/USDT (Binance)
✅Now 1 🚀Pump Target🎯 has been achieved in: 6 Minutes

You could also always take 8.45% easy profit💰 if you bought a subscription to 👑VIP channel

☎Contact to: @cryptowhalesexpert for VIP-membership
#TradingSignals #Prediction #PumpSignals #BinancePump",
24961,2025-04-05 20:16:41,-1001879444900,,,,,
24960,2025-04-05 14:55:44,-1001879444900,,,,"All of our 👑VIP-subscribers have just been able to get 8.4% profit💰 at the moment the coin #ACT/USDT (Binance) hits 🎯1 🚀Pump Target, which was previously published in the 👑VIP channel

👌It took our investor team ⏰2 Days 0 Hours 43 Minutes to reach this cryptocurrency pump 🎯Target number 1.

📣Anyone trader who wants to get a quick profit💰 can become our VIP-member after purchasing a 👉👑VIP subscription👈",
24959,2025-04-05 14:55:44,-1001879444900,,,,,
24958,2025-04-05 11:23:42,-1001879444900,,,,,
24957,2025-04-05 11:23:41,-1001879444900,,,,"👆At this point, our 👑VIP subscribers recorded 9.03% profit as a result of the successful 🚀PUMP of #MLN/USDT (Binance)

Their expectations from the moment they received the signal in the 👑VIP club were only: 28 Minutes⏰. This is the amount of time it took to achieve the 🎯1 Pump Target of this coin.

Our trading signal from the 👑VIP channel successfully worked on the value of 🎯1 Target of the pump🚀, published in advance in the our 👑VIP channel👇",
24956,2025-04-05 10:00:02,-1001879444900,,,,"🔥🔥 Profit report for the last 24 hours 🚀🚀

✅ #FLM 13.02% within 16 Minutes
✅ #FUN 21.34% within 1 Hours 0 Minutes
✅ #BROCCOLI714 9.84% within 2 Hours 41 Minutes

Total profit 44.2% 💰💰🤑


🔊If you want to get the same profit💰, then you need to purchase a subscription to our 👑VIP-channel.

Instructions on how to get access to the 👑VIP channel are written 👉here👈

Subscribers with the Premium 👑VIP-subscription type have the opportunity to trade cryptocurrency not only independently, but also with the help of the automated trading bot Cornix (which is connected to the VIP channel), and can also invest and make huge profits without wasting their time on trading.

👉Detailed conditions for participation in investing can be found here👈

☎Contact: @cryptowhalesexpert for buy VIP-membership!",
24955,2025-04-05 07:24:47,-1001879444900,,,,"✅Now started pumping 👉 #BROCCOLI714/USDT (Binance).

👍 1 Target🎯 achieved in: 2 Hours 41 Minutes
The profit was: 9.84% which was received by our 👑VIP members who followed this signal

👇This is evidence of a signal that we published in advance of the all pumps in 👑VIP channel

#CryptoTraders #MarketTrends #TechnicalAnalysis #CryptoCommunity",
24954,2025-04-05 07:24:47,-1001879444900,,,,,
24953,2025-04-05 06:44:36,-1001879444900,,,,,
