message_id,date,sender_id,first_name,last_name,username,message,reply_to
73760,2025-04-24 20:48:49,-1001187558848,,,,"🗣 Bitcoin Leaves the Building — Exchanges, That Is

BTC has just ghosted the centralized exchanges with the largest outflow since Feb '23. According to CryptoQuant, this could mean whales are back in ""accumulate and chill"" mode.

Also, BTC’s correlation with the S&P 500 is fading, while gold is becoming its new bestie. Safe haven, anyone?

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73759,2025-04-24 17:02:09,-1001187558848,,,,"🗣 YouTube's First Ever Video Celebrates 20 Years

On this day in 2005, “Me at the zoo” was uploaded — the humble beginning of what would become the world’s biggest video platform.

Millions of creators owe their start to that clip with elephants and a hoodie-wearing guy at the San Diego Zoo.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73758,2025-04-24 09:27:06,-1001187558848,,,,"🗣$9.3B Gone: Crypto Scam Losses Soar in 2024, FBI Reports

The FBI has confirmed a record-breaking year for crypto-related fraud. In 2024, U.S. citizens lost over $9 billion to online scammers and deceptive crypto platforms.

The agency warns users to be extra cautious with unsolicited investment offers. 

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73757,2025-04-23 21:34:06,-1001187558848,,,,"🗣 Trump’s “Crypto Circle”: Dinner Announced for Leading TRUMP Token Holders

Trump is reportedly inviting 220 major holders of the TRUMP memecoin to a private dinner. Sources say this is part of a broader campaign to solidify his influence in the crypto community ahead of the 2024 election.

Developers are preparing a dedicated website to manage invitations, and speculation is growing about what perks might be offered.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73756,2025-04-23 21:20:31,-1001187558848,,,,"🗣 TRUMP token drama: one jumps in, another just misses out

After a ""Trump dinner for holders"" rumor surfaced, someone bought 407,467 TRUMP tokens for $5M at $12.27.

Ironically, another trader sold his entire stack of 630,339 tokens (≈ $5.48M) right before the pump. His missed opportunity? A clean $4.5M more.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73755,2025-04-23 13:37:40,-1001187558848,,,,"🗣BTC in the big leagues: now bigger than Amazon and Google

Bitcoin’s market cap now stands at $1.859 trillion, putting it ahead of tech giants like Google and Amazon and making it the fifth-largest asset in the world.

In the last 30 days, only two top-tier assets have grown: gold and Bitcoin. This rare alignment may be more than just coincidence.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73754,2025-04-23 10:01:20,-1001187558848,,,,"🗣 Trump’s new performance: Markets rally after fiery speech

Last night, Donald Trump delivered a speech that once again blended politics with entertainment. Key highlights:

 • Suggested Powell’s job is safe — but only if he cuts rates.
 • Hinted at upcoming trade negotiations with China.
 • Reframed China as a “respected partner.”
 • Slammed Europe’s approach to trade with the U.S.
 • Claimed credit for a market rally.

Investors are taking it all in stride — but behind the scenes, the volatility continues.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73753,2025-04-22 19:23:58,-1001187558848,,,,"🗣 Bitwise: Bitcoin growth is fueled by economic collapse

The CIO of Bitwise claims the Trump administration has “broken the economy,” making BTC a safe-haven asset again.

He predicts further upside when Trump’s team eventually takes action to stabilize the system.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73752,2025-04-22 14:38:53,-1001187558848,,,,"🗣SEC gets a new boss — and crypto gets a new ally

Paul Atkins has taken office. His track record suggests a more balanced approach to digital finance.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73751,2025-04-21 19:10:21,-1001187558848,,,,"🗣Cold wallets over gold bars? Forbes thinks it’s time

Why hold gold when Bitcoin can do the job faster and smarter?
No transport, no storage, no verification hassle.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73748,2025-04-19 20:55:29,-1001187558848,,,,"🗣 SPAR enables Bitcoin payments in ‘Crypto Valley’

The supermarket chain is testing Lightning Network payments in Zug.
One scan with a BTC wallet — and you’re good to go.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73747,2025-04-19 20:53:18,-1001187558848,,,,"🗣 Tether takes over where banks fail

With more than 450 million users and 30 million joining every quarter, USDT has become a financial lifeline in underserved economies.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73746,2025-04-19 12:06:30,-1001187558848,,,,"🗣Memecoin TRUMP bounces on insider dinner speculation

Whispers in the community point to a potential Trump-hosted dinner for major holders.
The project is working on a special webpage tied to the event.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73745,2025-04-18 18:12:56,-1001187558848,,,,"🗣OpenAI’s image models can now guess where you are

With impressive accuracy, o3 and o4-mini spot locations based on small visual cues in photos.
Users are excited but warn: this is a major privacy red flag.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73744,2025-04-18 09:21:56,-1001187558848,,,,"🗣eXch ends operations over Lazarus laundering link

The crypto exchange confirmed it processed funds tied to the Lazarus Group and the massive Bybit hack.
Citing reputational risk and internal consensus, the platform will close on May 1.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73743,2025-04-17 19:55:13,-1001187558848,,,,"🗣 Trump calls latest Fed report a ‘mess’

President Trump criticized the Fed’s economic stance and said Powell is “too slow to act.”
With oil and food prices down, he sees no reason to delay cuts.
“Now is the perfect time for easing,” he said.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73742,2025-04-17 08:35:39,-1001187558848,,,,"🗣 Father of the future?

Musk’s parenting empire expands: at least 14 kids from 4 women.
Some women report receiving offers of $15.1M and $100K/month — for silence and a child.

Everything starts with a like.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73741,2025-04-16 20:24:26,-1001187558848,,,,"🗣 My cat in a world without meme trades

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73740,2025-04-16 19:10:23,-1001187558848,,,,"🗣 Fed turns hawkish again: Powell warns of inflation risks

Powell linked Trump’s tariff policy to logistical disruptions and rising inflation.
Softening the policy? Maybe next year. For now, they’re staying cautious.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73737,2025-04-16 18:06:35,-1001187558848,,,,"🗣 Binance's 31st burn: $916M off the books

The exchange has removed over 1.5M BNB from circulation.
Another step toward the 100M supply cap. Still 40.8M tokens to go.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73736,2025-04-15 19:23:58,-1001187558848,,,,"🗣 Is ETH falling into ""Nokia mode""?

Crypto circles are buzzing with a comparison: Ethereum’s chart looks like Nokia before its downfall.
""Missed the momentum, no more excitement.""
Maybe just FUD. Maybe not.

The market doesn’t forgive idling.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73735,2025-04-15 19:01:57,-1001187558848,,,,"🗣 Bitcoin bulls reawaken as tariff fears cool

Santiment data shows optimism is surging after Trump hit pause on tariffs.
The mood hasn’t been this positive since before the plan was unveiled.
If BTC gets close to $90,000, analysts expect a retail-driven FOMO rally.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73734,2025-04-15 16:50:58,-1001187558848,,,,"🗣 Trumpcoin? Not yet — but crypto Monopoly is coming

Trump plans to launch a crypto game, Monopoly-style, where NFTs are the key.
You’ll collect, trade, and maybe build a digital empire.
Yes, this is real.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73733,2025-04-15 10:40:21,-1001187558848,,,,"🗣 MSTR beats BTC — yes, in BTC

Most things lose value against Bitcoin over time.
But MicroStrategy shares? Since Aug 11, 2020 — +200% vs BTC.

First buy: 21,454 BTC for $260M. Turns out, buying the buyer was smarter.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73732,2025-04-14 19:32:01,-1001187558848,,,,"🗣 Trump’s latest press briefing: key takeaways

▪️ Pharma tariffs coming soon.
▪️ The EU is trying to negotiate.
▪️ China and Vietnam are “plotting against the US.”
▪️ “I’m a very flexible person.” Sure, Don.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73731,2025-04-14 19:23:24,-1001187558848,,,,"🗣 Trump meets Bukele — something’s brewing

Donald Trump just met with El Salvador’s President Nayib Bukele — the man behind the world’s first Bitcoin-legal nation.
No official statements. But when these two meet… it’s not small talk.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73730,2025-04-14 18:00:01,-1001187558848,,,,,73729
73728,2025-04-14 16:15:59,-1001187558848,,,,"🗣 ChatGPT just became the world’s most downloaded app

800 million users and counting — one in ten humans.

The GPT-4o update brought image generation and a wave of new users.
Altman’s flexing, and Big Tech is sweating.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
73727,2025-04-14 12:58:08,-1001187558848,,,,"🗣 Saylor strikes again — 3,459 BTC added

MicroStrategy spent $285.8M this week stacking more Bitcoin.
Their total? A wild 531,644 BTC. Long-term conviction level: insane.

Trade smarter on Bybit  ☝️

DEGEN Crypto Club | Subscribe",
