message_id,date,sender_id,first_name,last_name,username,message,reply_to
1850,2025-05-06 14:38:31,-1002485677716,,,,dm Fast Boys,1847
1848,2025-05-01 14:54:52,-1002485677716,,,,,1847
1847,2025-04-30 16:17:05,-1002485677716,,,,"we doing a giveaway about 10K$

and there is spot like 2 person can win 5K 5K

and there is 50 spot 

in 50 spot any 2 members can win the 10K$ easy

u guys need to take spot

and the spot price is 50$ only

just dm me and pay me and tell me which number spot u want and I’ll give u spot hope u can be lucky 

dm me on telegram t.me/matthewprinter",
1843,2025-04-27 16:52:54,-1002485677716,,,,,1842
1842,2025-04-27 16:48:38,-1002485677716,,,,"we doing a giveaway about 10K$

and there is spot like 2 person can win 5K 5K

and there is 50 spot 

in 50 spot any 2 members can win the 10K$ easy

u guys need to take spot

and the spot price is 50$ only

just dm me and pay me and tell me which number spot u want and I’ll give u spot hope u can be lucky 

dm me on telegram t.me/matthewprinter",
1837,2025-04-26 15:27:19,-1002485677716,,,,,1836
1830,2025-04-25 08:33:50,-1002485677716,,,,u guys ready for next one,
1829,2025-04-24 13:46:13,-1002485677716,,,,6yZ67YXRDJDBAtWUFLRzpprdTMFokz5qMQ4Wb1FKcwBW,
1828,2025-04-24 12:33:22,-1002485677716,,,,this can push,
1827,2025-04-24 12:33:19,-1002485677716,,,,u8bLDmDEsvwpNun8u3PUjkkg2MrdFd6Tpyc3gaypump,
1826,2025-04-24 08:22:14,-1002485677716,,,,who’s wanna do dm fast,1821
1825,2025-04-24 08:15:47,-1002485677716,,,,dm fast Boys,1821
1813,2025-04-23 16:21:56,-1002485677716,,,,,1810
1802,2025-04-23 09:09:00,-1002485677716,,,,,1801
1786,2025-04-22 07:17:28,-1002485677716,,,,,1785
1762,2025-04-18 05:13:18,-1002485677716,,,,,1761
1759,2025-04-17 11:31:06,-1002485677716,,,,,1758
1757,2025-04-17 06:52:44,-1002485677716,,,,any girl here dm @matthewprinter,
1755,2025-04-16 13:26:12,-1002485677716,,,,fast,1754
1754,2025-04-16 12:56:48,-1002485677716,,,,"axiom.trade/@matthewp

register and send me ss in dm for 100$",
1751,2025-04-16 07:53:30,-1002485677716,,,,,1750
1749,2025-04-16 04:39:12,-1002485677716,,,,dms,1748
1732,2025-04-13 16:33:24,-1002485677716,,,,dropping private link when I get 50 reaction,
1731,2025-04-13 16:33:05,-1002485677716,,,,goooo,
1730,2025-04-13 16:20:39,-1002485677716,,,,we need to have 50 reactions,
1729,2025-04-13 16:20:28,-1002485677716,,,,but,
1728,2025-04-13 16:20:18,-1002485677716,,,,will drop link of group,
1727,2025-04-13 15:46:52,-1002485677716,,,,share,
1726,2025-04-13 15:46:50,-1002485677716,,,,react ?,
1725,2025-04-13 15:46:48,-1002485677716,,,,want to know,
1724,2025-04-13 15:46:42,-1002485677716,,,,u know where we cooking,
1723,2025-04-13 15:46:37,-1002485677716,,,,,
1722,2025-04-13 15:36:35,-1002485677716,,,,profit on profit,
1721,2025-04-13 15:36:25,-1002485677716,,,,,
1720,2025-04-13 15:30:09,-1002485677716,,,,,
1698,2025-04-12 15:25:19,-1002485677716,,,,,1697
1697,2025-04-12 15:02:16,-1002485677716,,,,"opening private slots 

dm @matthewprinter",
1696,2025-04-12 14:24:35,-1002485677716,,,,are u ready for more cooks,
1695,2025-04-12 14:24:29,-1002485677716,,,,started today and done 10x,
1694,2025-04-12 14:20:38,-1002485677716,,,,10x,
1693,2025-04-12 14:18:01,-1002485677716,,,,gg niggas,
1692,2025-04-12 14:14:21,-1002485677716,,,,"JUST IN: 🇺🇸 President Trump exempts smartphones, computers, and chips from new tariffs.

@WatcherGuru",
1691,2025-04-12 14:14:00,-1002485677716,,,,"$UNCLESAM

x8, 250k ——> 2M

h i g h o o o r

BV8BaYoXwWjHXBRXpCKjvemNUYULPuv77kxJRzrWp3Su

https://t.me/GMGN_sol_bot?start=i_rskf0u8j_c_BV8BaYoXwWjHXBRXpCKjvemNUYULPuv77kxJRzrWp3Su",
1690,2025-04-12 14:13:46,-1002485677716,,,,129.05$,
1689,2025-04-12 14:10:55,-1002485677716,,,,good going ?,
1688,2025-04-12 14:08:04,-1002485677716,,,,"$UNCLESAM

6x, 250k ——> 1.5M

say thanks to your daddy

BV8BaYoXwWjHXBRXpCKjvemNUYULPuv77kxJRzrWp3Su

https://t.me/GMGN_sol_bot?start=i_rskf0u8j_c_BV8BaYoXwWjHXBRXpCKjvemNUYULPuv77kxJRzrWp3Su",
1687,2025-04-12 13:59:32,-1002485677716,,,,,
1686,2025-04-12 13:56:21,-1002485677716,,,,Chek this,
1685,2025-04-12 13:56:18,-1002485677716,,,,"Check this one , narrative is alpha 250k

https://x.com/xsovichcrypto/status/1911050456068997138?s=46 

BV8BaYoXwWjHXBRXpCKjvemNUYULPuv77kxJRzrWp3Su",
1684,2025-04-12 13:56:09,-1002485677716,,,,it’s just start nice,
1683,2025-04-12 13:56:05,-1002485677716,,,,just wait and watch,
1682,2025-04-12 13:56:01,-1002485677716,,,,more 100x calls coming,
1681,2025-04-12 13:55:54,-1002485677716,,,,but don’t woory,
1680,2025-04-12 13:55:51,-1002485677716,,,,soory boys,
1679,2025-04-12 13:55:45,-1002485677716,,,,shit,
1678,2025-04-12 13:49:38,-1002485677716,,,,,
1677,2025-04-12 13:49:35,-1002485677716,,,,let’s see if we can push up to 500k or 1m,
1676,2025-04-12 13:49:27,-1002485677716,,,,this going good at 125k,
1675,2025-04-12 13:49:20,-1002485677716,,,,HJbozwuvCkDpXA3hCM3Fpovg2XvAAHnTAHgEaAs9GyTW,
1674,2025-04-12 13:37:46,-1002485677716,,,,give me some react,
1673,2025-04-12 09:36:26,-1002485677716,,,,are u ready for calls ?,
1672,2025-04-12 09:36:22,-1002485677716,,,,time to print ?,
1671,2025-04-11 16:55:27,-1002485677716,,,,,
1650,2025-04-08 03:20:32,-1002485677716,,,,,1649
